Time,Router
5,0
9,1
13,2
17,3
21,7
60,7
61,7
62,7
63,7
64,6
65,6
66,6
67,7
67,6
68,5
69,5
70,5
71,6
71,5
72,4
73,4
74,4
75,5
75,4
76,0
77,0
78,0
79,4
79,0
83,0
98,0
102,4
106,8
144,8
145,8
146,8
147,8
148,4
149,4
150,4
151,8
151,4
152,0
153,0
154,0
155,4
155,0
159,0
200,0
204,1
208,2
212,6
250,6
251,6
252,6
253,6
254,5
255,5
256,5
257,6
257,5
258,4
259,4
260,4
261,5
261,4
262,0
263,0
264,0
265,4
265,0
269,0
304,0
308,1
312,2
316,3
320,7
356,7
357,7
358,7
359,7
360,6
361,6
362,6
363,7
363,6
364,5
365,5
366,5
367,6
367,5
368,4
369,4
370,4
371,5
371,4
372,0
373,0
374,0
375,4
375,0
379,0
402,0
406,1
410,5
448,5
449,5
450,5
451,5
452,4
453,4
454,4
455,5
455,4
456,0
457,0
458,0
459,4
459,0
463,0
488,0
492,1
530,1
531,1
532,1
533,1
534,0
535,0
536,0
537,1
537,0
541,0
554,0
558,1
562,2
566,3
570,7
606,7
607,7
608,7
609,7
610,6
611,6
612,6
613,7
613,6
614,5
615,5
616,5
617,6
617,5
618,4
619,4
620,4
621,5
621,4
622,0
623,0
624,0
625,4
625,0
629,0
640,0
644,1
680,1
681,1
682,1
683,1
684,0
685,0
686,0
687,1
687,0
691,0
726,0
730,1
734,2
738,6
742,10
746,14
784,14
785,14
786,14
787,14
788,13
789,13
790,13
791,14
791,13
792,12
793,12
794,12
795,13
795,12
796,8
797,8
798,8
799,12
799,8
800,4
801,4
802,4
803,8
803,4
804,0
805,0
806,0
807,4
807,0
811,0
826,0
830,1
834,2
838,3
842,7
846,11
884,11
885,11
886,11
887,11
888,10
889,10
890,10
891,11
891,10
892,9
893,9
894,9
895,10
895,9
896,8
897,8
898,8
899,9
899,8
900,4
901,4
902,4
903,8
903,4
904,0
905,0
906,0
907,4
907,0
911,0
930,0
934,1
938,5
942,9
980,9
981,9
982,9
983,9
984,8
985,8
986,8
987,9
987,8
988,4
989,4
990,4
991,8
991,4
992,0
993,0
994,0
995,4
995,0
999,0
1016,0
1020,4
1058,4
1059,4
1060,4
1061,4
1062,0
1063,0
1064,0
1065,4
1065,0
1069,0
1086,0
1090,4
1094,8
1098,12
1136,12
1137,12
1138,12
1139,12
1140,8
1141,8
1142,8
1143,12
1143,8
1144,4
1145,4
1146,4
1147,8
1147,4
1148,0
1149,0
1150,0
1151,4
1151,0
1155,0
1188,0
1192,1
1196,2
1200,6
1204,10
1242,10
1243,10
1244,10
1245,10
1246,9
1247,9
1248,9
1249,10
1249,9
1250,8
1251,8
1252,8
1253,9
1253,8
1254,4
1255,4
1256,4
1257,8
1257,4
1258,0
1259,0
1260,0
1261,4
1261,0
1265,0
1280,0
1284,1
1288,5
1292,9
1296,13
1334,13
1335,13
1336,13
1337,13
1338,12
1339,12
1340,12
1341,13
1341,12
1342,8
1343,8
1344,8
1345,12
1345,8
1346,4
1347,4
1348,4
1349,8
1349,4
1350,0
1351,0
1352,0
1353,4
1353,0
1357,0
1374,0
1378,1
1382,5
1418,5
1419,5
1420,5
1421,5
1422,4
1423,4
1424,4
1425,5
1425,4
1426,0
1427,0
1428,0
1429,4
1429,0
1433,0
1466,0
1470,1
1474,2
1478,6
1482,10
1486,14
1522,14
1523,14
1524,14
1525,14
1526,13
1527,13
1528,13
1529,14
1529,13
1530,12
1531,12
1532,12
1533,13
1533,12
1534,8
1535,8
1536,8
1537,12
1537,8
1538,4
1539,4
1540,4
1541,8
1541,4
1542,0
1543,0
1544,0
1545,4
1545,0
1549,0
1568,0
1572,4
1608,4
1609,4
1610,4
1611,4
1612,0
1613,0
1614,0
1615,4
1615,0
1619,0
1634,0
1638,1
1674,1
1675,1
1676,1
1677,1
1678,0
1679,0
1680,0
1681,1
1681,0
1685,0
1718,0
1722,1
1726,2
1730,6
1766,6
1767,6
1768,6
1769,6
1770,5
1771,5
1772,5
1773,6
1773,5
1774,4
1775,4
1776,4
1777,5
1777,4
1778,0
1779,0
1780,0
1781,4
1781,0
1785,0
1812,0
1816,1
1820,2
1824,3
1862,3
1863,3
1864,3
1865,3
1866,2
1867,2
1868,2
1869,3
1869,2
1870,1
1871,1
1872,1
1873,2
1873,1
1874,0
1875,0
1876,0
1877,1
1877,0
1881,0
1920,0
1924,1
1960,1
1961,1
1962,1
1963,1
1964,0
1965,0
1966,0
1967,1
1967,0
1971,0
1982,0
1986,1
1990,2
1994,3
1998,7
2002,11
2038,11
2039,11
2040,11
2041,11
2042,10
2043,10
2044,10
2045,11
2045,10
2046,9
2047,9
2048,9
2049,10
2049,9
2050,8
2051,8
2052,8
2053,9
2053,8
2054,4
2055,4
2056,4
2057,8
2057,4
2058,0
2059,0
2060,0
2061,4
2061,0
2065,0
2104,0
2142,0
2143,0
2144,0
2145,0
2149,0
2160,0
2164,1
2168,2
2172,6
2176,10
2212,10
2213,10
2214,10
2215,10
2216,9
2217,9
2218,9
2219,10
2219,9
2220,8
2221,8
2222,8
2223,9
2223,8
2224,4
2225,4
2226,4
2227,8
2227,4
2228,0
2229,0
2230,0
2231,4
2231,0
2235,0
2260,0
2264,1
2268,2
2272,6
2276,10
2312,10
2313,10
2314,10
2315,10
2316,9
2317,9
2318,9
2319,10
2319,9
2320,8
2321,8
2322,8
2323,9
2323,8
2324,4
2325,4
2326,4
2327,8
2327,4
2328,0
2329,0
2330,0
2331,4
2331,0
2335,0
2396,0
2400,1
2404,5
2408,9
2444,9
2445,9
2446,9
2447,9
2448,8
2449,8
2450,8
2451,9
2451,8
2452,4
2453,4
2454,4
2455,8
2455,4
2456,0
2457,0
2458,0
2459,4
2459,0
2463,0
2540,0
2544,1
2548,2
2552,3
2556,7
2560,11
2596,11
2597,11
2598,11
2599,11
2600,10
2601,10
2602,10
2603,11
2603,10
2604,9
2605,9
2606,9
2607,10
2607,9
2608,8
2609,8
2610,8
2611,9
2611,8
2612,4
2613,4
2614,4
2615,8
2615,4
2616,0
2617,0
2618,0
2619,4
2619,0
2623,0
2738,0
2742,4
2746,8
2750,12
2786,12
2787,12
2788,12
2789,12
2790,8
2791,8
2792,8
2793,12
2793,8
2794,4
2795,4
2796,4
2797,8
2797,4
2798,0
2799,0
2800,0
2801,4
2801,0
2805,0
2934,0
2938,1
2942,2
2980,2
2981,2
2982,2
2983,2
2984,1
2985,1
2986,1
2987,2
2987,1
2988,0
2989,0
2990,0
2991,1
2991,0
2995,0
3018,0
3022,4
3026,8
3030,12
3066,12
3067,12
3068,12
3069,12
3070,8
3071,8
3072,8
3073,12
3073,8
3074,4
3075,4
3076,4
3077,8
3077,4
3078,0
3079,0
3080,0
3081,4
3081,0
3085,0
3100,0
3104,1
3108,5
3112,9
3116,13
3152,13
3153,13
3154,13
3155,13
3156,12
3157,12
3158,12
3159,13
3159,12
3160,8
3161,8
3162,8
3163,12
3163,8
3164,4
3165,4
3166,4
3167,8
3167,4
3168,0
3169,0
3170,0
3171,4
3171,0
3175,0
3286,0
3290,1
3294,2
3298,3
3302,7
3338,7
3339,7
3340,7
3341,7
3342,6
3343,6
3344,6
3345,7
3345,6
3346,5
3347,5
3348,5
3349,6
3349,5
3350,4
3351,4
3352,4
3353,5
3353,4
3354,0
3355,0
3356,0
3357,4
3357,0
3361,0
3420,0
3424,4
3428,8
3464,8
3465,8
3466,8
3467,8
3468,4
3469,4
3470,4
3471,8
3471,4
3472,0
3473,0
3474,0
3475,4
3475,0
3479,0
3528,0
3532,4
3536,8
3574,8
3575,8
3576,8
3577,8
3578,4
3579,4
3580,4
3581,8
3581,4
3582,0
3583,0
3584,0
3585,4
3585,0
3589,0
3616,0
3620,1
3624,5
3628,9
3632,13
3668,13
3669,13
3670,13
3671,13
3672,12
3673,12
3674,12
3675,13
3675,12
3676,8
3677,8
3678,8
3679,12
3679,8
3680,4
3681,4
3682,4
3683,8
3683,4
3684,0
3685,0
3686,0
3687,4
3687,0
3691,0
3704,0
3708,1
3712,2
3716,3
3720,7
3724,11
3728,15
3766,15
3767,15
3768,15
3769,15
3770,14
3771,14
3772,14
3773,15
3773,14
3774,13
3775,13
3776,13
3777,14
3777,13
3778,12
3779,12
3780,12
3781,13
3781,12
3782,8
3783,8
3784,8
3785,12
3785,8
3786,4
3787,4
3788,4
3789,8
3789,4
3790,0
3791,0
3792,0
3793,4
3793,0
3797,0
3824,0
3828,1
3832,5
3836,9
3840,13
3876,13
3877,13
3878,13
3879,13
3880,12
3881,12
3882,12
3883,13
3883,12
3884,8
3885,8
3886,8
3887,12
3887,8
3888,4
3889,4
3890,4
3891,8
3891,4
3892,0
3893,0
3894,0
3895,4
3895,0
3899,0
3910,0
3914,1
3918,5
3922,9
3926,13
3962,13
3963,13
3964,13
3965,13
3966,12
3967,12
3968,12
3969,13
3969,12
3970,8
3971,8
3972,8
3973,12
3973,8
3974,4
3975,4
3976,4
3977,8
3977,4
3978,0
3979,0
3980,0
3981,4
3981,0
3985,0
4026,0
4062,0
4063,0
4064,0
4065,0
4069,0
4084,0
4120,0
4121,0
4122,0
4123,0
4127,0
4166,0
4170,1
4206,1
4207,1
4208,1
4209,1
4210,0
4211,0
4212,0
4213,1
4213,0
4217,0
4374,0
4378,1
4382,2
4386,6
4390,10
4394,14
4430,14
4431,14
4432,14
4433,14
4434,13
4435,13
4436,13
4437,14
4437,13
4438,12
4439,12
4440,12
4441,13
4441,12
4442,8
4443,8
4444,8
4445,12
4445,8
4446,4
4447,4
4448,4
4449,8
4449,4
4450,0
4451,0
4452,0
4453,4
4453,0
4457,0
4488,0
4492,1
4496,2
4500,3
4504,7
4540,7
4541,7
4542,7
4543,7
4544,6
4545,6
4546,6
4547,7
4547,6
4548,5
4549,5
4550,5
4551,6
4551,5
4552,4
4553,4
4554,4
4555,5
4555,4
4556,0
4557,0
4558,0
4559,4
4559,0
4563,0
4584,0
4588,1
4592,5
4596,9
4632,9
4633,9
4634,9
4635,9
4636,8
4637,8
4638,8
4639,9
4639,8
4640,4
4641,4
4642,4
4643,8
4643,4
4644,0
4645,0
4646,0
4647,4
4647,0
4651,0
4670,0
4674,1
4678,2
4682,6
4718,6
4719,6
4720,6
4721,6
4722,5
4723,5
4724,5
4725,6
4725,5
4726,4
4727,4
4728,4
4729,5
4729,4
4730,0
4731,0
4732,0
4733,4
4733,0
4737,0
4748,0
4752,1
4756,5
4760,9
4796,9
4797,9
4798,9
4799,9
4800,8
4801,8
4802,8
4803,9
4803,8
4804,4
4805,4
4806,4
4807,8
4807,4
4808,0
4809,0
4810,0
4811,4
4811,0
4815,0
4834,0
4838,4
4842,8
4878,8
4879,8
4880,8
4881,8
4882,4
4883,4
4884,4
4885,8
4885,4
4886,0
4887,0
4888,0
4889,4
4889,0
4893,0
4916,0
4920,1
4924,5
4928,9
4964,9
4965,9
4966,9
4967,9
4968,8
4969,8
4970,8
4971,9
4971,8
4972,4
4973,4
4974,4
4975,8
4975,4
4976,0
4977,0
4978,0
4979,4
4979,0
4983,0
5022,0
5026,1
5030,2
5034,6
5038,10
5074,10
5075,10
5076,10
5077,10
5078,9
5079,9
5080,9
5081,10
5081,9
5082,8
5083,8
5084,8
5085,9
5085,8
5086,4
5087,4
5088,4
5089,8
5089,4
5090,0
5091,0
5092,0
5093,4
5093,0
5097,0
5120,0
5124,1
5128,2
5132,3
5136,7
5140,11
5176,11
5177,11
5178,11
5179,11
5180,10
5181,10
5182,10
5183,11
5183,10
5184,9
5185,9
5186,9
5187,10
5187,9
5188,8
5189,8
5190,8
5191,9
5191,8
5192,4
5193,4
5194,4
5195,8
5195,4
5196,0
5197,0
5198,0
5199,4
5199,0
5203,0
5218,0
5222,1
5226,2
5230,6
5234,10
5270,10
5271,10
5272,10
5273,10
5274,9
5275,9
5276,9
5277,10
5277,9
5278,8
5279,8
5280,8
5281,9
5281,8
5282,4
5283,4
5284,4
5285,8
5285,4
5286,0
5287,0
5288,0
5289,4
5289,0
5293,0
5324,0
5328,1
5332,2
5336,3
5340,7
5376,7
5377,7
5378,7
5379,7
5380,6
5381,6
5382,6
5383,7
5383,6
5384,5
5385,5
5386,5
5387,6
5387,5
5388,4
5389,4
5390,4
5391,5
5391,4
5392,0
5393,0
5394,0
5395,4
5395,0
5399,0
5428,0
5432,1
5468,1
5469,1
5470,1
5471,1
5472,0
5473,0
5474,0
5475,1
5475,0
5479,0
5510,0
5514,4
5518,8
5554,8
5555,8
5556,8
5557,8
5558,4
5559,4
5560,4
5561,8
5561,4
5562,0
5563,0
5564,0
5565,4
5565,0
5569,0
5582,0
5586,1
5590,2
5594,3
5598,7
5602,11
5638,11
5639,11
5640,11
5641,11
5642,10
5643,10
5644,10
5645,11
5645,10
5646,9
5647,9
5648,9
5649,10
5649,9
5650,8
5651,8
5652,8
5653,9
5653,8
5654,4
5655,4
5656,4
5657,8
5657,4
5658,0
5659,0
5660,0
5661,4
5661,0
5665,0
5682,0
5686,4
5722,4
5723,4
5724,4
5725,4
5726,0
5727,0
5728,0
5729,4
5729,0
5733,0
5762,0
5766,4
5770,8
5774,12
5814,12
5815,12
5816,12
5817,12
5818,8
5819,8
5820,8
5821,12
5821,8
5822,4
5823,4
5824,4
5825,8
5825,4
5826,0
5827,0
5828,0
5829,4
5829,0
5833,0
5898,0
5902,4
5906,8
5942,8
5943,8
5944,8
5945,8
5946,4
5947,4
5948,4
5949,8
5949,4
5950,0
5951,0
5952,0
5953,4
5953,0
5957,0
5996,0
6000,1
6004,5
6008,9
6044,9
6045,9
6046,9
6047,9
6048,8
6049,8
6050,8
6051,9
6051,8
6052,4
6053,4
6054,4
6055,8
6055,4
6056,0
6057,0
6058,0
6059,4
6059,0
6063,0
6118,0
6154,0
6155,0
6156,0
6157,0
6161,0
6224,0
6228,1
6232,5
6236,9
6272,9
6273,9
6274,9
6275,9
6276,8
6277,8
6278,8
6279,9
6279,8
6280,4
6281,4
6282,4
6283,8
6283,4
6284,0
6285,0
6286,0
6287,4
6287,0
6291,0
6316,0
6320,1
6324,2
6328,3
6364,3
6365,3
6366,3
6367,3
6368,2
6369,2
6370,2
6371,3
6371,2
6372,1
6373,1
6374,1
6375,2
6375,1
6376,0
6377,0
6378,0
6379,1
6379,0
6383,0
6422,0
6426,4
6462,4
6463,4
6464,4
6465,4
6466,0
6467,0
6468,0
6469,4
6469,0
6473,0
6528,0
6564,0
6565,0
6566,0
6567,0
6571,0
6676,0
6680,1
