Index,Router,Time
1,0,5
2,1,9
3,2,13
4,3,17
5,7,21
6,7,60
7,7,61
8,7,62
9,7,63
10,6,64
11,6,65
12,6,66
13,7,67
14,6,67
15,5,68
16,5,69
17,5,70
18,6,71
19,5,71
20,4,72
21,4,73
22,4,74
23,5,75
24,4,75
25,0,76
26,0,77
27,0,78
28,4,79
29,0,79
30,0,83
31,0,98
32,4,102
33,8,106
34,8,144
35,8,145
36,8,146
37,8,147
38,4,148
39,4,149
40,4,150
41,8,151
42,4,151
43,0,152
44,0,153
45,0,154
46,4,155
47,0,155
48,0,159
49,0,200
50,1,204
51,2,208
52,6,212
53,6,250
54,6,251
55,6,252
56,6,253
57,5,254
58,5,255
59,5,256
60,6,257
61,5,257
62,4,258
63,4,259
64,4,260
65,5,261
66,4,261
67,0,262
68,0,263
69,0,264
70,4,265
71,0,265
72,0,269
73,0,304
74,1,308
75,2,312
76,3,316
77,7,320
78,7,356
79,7,357
80,7,358
81,7,359
82,6,360
83,6,361
84,6,362
85,7,363
86,6,363
87,5,364
88,5,365
89,5,366
90,6,367
91,5,367
92,4,368
93,4,369
94,4,370
95,5,371
96,4,371
97,0,372
98,0,373
99,0,374
100,4,375
101,0,375
102,0,379
103,0,402
104,1,406
105,5,410
106,5,448
107,5,449
108,5,450
109,5,451
110,4,452
111,4,453
112,4,454
113,5,455
114,4,455
115,0,456
116,0,457
117,0,458
118,4,459
119,0,459
120,0,463
121,0,488
122,1,492
123,1,530
124,1,531
125,1,532
126,1,533
127,0,534
128,0,535
129,0,536
130,1,537
131,0,537
132,0,541
133,0,554
134,1,558
135,2,562
136,3,566
137,7,570
138,7,606
139,7,607
140,7,608
141,7,609
142,6,610
143,6,611
144,6,612
145,7,613
146,6,613
147,5,614
148,5,615
149,5,616
150,6,617
151,5,617
152,4,618
153,4,619
154,4,620
155,5,621
156,4,621
157,0,622
158,0,623
159,0,624
160,4,625
161,0,625
162,0,629
163,0,640
164,1,644
165,1,680
166,1,681
167,1,682
168,1,683
169,0,684
170,0,685
171,0,686
172,1,687
173,0,687
174,0,691
175,0,726
176,1,730
177,2,734
178,6,738
179,10,742
180,14,746
181,14,784
182,14,785
183,14,786
184,14,787
185,13,788
186,13,789
187,13,790
188,14,791
189,13,791
190,12,792
191,12,793
192,12,794
193,13,795
194,12,795
195,8,796
196,8,797
197,8,798
198,12,799
199,8,799
200,4,800
201,4,801
202,4,802
203,8,803
204,4,803
205,0,804
206,0,805
207,0,806
208,4,807
209,0,807
210,0,811
211,0,826
212,1,830
213,2,834
214,3,838
215,7,842
216,11,846
217,11,884
218,11,885
219,11,886
220,11,887
221,10,888
222,10,889
223,10,890
224,11,891
225,10,891
226,9,892
227,9,893
228,9,894
229,10,895
230,9,895
231,8,896
232,8,897
233,8,898
234,9,899
235,8,899
236,4,900
237,4,901
238,4,902
239,8,903
240,4,903
241,0,904
242,0,905
243,0,906
244,4,907
245,0,907
246,0,911
247,0,930
248,1,934
249,5,938
250,9,942
251,9,980
252,9,981
253,9,982
254,9,983
255,8,984
256,8,985
257,8,986
258,9,987
259,8,987
260,4,988
261,4,989
262,4,990
263,8,991
264,4,991
265,0,992
266,0,993
267,0,994
268,4,995
269,0,995
270,0,999
271,0,1016
272,4,1020
273,4,1058
274,4,1059
275,4,1060
276,4,1061
277,0,1062
278,0,1063
279,0,1064
280,4,1065
281,0,1065
282,0,1069
283,0,1086
284,4,1090
285,8,1094
286,12,1098
287,12,1136
288,12,1137
289,12,1138
290,12,1139
291,8,1140
292,8,1141
293,8,1142
294,12,1143
295,8,1143
296,4,1144
297,4,1145
298,4,1146
299,8,1147
300,4,1147
301,0,1148
302,0,1149
303,0,1150
304,4,1151
305,0,1151
306,0,1155
307,0,1188
308,1,1192
309,2,1196
310,6,1200
311,10,1204
312,10,1242
313,10,1243
314,10,1244
315,10,1245
316,9,1246
317,9,1247
318,9,1248
319,10,1249
320,9,1249
321,8,1250
322,8,1251
323,8,1252
324,9,1253
325,8,1253
326,4,1254
327,4,1255
328,4,1256
329,8,1257
330,4,1257
331,0,1258
332,0,1259
333,0,1260
334,4,1261
335,0,1261
336,0,1265
337,0,1280
338,1,1284
339,5,1288
340,9,1292
341,13,1296
342,13,1334
343,13,1335
344,13,1336
345,13,1337
346,12,1338
347,12,1339
348,12,1340
349,13,1341
350,12,1341
351,8,1342
352,8,1343
353,8,1344
354,12,1345
355,8,1345
356,4,1346
357,4,1347
358,4,1348
359,8,1349
360,4,1349
361,0,1350
362,0,1351
363,0,1352
364,4,1353
365,0,1353
366,0,1357
367,0,1374
368,1,1378
369,5,1382
370,5,1418
371,5,1419
372,5,1420
373,5,1421
374,4,1422
375,4,1423
376,4,1424
377,5,1425
378,4,1425
379,0,1426
380,0,1427
381,0,1428
382,4,1429
383,0,1429
384,0,1433
385,0,1466
386,1,1470
387,2,1474
388,6,1478
389,10,1482
390,14,1486
391,14,1522
392,14,1523
393,14,1524
394,14,1525
395,13,1526
396,13,1527
397,13,1528
398,14,1529
399,13,1529
400,12,1530
401,12,1531
402,12,1532
403,13,1533
404,12,1533
405,8,1534
406,8,1535
407,8,1536
408,12,1537
409,8,1537
410,4,1538
411,4,1539
412,4,1540
413,8,1541
414,4,1541
415,0,1542
416,0,1543
417,0,1544
418,4,1545
419,0,1545
420,0,1549
421,0,1568
422,4,1572
423,4,1608
424,4,1609
425,4,1610
426,4,1611
427,0,1612
428,0,1613
429,0,1614
430,4,1615
431,0,1615
432,0,1619
433,0,1634
434,1,1638
435,1,1674
436,1,1675
437,1,1676
438,1,1677
439,0,1678
440,0,1679
441,0,1680
442,1,1681
443,0,1681
444,0,1685
445,0,1718
446,1,1722
447,2,1726
448,6,1730
449,6,1766
450,6,1767
451,6,1768
452,6,1769
453,5,1770
454,5,1771
455,5,1772
456,6,1773
457,5,1773
458,4,1774
459,4,1775
460,4,1776
461,5,1777
462,4,1777
463,0,1778
464,0,1779
465,0,1780
466,4,1781
467,0,1781
468,0,1785
469,0,1812
470,1,1816
471,2,1820
472,3,1824
473,3,1862
474,3,1863
475,3,1864
476,3,1865
477,2,1866
478,2,1867
479,2,1868
480,3,1869
481,2,1869
482,1,1870
483,1,1871
484,1,1872
485,2,1873
486,1,1873
487,0,1874
488,0,1875
489,0,1876
490,1,1877
491,0,1877
492,0,1881
493,0,1920
494,1,1924
495,1,1960
496,1,1961
497,1,1962
498,1,1963
499,0,1964
500,0,1965
501,0,1966
502,1,1967
503,0,1967
504,0,1971
505,0,1982
506,1,1986
507,2,1990
508,3,1994
509,7,1998
510,11,2002
511,11,2038
512,11,2039
513,11,2040
514,11,2041
515,10,2042
516,10,2043
517,10,2044
518,11,2045
519,10,2045
520,9,2046
521,9,2047
522,9,2048
523,10,2049
524,9,2049
525,8,2050
526,8,2051
527,8,2052
528,9,2053
529,8,2053
530,4,2054
531,4,2055
532,4,2056
533,8,2057
534,4,2057
535,0,2058
536,0,2059
537,0,2060
538,4,2061
539,0,2061
540,0,2065
541,0,2104
542,0,2142
543,0,2143
544,0,2144
545,0,2145
546,0,2149
547,0,2160
548,1,2164
549,2,2168
550,6,2172
551,10,2176
552,10,2212
553,10,2213
554,10,2214
555,10,2215
556,9,2216
557,9,2217
558,9,2218
559,10,2219
560,9,2219
561,8,2220
562,8,2221
563,8,2222
564,9,2223
565,8,2223
566,4,2224
567,4,2225
568,4,2226
569,8,2227
570,4,2227
571,0,2228
572,0,2229
573,0,2230
574,4,2231
575,0,2231
576,0,2235
577,0,2260
578,1,2264
579,2,2268
580,6,2272
581,10,2276
582,10,2312
583,10,2313
584,10,2314
585,10,2315
586,9,2316
587,9,2317
588,9,2318
589,10,2319
590,9,2319
591,8,2320
592,8,2321
593,8,2322
594,9,2323
595,8,2323
596,4,2324
597,4,2325
598,4,2326
599,8,2327
600,4,2327
601,0,2328
602,0,2329
603,0,2330
604,4,2331
605,0,2331
606,0,2335
607,0,2396
608,1,2400
609,5,2404
610,9,2408
611,9,2444
612,9,2445
613,9,2446
614,9,2447
615,8,2448
616,8,2449
617,8,2450
618,9,2451
619,8,2451
620,4,2452
621,4,2453
622,4,2454
623,8,2455
624,4,2455
625,0,2456
626,0,2457
627,0,2458
628,4,2459
629,0,2459
630,0,2463
631,0,2540
632,1,2544
633,2,2548
634,3,2552
635,7,2556
636,11,2560
637,11,2596
638,11,2597
639,11,2598
640,11,2599
641,10,2600
642,10,2601
643,10,2602
644,11,2603
645,10,2603
646,9,2604
647,9,2605
648,9,2606
649,10,2607
650,9,2607
651,8,2608
652,8,2609
653,8,2610
654,9,2611
655,8,2611
656,4,2612
657,4,2613
658,4,2614
659,8,2615
660,4,2615
661,0,2616
662,0,2617
663,0,2618
664,4,2619
665,0,2619
666,0,2623
667,0,2738
668,4,2742
669,8,2746
670,12,2750
671,12,2786
672,12,2787
673,12,2788
674,12,2789
675,8,2790
676,8,2791
677,8,2792
678,12,2793
679,8,2793
680,4,2794
681,4,2795
682,4,2796
683,8,2797
684,4,2797
685,0,2798
686,0,2799
687,0,2800
688,4,2801
689,0,2801
690,0,2805
691,0,2934
692,1,2938
693,2,2942
694,2,2980
695,2,2981
696,2,2982
697,2,2983
698,1,2984
699,1,2985
700,1,2986
701,2,2987
702,1,2987
703,0,2988
704,0,2989
705,0,2990
706,1,2991
707,0,2991
708,0,2995
709,0,3018
710,4,3022
711,8,3026
712,12,3030
713,12,3066
714,12,3067
715,12,3068
716,12,3069
717,8,3070
718,8,3071
719,8,3072
720,12,3073
721,8,3073
722,4,3074
723,4,3075
724,4,3076
725,8,3077
726,4,3077
727,0,3078
728,0,3079
729,0,3080
730,4,3081
731,0,3081
732,0,3085
733,0,3100
734,1,3104
735,5,3108
736,9,3112
737,13,3116
738,13,3152
739,13,3153
740,13,3154
741,13,3155
742,12,3156
743,12,3157
744,12,3158
745,13,3159
746,12,3159
747,8,3160
748,8,3161
749,8,3162
750,12,3163
751,8,3163
752,4,3164
753,4,3165
754,4,3166
755,8,3167
756,4,3167
757,0,3168
758,0,3169
759,0,3170
760,4,3171
761,0,3171
762,0,3175
763,0,3286
764,1,3290
765,2,3294
766,3,3298
767,7,3302
768,7,3338
769,7,3339
770,7,3340
771,7,3341
772,6,3342
773,6,3343
774,6,3344
775,7,3345
776,6,3345
777,5,3346
778,5,3347
779,5,3348
780,6,3349
781,5,3349
782,4,3350
783,4,3351
784,4,3352
785,5,3353
786,4,3353
787,0,3354
788,0,3355
789,0,3356
790,4,3357
791,0,3357
792,0,3361
793,0,3420
794,4,3424
795,8,3428
796,8,3464
797,8,3465
798,8,3466
799,8,3467
800,4,3468
801,4,3469
802,4,3470
803,8,3471
804,4,3471
805,0,3472
806,0,3473
807,0,3474
808,4,3475
809,0,3475
810,0,3479
