,Time,Routers
0,5,1
1,9,2
2,13,3
3,17,4
4,21,8
5,60,8
6,61,8
7,62,8
8,63,8
9,64,7
10,65,7
11,66,7
12,67,8
13,67,7
14,68,6
15,69,6
16,70,6
17,71,7
18,71,6
19,72,5
20,73,5
21,74,5
22,75,6
23,75,5
24,76,1
25,77,1
26,78,1
27,79,5
28,79,1
29,83,1
30,98,1
31,102,5
32,106,9
33,144,9
34,145,9
35,146,9
36,147,9
37,148,5
38,149,5
39,150,5
40,151,9
41,151,5
42,152,1
43,153,1
44,154,1
45,155,5
46,155,1
47,159,1
48,200,1
49,204,2
50,208,3
51,212,7
52,250,7
53,251,7
54,252,7
55,253,7
56,254,6
57,255,6
58,256,6
59,257,7
60,257,6
61,258,5
62,259,5
63,260,5
64,261,6
65,261,5
66,262,1
67,263,1
68,264,1
69,265,5
70,265,1
71,269,1
72,304,1
73,308,2
74,312,3
75,316,4
76,320,8
77,356,8
78,357,8
79,358,8
80,359,8
81,360,7
82,361,7
83,362,7
84,363,8
85,363,7
86,364,6
87,365,6
88,366,6
89,367,7
90,367,6
91,368,5
92,369,5
93,370,5
94,371,6
95,371,5
96,372,1
97,373,1
98,374,1
99,375,5
100,375,1
101,379,1
102,402,1
103,406,2
104,410,6
105,448,6
106,449,6
107,450,6
108,451,6
109,452,5
110,453,5
111,454,5
112,455,6
113,455,5
114,456,1
115,457,1
116,458,1
117,459,5
118,459,1
119,463,1
120,488,1
121,492,2
122,530,2
123,531,2
124,532,2
125,533,2
126,534,1
127,535,1
128,536,1
129,537,2
130,537,1
131,541,1
132,554,1
133,558,2
134,562,3
135,566,4
136,570,8
137,606,8
138,607,8
139,608,8
140,609,8
141,610,7
142,611,7
143,612,7
144,613,8
145,613,7
146,614,6
147,615,6
148,616,6
149,617,7
150,617,6
151,618,5
152,619,5
153,620,5
154,621,6
155,621,5
156,622,1
157,623,1
158,624,1
159,625,5
160,625,1
161,629,1
162,640,1
163,644,2
164,680,2
165,681,2
166,682,2
167,683,2
168,684,1
169,685,1
170,686,1
171,687,2
172,687,1
173,691,1
174,726,1
175,730,2
176,734,3
177,738,7
178,742,11
179,746,15
180,784,15
181,785,15
182,786,15
183,787,15
184,788,14
185,789,14
186,790,14
187,791,15
188,791,14
189,792,13
190,793,13
191,794,13
192,795,14
193,795,13
194,796,9
195,797,9
196,798,9
197,799,13
198,799,9
199,800,5
200,801,5
201,802,5
202,803,9
203,803,5
204,804,1
205,805,1
206,806,1
207,807,5
208,807,1
209,811,1
210,826,1
211,830,2
212,834,3
213,838,4
214,842,8
215,846,12
216,884,12
217,885,12
218,886,12
219,887,12
220,888,11
221,889,11
222,890,11
223,891,12
224,891,11
225,892,10
226,893,10
227,894,10
228,895,11
229,895,10
230,896,9
231,897,9
232,898,9
233,899,10
234,899,9
235,900,5
236,901,5
237,902,5
238,903,9
239,903,5
