time_intervals,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,pkt_get,pkt_data,pkt_put,pkt_ack,inport_local,inport_north,inport_south,inport_east,inport_west,outport_local,outport_north,outport_south,outport_east,outport_west,target,tot_packets,tot_mean
10000,613,194,105,48,385,110,105,70,264,153,110,50,84,66,34,12,375,1866,135,27,618,695,711,179,200,613,179,200,699,712,1,2391,159.4
10000,675,825,201,95,445,521,179,117,300,423,174,86,114,232,118,48,728,3627,165,33,1254,1479,1076,351,393,1246,351,393,1486,1077,0,4505,300.3333333333333
20000,707,860,384,171,419,406,182,76,207,264,139,52,92,178,158,72,575,2880,760,152,1209,1072,1085,453,548,1215,453,548,1067,1084,0,4295,286.3333333333333
20000,629,266,202,89,337,122,129,50,175,86,84,23,74,64,67,30,314,1579,445,89,624,544,700,232,327,629,232,327,540,699,1,2397,159.8
30000,672,266,172,86,316,108,80,65,200,78,74,45,104,89,81,30,286,1430,625,125,672,553,586,293,362,672,293,362,553,586,1,2436,162.4
30000,776,1015,467,235,375,437,205,169,232,285,145,112,116,224,206,108,555,2782,1475,295,1425,1148,1033,723,778,1426,723,778,1146,1034,0,4999,333.26666666666665
40000,697,290,196,109,341,115,72,84,236,99,74,76,129,101,87,43,311,1520,765,153,697,614,639,385,414,697,385,414,614,639,1,2706,180.4
40000,782,1027,409,217,418,465,190,142,287,313,161,126,171,214,179,108,567,2812,1525,305,1434,1207,1015,806,747,1430,806,747,1207,1019,0,5101,340.06666666666666
50000,558,243,152,79,249,102,91,67,165,100,77,54,47,41,65,29,187,970,802,160,558,397,436,350,378,557,350,379,397,436,1,2090,139.33333333333334
50000,690,941,445,242,367,378,198,151,184,199,106,76,65,103,78,54,387,1944,1626,320,1296,754,827,654,746,1298,655,748,754,822,0,4223,281.53333333333336
60000,851,1082,532,258,511,441,221,137,295,321,233,142,155,206,179,78,513,2565,2134,430,1505,1170,1014,1024,929,1507,1023,928,1170,1014,0,5564,370.93333333333334
