timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
991,3,4,3,1,4,3,9,29,13,27,11,9,3,2,0.6666666666666666,15,1,1,1,1,1,12,3,12,108,9,27,27,1
2310,3,4,3,1,4,3,9,29,13,27,11,22,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,264,9,27,27,1
2956,3,4,3,1,4,3,9,29,13,27,11,27,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,324,9,27,27,1
4220,0,3,1,1,4,3,9,0,0,31,15,36,6,6,1.0,28,1,1,1,1,1,0,1,4,144,3,27,9,1
4228,4,0,2,1,4,3,9,31,15,30,14,36,1,0,0.0,4,1,1,1,1,1,0,2,8,288,6,27,18,1
4272,0,4,3,1,4,3,9,30,14,31,15,36,1,1,1.0,8,1,1,1,1,1,0,3,12,432,9,27,27,1
5886,3,4,3,1,4,3,9,29,13,27,11,50,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,600,9,27,27,1
6416,3,4,3,1,4,3,9,29,13,27,11,55,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,660,9,27,27,1
8458,3,4,3,1,4,3,9,29,13,27,11,72,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,864,9,27,27,1
8924,0,3,1,1,4,3,9,0,0,31,15,77,6,6,1.0,28,1,1,1,1,1,0,1,4,308,3,27,9,1
8932,4,0,2,1,4,3,10,31,15,30,14,77,1,0,0.0,4,1,1,1,1,1,0,2,8,616,6,30,18,1
8980,0,4,3,1,4,3,9,30,14,31,15,77,1,1,1.0,12,1,1,1,1,1,0,3,12,924,9,27,27,1
11258,3,4,3,1,4,3,9,29,13,27,11,101,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,1212,9,27,27,1
11372,3,4,3,1,4,3,9,29,13,27,11,102,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,1224,9,27,27,1
12584,3,4,3,1,4,3,9,29,13,27,11,116,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,1392,9,27,27,1
12909,0,3,1,1,4,3,9,0,0,31,15,120,6,6,1.0,28,1,1,1,1,1,0,1,4,480,3,27,9,1
12917,4,0,2,1,4,3,11,31,15,30,14,120,1,0,0.0,4,1,1,1,1,1,0,2,8,960,6,33,18,1
12962,0,4,3,1,4,3,9,30,14,31,15,120,1,1,1.0,8,1,1,1,1,1,0,3,12,1440,9,27,27,1
13482,0,3,1,1,4,3,9,0,0,31,15,127,6,6,1.0,28,1,1,1,1,1,0,1,4,508,3,27,9,1
13490,4,0,2,1,4,3,12,31,15,30,14,127,1,0,0.0,4,1,1,1,1,1,0,2,8,1016,6,36,18,1
13534,0,4,3,1,4,3,9,30,14,31,15,127,1,1,1.0,8,1,1,1,1,1,0,3,12,1524,9,27,27,1
14957,0,3,1,1,4,3,9,0,0,31,15,142,6,6,1.0,28,1,1,1,1,1,0,1,4,568,3,27,9,1
14965,4,0,2,1,4,3,9,31,15,30,14,142,1,0,0.0,4,1,1,1,1,1,0,2,8,1136,6,27,18,1
15014,0,4,3,1,4,3,9,30,14,31,15,142,1,1,1.0,12,1,1,1,1,1,0,3,12,1704,9,27,27,1
17504,0,3,1,1,4,3,9,0,0,31,15,171,6,6,1.0,28,1,1,1,1,1,0,1,4,684,3,27,9,1
17512,4,0,2,1,4,3,10,31,15,30,14,171,1,0,0.0,4,1,1,1,1,1,0,2,8,1368,6,30,18,1
17560,0,4,3,1,4,3,9,30,14,31,15,171,1,1,1.0,8,1,1,1,1,1,0,3,12,2052,9,27,27,1
19736,3,4,3,1,4,3,9,29,13,27,11,189,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,2268,9,27,27,1
20394,0,3,1,1,4,3,9,0,0,31,15,193,6,6,1.0,28,1,1,1,1,1,0,1,4,772,3,27,9,1
20402,4,0,2,1,4,3,11,31,15,30,14,193,1,0,0.0,4,1,1,1,1,1,0,2,8,1544,6,33,18,1
20446,0,4,3,1,4,3,9,30,14,31,15,193,1,1,1.0,8,1,1,1,1,1,0,3,12,2316,9,27,27,1
22508,3,4,3,1,4,3,9,29,13,27,11,206,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,2472,9,27,27,1
23172,0,3,1,1,4,3,9,0,0,31,15,210,6,6,1.0,28,1,1,1,1,1,0,1,4,840,3,27,9,1
23180,4,0,2,1,4,3,12,31,15,30,14,210,1,0,0.0,4,1,1,1,1,1,0,2,8,1680,6,36,18,1
23227,0,4,3,1,4,3,9,30,14,31,15,210,1,1,1.0,11,1,1,1,1,1,0,3,12,2520,9,27,27,1
28858,3,4,3,1,4,3,9,29,13,27,11,269,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,3228,9,27,27,1
29554,3,4,3,1,4,3,9,29,13,27,11,274,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,3288,9,27,27,1
30429,0,3,5,1,1,3,9,0,0,31,15,283,6,6,1.0,28,1,1,1,1,1,0,5,5,1415,15,27,45,1
30436,0,3,5,2,2,3,9,0,0,31,15,283,6,6,1.0,35,1,1,1,1,1,0,10,20,5660,15,27,45,1
30443,0,3,5,3,2,3,9,0,0,31,15,283,6,6,1.0,42,1,1,1,1,1,0,15,30,8490,15,27,45,1
30450,0,3,5,4,2,3,9,0,0,31,15,283,6,6,1.0,49,1,1,1,1,1,0,20,40,11320,15,27,45,1
30457,0,3,5,5,3,3,9,0,0,31,15,283,6,6,1.0,56,1,1,1,1,1,0,25,75,21225,15,27,45,1
30458,0,3,1,1,4,3,10,0,0,31,15,284,6,6,1.0,56,1,1,1,1,1,0,1,4,1136,3,30,9,1
30465,4,0,6,1,1,3,9,31,15,30,14,283,1,0,0.0,4,1,1,1,1,1,0,6,6,1698,18,27,54,1
30472,4,0,6,2,2,3,9,31,15,30,14,283,1,0,0.0,11,1,1,1,1,1,0,12,24,6792,18,27,54,1
30479,4,0,6,3,2,3,9,31,15,30,14,283,1,0,0.0,18,1,1,1,1,1,0,18,36,10188,18,27,54,1
30486,4,0,6,4,2,3,9,31,15,30,14,283,1,0,0.0,25,1,1,1,1,1,0,24,48,13584,18,27,54,1
30493,4,0,6,5,3,3,9,31,15,30,14,283,1,0,0.0,32,1,1,1,1,1,0,30,90,25470,18,27,54,1
30494,4,0,2,1,4,3,10,31,15,30,14,284,1,0,0.0,32,1,1,1,1,1,0,2,8,2272,6,30,18,1
30496,4,0,7,1,4,3,11,31,15,0,0,283,6,0,0.0,4,1,1,1,1,1,0,7,28,7924,21,33,63,1
30540,0,4,3,1,4,3,9,30,14,31,15,284,1,1,1.0,10,1,1,1,1,1,0,3,12,3408,9,27,27,1
31326,3,4,3,1,4,3,9,29,13,27,11,293,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,3516,9,27,27,1
32038,0,3,1,1,4,3,9,0,0,31,15,301,6,6,1.0,28,1,1,1,1,1,0,1,4,1204,3,27,9,1
32046,4,0,2,1,4,3,12,31,15,30,14,301,1,0,0.0,4,1,1,1,1,1,0,2,8,2408,6,36,18,1
32093,0,4,3,1,4,3,9,30,14,31,15,301,1,1,1.0,11,1,1,1,1,1,0,3,12,3612,9,27,27,1
32384,0,3,1,1,4,3,9,0,0,31,15,304,6,6,1.0,28,1,1,1,1,1,0,1,4,1216,3,27,9,1
32392,4,0,2,1,4,3,9,31,15,30,14,304,1,0,0.0,4,1,1,1,1,1,0,2,8,2432,6,27,18,1
32436,0,4,3,1,4,3,9,30,14,31,15,304,1,1,1.0,8,1,1,1,1,1,0,3,12,3648,9,27,27,1
33016,3,4,3,1,4,3,9,29,13,27,11,310,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,3720,9,27,27,1
34962,0,3,5,1,1,3,9,0,0,31,15,334,6,6,1.0,28,1,1,1,1,1,0,5,5,1670,15,27,45,1
34969,0,3,5,2,2,3,9,0,0,31,15,334,6,6,1.0,35,1,1,1,1,1,0,10,20,6680,15,27,45,1
34976,0,3,5,3,2,3,9,0,0,31,15,334,6,6,1.0,42,1,1,1,1,1,0,15,30,10020,15,27,45,1
34983,0,3,5,4,2,3,9,0,0,31,15,334,6,6,1.0,49,1,1,1,1,1,0,20,40,13360,15,27,45,1
34990,0,3,5,5,3,3,9,0,0,31,15,334,6,6,1.0,56,1,1,1,1,1,0,25,75,25050,15,27,45,1
34991,0,3,1,1,4,3,10,0,0,31,15,335,6,6,1.0,56,1,1,1,1,1,0,1,4,1340,3,30,9,1
34998,4,0,6,1,1,3,10,31,15,30,14,334,1,0,0.0,4,1,1,1,1,1,0,6,6,2004,18,30,54,1
35005,4,0,6,2,2,3,10,31,15,30,14,334,1,0,0.0,11,1,1,1,1,1,0,12,24,8016,18,30,54,1
35012,4,0,6,3,2,3,10,31,15,30,14,334,1,0,0.0,18,1,1,1,1,1,0,18,36,12024,18,30,54,1
35019,4,0,6,4,2,3,10,31,15,30,14,334,1,0,0.0,25,1,1,1,1,1,0,24,48,16032,18,30,54,1
35026,4,0,6,5,3,3,10,31,15,30,14,334,1,0,0.0,32,1,1,1,1,1,0,30,90,30060,18,30,54,1
35027,4,0,2,1,4,3,11,31,15,30,14,335,1,0,0.0,32,1,1,1,1,1,0,2,8,2680,6,33,18,1
35028,4,0,7,1,4,3,12,31,15,0,0,334,6,0,0.0,6,1,1,1,1,1,0,7,28,9352,21,36,63,1
35075,0,4,3,1,4,3,9,30,14,31,15,335,1,1,1.0,11,1,1,1,1,1,0,3,12,4020,9,27,27,1
35350,3,4,3,1,4,3,9,29,13,27,11,337,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,4044,9,27,27,1
35650,0,3,5,1,1,3,9,0,0,31,15,340,6,6,1.0,28,1,1,1,1,1,0,5,5,1700,15,27,45,1
35657,0,3,5,2,2,3,9,0,0,31,15,340,6,6,1.0,35,1,1,1,1,1,0,10,20,6800,15,27,45,1
35664,0,3,5,3,2,3,9,0,0,31,15,340,6,6,1.0,42,1,1,1,1,1,0,15,30,10200,15,27,45,1
35671,0,3,5,4,2,3,9,0,0,31,15,340,6,6,1.0,49,1,1,1,1,1,0,20,40,13600,15,27,45,1
35678,0,3,5,5,3,3,9,0,0,31,15,340,6,6,1.0,56,1,1,1,1,1,0,25,75,25500,15,27,45,1
35679,0,3,1,1,4,3,10,0,0,31,15,341,6,6,1.0,56,1,1,1,1,1,0,1,4,1364,3,30,9,1
35686,4,0,6,1,1,3,9,31,15,30,14,340,1,0,0.0,4,1,1,1,1,1,0,6,6,2040,18,27,54,1
35693,4,0,6,2,2,3,9,31,15,30,14,340,1,0,0.0,11,1,1,1,1,1,0,12,24,8160,18,27,54,1
35700,4,0,6,3,2,3,9,31,15,30,14,340,1,0,0.0,18,1,1,1,1,1,0,18,36,12240,18,27,54,1
35707,4,0,6,4,2,3,9,31,15,30,14,340,1,0,0.0,25,1,1,1,1,1,0,24,48,16320,18,27,54,1
35714,4,0,6,5,3,3,9,31,15,30,14,340,1,0,0.0,32,1,1,1,1,1,0,30,90,30600,18,27,54,1
35715,4,0,2,1,4,3,10,31,15,30,14,341,1,0,0.0,32,1,1,1,1,1,0,2,8,2728,6,30,18,1
35716,4,0,7,1,4,3,11,31,15,0,0,340,6,0,0.0,6,1,1,1,1,1,0,7,28,9520,21,33,63,1
35760,0,4,3,1,4,3,9,30,14,31,15,341,1,1,1.0,8,1,1,1,1,1,0,3,12,4092,9,27,27,1
37062,3,4,3,1,4,3,9,29,13,27,11,354,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,4248,9,27,27,1
38984,3,4,3,1,4,3,9,29,13,27,11,374,3,2,0.6666666666666666,14,1,1,1,1,1,12,3,12,4488,9,27,27,1
39582,0,3,1,1,4,3,9,0,0,31,15,380,6,6,1.0,28,1,1,1,1,1,0,1,4,1520,3,27,9,1
