timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
31,3,2,2,1,4,3,9,23,7,18,2,1,2,1,0.5,8,2,1,2,2,4,6,2,8,8,6,27,18,0
35,3,2,2,1,4,3,10,23,7,18,2,0,2,1,0.5,8,1,2,2,2,4,6,2,8,0,6,30,18,0
237,0,3,1,1,4,3,9,1,1,22,6,4,2,2,1.0,12,1,1,1,1,1,0,1,4,16,3,27,9,0
245,3,0,2,1,4,3,9,22,6,18,2,4,1,0,0.0,4,4,1,4,4,16,0,2,8,32,6,27,18,0
266,0,3,1,1,4,3,9,0,0,22,6,5,3,3,1.0,16,3,2,4,6,24,0,1,4,20,3,27,9,0
274,3,0,2,1,4,3,10,22,6,18,2,5,1,0,0.0,4,2,3,4,6,24,0,2,8,40,6,30,18,0
290,0,3,3,1,4,3,9,18,2,22,6,4,1,1,1.0,8,1,4,4,4,16,0,3,12,48,9,27,27,0
318,0,3,3,1,4,3,9,18,2,22,6,5,1,1,1.0,8,3,1,3,3,9,0,3,12,60,9,27,27,0
357,3,2,2,1,4,3,9,23,7,18,2,6,2,1,0.5,8,2,2,3,4,12,6,2,8,48,6,27,18,0
393,3,2,2,1,4,3,9,23,7,18,2,7,2,1,0.5,8,1,3,3,3,9,6,2,8,56,6,27,18,0
448,3,4,2,1,4,3,9,21,5,18,2,8,2,1,0.5,8,2,1,2,2,4,12,2,8,64,6,27,18,0
493,3,4,2,1,4,3,9,21,5,18,2,9,2,1,0.5,8,1,2,2,2,4,12,2,8,72,6,27,18,0
608,3,2,2,1,4,3,9,23,7,18,2,12,2,1,0.5,8,1,1,1,1,1,6,2,8,96,6,27,18,0
666,3,2,2,1,4,3,9,23,7,18,2,13,2,1,0.5,8,1,1,1,1,1,6,2,8,104,6,27,18,0
760,1,3,1,1,4,3,9,1,1,30,14,16,4,2,0.5,12,1,1,1,1,1,3,1,4,64,3,27,9,0
832,1,3,1,1,4,3,9,0,0,30,14,17,5,3,0.6,16,1,1,1,1,1,3,1,4,68,3,27,9,0
