timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
751,0,1,2,1,4,3,9,30,14,27,11,17,2,2,1.0,12,1,1,1,1,1,0,2,8,136,6,27,18,1
790,4,0,3,1,4,3,9,27,11,30,14,17,2,0,0.0,4,1,1,1,1,1,0,3,12,204,9,27,27,1
791,4,0,4,1,1,5,17,27,11,5,5,17,3,0,0.0,5,1,1,1,1,1,0,4,4,68,20,85,100,1
792,4,0,4,2,2,5,17,27,11,5,5,17,3,0,0.0,6,1,1,1,1,1,0,8,16,272,20,85,100,1
793,4,0,4,3,2,5,17,27,11,5,5,17,3,0,0.0,7,1,1,1,1,1,0,12,24,408,20,85,100,1
794,4,0,4,4,2,5,17,27,11,5,5,17,3,0,0.0,8,1,1,1,1,1,0,16,32,544,20,85,100,1
798,4,0,4,5,3,5,17,27,11,5,5,17,3,0,0.0,12,1,1,1,1,1,0,20,60,1020,20,85,100,1
837,0,3,1,1,4,3,9,5,5,27,11,19,3,3,1.0,16,9,1,9,9,81,0,1,4,76,3,27,9,1
845,0,1,2,1,4,3,9,30,14,27,11,18,2,2,1.0,12,8,2,9,16,144,0,2,8,144,6,27,18,1
845,4,0,2,1,4,3,10,27,11,24,8,19,3,0,0.0,4,7,3,9,21,189,0,2,8,152,6,30,18,1
886,4,0,4,1,1,5,18,27,11,0,0,18,5,0,0.0,4,6,4,9,24,216,0,4,4,72,20,90,100,1
887,4,0,3,1,4,3,11,27,11,30,14,18,2,0,0.0,5,5,5,9,25,225,0,3,12,216,9,33,27,1
888,4,0,4,2,2,5,18,27,11,0,0,18,5,0,0.0,6,4,6,9,24,216,0,8,16,288,20,90,100,1
889,4,0,4,3,2,5,18,27,11,0,0,18,5,0,0.0,7,3,7,9,21,189,0,12,24,432,20,90,100,1
890,4,0,4,4,2,5,18,27,11,0,0,18,5,0,0.0,8,2,8,9,16,144,0,16,32,576,20,90,100,1
893,4,0,4,5,3,5,18,27,11,0,0,18,5,0,0.0,11,1,9,9,9,81,0,20,60,1080,20,90,100,1
906,0,4,3,1,4,3,9,24,8,27,11,19,3,3,1.0,16,3,1,3,3,9,0,3,12,228,9,27,27,1
948,0,3,1,1,4,3,9,0,0,27,11,20,5,5,1.0,24,2,2,3,4,12,0,1,4,80,3,27,9,1
956,4,0,2,1,4,3,12,27,11,24,8,20,3,0,0.0,4,1,3,3,3,9,0,2,8,160,6,36,18,1
1020,0,4,3,1,4,3,9,24,8,27,11,20,3,3,1.0,20,1,1,1,1,1,0,3,12,240,9,27,27,1
1145,0,1,2,1,4,3,9,28,12,27,11,24,4,4,1.0,20,7,1,7,7,49,0,2,8,192,6,27,18,1
1182,4,0,4,1,1,5,19,27,11,5,5,24,3,0,0.0,4,6,2,7,12,84,0,4,4,96,20,95,100,1
1183,4,0,4,2,2,5,19,27,11,5,5,24,3,0,0.0,5,5,3,7,15,105,0,8,16,384,20,95,100,1
1184,4,0,4,3,2,5,19,27,11,5,5,24,3,0,0.0,6,4,4,7,16,112,0,12,24,576,20,95,100,1
1185,4,0,4,4,2,5,19,27,11,5,5,24,3,0,0.0,7,3,5,7,15,105,0,16,32,768,20,95,100,1
1186,4,0,3,1,4,3,9,27,11,28,12,24,4,0,0.0,8,2,6,7,12,84,0,3,12,288,9,27,27,1
1189,4,0,4,5,3,5,19,27,11,5,5,24,3,0,0.0,11,1,7,7,7,49,0,20,60,1440,20,95,100,1
1268,0,1,2,1,4,3,9,28,12,27,11,26,4,4,1.0,20,1,1,1,1,1,0,2,8,208,6,27,18,1
1304,4,0,3,1,4,3,10,27,11,28,12,26,4,0,0.0,4,13,1,13,13,169,0,3,12,312,9,30,27,1
1305,4,0,4,1,1,5,20,27,11,0,0,26,5,0,0.0,5,12,2,13,24,312,0,4,4,104,20,100,100,1
1306,4,0,4,2,2,5,20,27,11,0,0,26,5,0,0.0,6,11,3,13,33,429,0,8,16,416,20,100,100,1
1307,4,0,4,3,2,5,20,27,11,0,0,26,5,0,0.0,7,10,4,13,40,520,0,12,24,624,20,100,100,1
