timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
777,0,3,1,1,4,3,9,3,3,30,14,25,4,4,1.0,20,1,1,1,1,1,0,1,4,100,3,27,9,0
785,2,0,2,1,4,3,9,30,14,27,11,25,2,0,0.0,4,1,1,1,1,1,0,2,8,200,6,27,18,0
794,0,3,1,1,4,3,9,2,2,30,14,26,3,3,1.0,16,1,1,1,1,1,0,1,4,104,3,27,9,0
802,2,0,2,1,4,3,10,30,14,27,11,26,2,0,0.0,4,1,1,1,1,1,0,2,8,208,6,30,18,0
840,0,3,3,1,4,3,9,27,11,30,14,25,2,2,1.0,12,1,1,1,1,1,0,3,12,300,9,27,27,0
859,0,3,1,1,4,3,9,0,0,30,14,27,5,5,1.0,24,1,1,1,1,1,0,1,4,108,3,27,9,0
865,0,3,3,1,4,3,9,27,11,30,14,26,2,2,1.0,15,1,1,1,1,1,0,3,12,312,9,27,27,0
867,2,0,2,1,4,3,11,30,14,27,11,27,2,0,0.0,4,1,1,1,1,1,0,2,8,216,6,33,18,0
924,0,3,3,1,4,3,9,27,11,30,14,27,2,2,1.0,16,1,1,1,1,1,0,3,12,324,9,27,27,0
1225,2,4,2,1,4,3,9,28,12,27,11,37,4,2,0.5,12,1,1,1,1,1,8,2,8,296,6,27,18,0
1247,2,4,2,1,4,3,9,28,12,27,11,38,4,2,0.5,12,1,1,1,1,1,8,2,8,304,6,27,18,0
1288,2,4,2,1,4,3,9,28,12,27,11,39,4,2,0.5,12,1,1,1,1,1,8,2,8,312,6,27,18,0
1458,2,4,2,1,4,3,9,29,13,27,11,43,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,344,6,27,18,0
1473,2,4,2,1,4,3,9,29,13,27,11,44,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,352,6,27,18,0
1518,2,4,2,1,4,3,9,29,13,27,11,45,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,360,6,27,18,0
1661,0,3,1,1,4,3,9,3,3,30,14,49,4,4,1.0,20,4,1,4,4,16,0,1,4,196,3,27,9,0
1669,2,0,2,1,4,3,12,30,14,27,11,49,2,0,0.0,4,3,2,4,6,24,0,2,8,392,6,36,18,0
1684,0,3,1,1,4,3,9,2,2,30,14,50,3,3,1.0,16,2,3,4,6,24,0,1,4,200,3,27,9,0
1692,2,0,2,1,4,3,9,30,14,27,11,50,2,0,0.0,4,1,4,4,4,16,0,2,8,400,6,27,18,0
1726,0,3,3,1,4,3,9,27,11,30,14,49,2,2,1.0,16,4,1,4,4,16,0,3,12,588,9,27,27,0
1743,0,3,1,1,4,3,9,0,0,30,14,51,5,5,1.0,24,3,2,4,6,24,0,1,4,204,3,27,9,0
1744,0,3,3,1,4,3,10,27,11,30,14,50,2,2,1.0,12,2,3,4,6,24,0,3,12,600,9,30,27,0
1751,2,0,2,1,4,3,10,30,14,27,11,51,2,0,0.0,4,1,4,4,4,16,0,2,8,408,6,30,18,0
1808,0,3,3,1,4,3,9,27,11,30,14,51,2,2,1.0,16,1,1,1,1,1,0,3,12,612,9,27,27,0
3197,2,4,2,1,4,3,9,28,12,27,11,85,4,2,0.5,12,1,1,1,1,1,8,2,8,680,6,27,18,0
3213,2,4,2,1,4,3,9,28,12,27,11,86,4,2,0.5,12,1,1,1,1,1,8,2,8,688,6,27,18,0
3218,2,4,2,1,4,3,10,28,12,27,11,87,4,2,0.5,12,1,1,1,1,1,8,2,8,696,6,30,18,0
3533,2,4,2,1,4,3,9,28,12,27,11,91,4,2,0.5,12,1,1,1,1,1,8,2,8,728,6,27,18,0
3548,2,4,2,1,4,3,9,28,12,27,11,92,4,2,0.5,12,1,1,1,1,1,8,2,8,736,6,27,18,0
3569,2,4,2,1,4,3,9,28,12,27,11,93,4,2,0.5,12,1,1,1,1,1,8,2,8,744,6,27,18,0
3640,2,4,2,1,4,3,9,29,13,27,11,94,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,752,6,27,18,0
3663,2,4,2,1,4,3,9,29,13,27,11,95,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,760,6,27,18,0
3692,2,4,2,1,4,3,9,29,13,27,11,96,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,768,6,27,18,0
4196,2,4,2,1,4,3,9,29,13,27,11,106,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,848,6,27,18,0
4212,2,4,2,1,4,3,9,29,13,27,11,107,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,856,6,27,18,0
4230,2,4,2,1,4,3,9,29,13,27,11,108,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,864,6,27,18,0
4405,2,4,2,1,4,3,9,29,13,27,11,112,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,896,6,27,18,0
4435,2,4,2,1,4,3,9,29,13,27,11,113,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,904,6,27,18,0
4479,2,4,2,1,4,3,9,29,13,27,11,114,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,912,6,27,18,0
4509,2,4,2,1,4,3,9,29,13,27,11,115,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,920,6,27,18,0
4538,2,4,2,1,4,3,9,29,13,27,11,116,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,928,6,27,18,0
4591,2,4,2,1,4,3,9,29,13,27,11,117,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,936,6,27,18,0
5088,0,3,1,1,4,3,9,3,3,30,14,127,4,4,1.0,20,1,1,1,1,1,0,1,4,508,3,27,9,0
