timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time
100,0,1,1,1,4,3,9,15,15,24,8,2,4,4,1.0,20
122,0,3,1,1,4,3,9,0,0,24,8,3,2,2,1.0,12
138,2,0,4,1,1,5,17,24,8,15,15,2,4,0,0.0,4
139,2,0,4,2,2,5,17,24,8,15,15,2,4,0,0.0,5
140,2,0,4,3,2,5,17,24,8,15,15,2,4,0,0.0,6
141,2,0,4,4,2,5,17,24,8,15,15,2,4,0,0.0,7
145,2,0,4,5,3,5,17,24,8,15,15,2,4,0,0.0,11
160,3,0,4,1,1,5,18,24,8,0,0,3,2,0,0.0,4
161,3,0,4,2,2,5,18,24,8,0,0,3,2,0,0.0,5
162,3,0,4,3,2,5,18,24,8,0,0,3,2,0,0.0,6
163,3,0,4,4,2,5,18,24,8,0,0,3,2,0,0.0,7
167,3,0,4,5,3,5,18,24,8,0,0,3,2,0,0.0,11
918,3,2,4,1,1,5,17,27,11,0,0,17,5,3,0.6,16
919,3,2,4,2,2,5,17,27,11,0,0,17,5,3,0.6,17
920,3,2,4,3,2,5,17,27,11,0,0,17,5,3,0.6,18
922,3,2,4,4,2,5,17,27,11,0,0,17,5,3,0.6,20
925,3,2,4,5,3,5,17,27,11,0,0,17,5,3,0.6,23
935,0,2,2,1,4,3,9,27,11,24,8,18,3,3,1.0,16
972,2,0,3,1,4,3,9,24,8,27,11,18,3,0,0.0,4
973,2,0,4,1,1,5,19,24,8,15,15,18,4,0,0.0,5
974,2,0,4,2,2,5,19,24,8,15,15,18,4,0,0.0,6
975,2,0,4,3,2,5,19,24,8,15,15,18,4,0,0.0,7
976,2,0,4,4,2,5,19,24,8,15,15,18,4,0,0.0,8
980,2,0,4,5,3,5,19,24,8,15,15,18,4,0,0.0,12
988,0,2,2,1,4,3,9,27,11,24,8,19,3,3,1.0,16
1024,3,0,4,1,1,5,20,24,8,0,0,19,2,0,0.0,4
1025,2,0,3,1,4,3,10,24,8,27,11,19,3,0,0.0,5
1026,3,0,4,2,2,5,20,24,8,0,0,19,2,0,0.0,6
