timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
11,2,4,1,1,4,3,9,0,0,23,7,1,4,1,0.25,8,1,1,1,1,1,8,1,4,4,3,27,9,0
240,2,4,1,1,4,3,9,0,0,22,6,9,3,1,0.3333333333333333,8,1,1,1,1,1,8,1,4,36,3,27,9,0
359,2,4,1,1,4,3,9,0,0,23,7,12,4,1,0.25,8,1,1,1,1,1,8,1,4,48,3,27,9,0
458,1,4,1,1,4,3,9,0,0,21,5,15,2,1,0.5,8,1,1,1,1,1,4,1,4,60,3,27,9,0
483,0,1,1,1,4,3,9,10,10,17,1,16,3,3,1.0,16,2,1,2,2,4,0,1,4,64,3,27,9,0
491,4,0,2,1,4,3,9,17,1,20,4,16,2,0,0.0,4,1,2,2,2,4,0,2,8,128,6,27,18,0
543,0,1,1,1,4,3,9,14,14,17,1,17,4,4,1.0,20,5,1,5,5,25,0,1,4,68,3,27,9,0
546,0,1,3,1,4,3,10,20,4,17,1,16,2,2,1.0,12,4,2,5,8,40,0,3,12,192,9,30,27,0
551,4,0,2,1,4,3,10,17,1,20,4,17,2,0,0.0,4,3,3,5,9,45,0,2,8,136,6,30,18,0
566,0,4,1,1,4,3,9,0,0,17,1,18,1,1,1.0,8,2,4,5,8,40,0,1,4,72,3,27,9,0
574,4,0,2,1,4,3,11,17,1,20,4,18,2,0,0.0,4,1,5,5,5,25,0,2,8,144,6,33,18,0
606,0,1,3,1,4,3,9,20,4,17,1,17,2,2,1.0,14,5,1,5,5,25,0,3,12,204,9,27,27,0
626,0,1,3,1,4,3,9,20,4,17,1,18,2,2,1.0,12,4,2,5,8,40,0,3,12,216,9,27,27,0
647,2,4,1,1,4,3,9,0,0,23,7,22,4,1,0.25,8,3,3,5,9,45,8,1,4,88,3,27,9,0
654,0,1,1,1,4,3,9,10,10,17,1,21,3,3,1.0,16,2,4,5,8,40,0,1,4,84,3,27,9,0
662,4,0,2,1,4,3,12,17,1,20,4,21,2,0,0.0,4,1,5,5,5,25,0,2,8,168,6,36,18,0
714,0,1,3,1,4,3,9,20,4,17,1,21,2,2,1.0,12,6,1,6,6,36,0,3,12,252,9,27,27,0
726,0,1,1,1,4,3,9,14,14,17,1,23,4,4,1.0,20,5,2,6,10,60,0,1,4,92,3,27,9,0
734,4,0,2,1,4,3,9,17,1,20,4,23,2,0,0.0,4,4,3,6,12,72,0,2,8,184,6,27,18,0
740,0,4,1,1,4,3,9,0,0,17,1,24,1,1,1.0,8,3,4,6,12,72,0,1,4,96,3,27,9,0
748,4,0,2,1,4,3,10,17,1,20,4,24,2,0,0.0,4,2,5,6,10,60,0,2,8,192,6,30,18,0
788,0,1,3,1,4,3,9,20,4,17,1,23,2,2,1.0,14,1,6,6,6,36,0,3,12,276,9,27,27,0
808,0,1,3,1,4,3,9,20,4,17,1,24,2,2,1.0,12,2,1,2,2,4,0,3,12,288,9,27,27,0
851,2,4,1,1,4,3,9,0,0,30,14,27,5,1,0.2,8,1,2,2,2,4,8,1,4,108,3,27,9,0
967,2,4,1,1,4,3,9,0,0,27,11,31,5,1,0.2,8,1,1,1,1,1,8,1,4,124,3,27,9,0
1078,1,4,1,1,4,3,9,0,0,25,9,34,3,1,0.3333333333333333,8,1,1,1,1,1,4,1,4,136,3,27,9,0
1404,2,4,1,1,4,3,9,0,0,26,10,43,4,1,0.25,8,1,1,1,1,1,8,1,4,172,3,27,9,0
1504,1,4,1,1,4,3,9,0,0,29,13,46,4,1,0.25,8,1,1,1,1,1,4,1,4,184,3,27,9,0
1621,1,4,1,1,4,3,9,0,0,21,5,49,2,1,0.5,8,1,1,1,1,1,4,1,4,196,3,27,9,0
1735,0,1,1,1,4,3,9,10,10,17,1,52,3,3,1.0,16,1,1,1,1,1,0,1,4,208,3,27,9,0
1739,2,4,1,1,4,3,9,0,0,30,14,54,5,1,0.2,8,1,1,1,1,1,8,1,4,216,3,27,9,0
1743,4,0,2,1,4,3,11,17,1,20,4,52,2,0,0.0,4,1,1,1,1,1,0,2,8,416,6,33,18,0
1797,0,1,3,1,4,3,9,20,4,17,1,52,2,2,1.0,13,1,1,1,1,1,0,3,12,624,9,27,27,0
1856,0,1,1,1,4,3,9,14,14,17,1,56,4,4,1.0,20,2,1,2,2,4,0,1,4,224,3,27,9,0
1864,4,0,2,1,4,3,12,17,1,20,4,56,2,0,0.0,4,1,2,2,2,4,0,2,8,448,6,36,18,0
1920,0,1,3,1,4,3,9,20,4,17,1,56,2,2,1.0,16,4,1,4,4,16,0,3,12,672,9,27,27,0
1957,0,4,1,1,4,3,9,0,0,17,1,59,1,1,1.0,8,3,2,4,6,24,0,1,4,236,3,27,9,0
1963,4,2,2,1,4,3,9,19,3,20,4,58,4,2,0.5,12,2,3,4,6,24,8,2,8,464,6,27,18,0
1965,4,0,2,1,4,3,9,17,1,20,4,59,2,0,0.0,4,1,4,4,4,16,0,2,8,472,6,27,18,0
2022,0,1,3,1,4,3,9,20,4,17,1,59,2,2,1.0,12,5,1,5,5,25,0,3,12,708,9,27,27,0
2065,2,4,1,1,4,3,9,0,0,22,6,61,3,1,0.3333333333333333,8,4,2,5,8,40,8,1,4,244,3,27,9,0
2079,0,1,1,1,4,3,9,10,10,17,1,63,3,3,1.0,16,3,3,5,9,45,0,1,4,252,3,27,9,0
2087,4,0,2,1,4,3,10,17,1,20,4,63,2,0,0.0,4,2,4,5,8,40,0,2,8,504,6,30,18,0
2098,4,2,2,1,4,3,9,19,3,20,4,62,4,2,0.5,12,1,5,5,5,25,8,2,8,496,6,27,18,0
2144,0,1,3,1,4,3,9,20,4,17,1,63,2,2,1.0,16,2,1,2,2,4,0,3,12,756,9,27,27,0
2177,2,4,1,1,4,3,9,0,0,19,3,65,3,1,0.3333333333333333,8,1,2,2,2,4,8,1,4,260,3,27,9,0
2201,4,2,2,1,4,3,9,19,3,20,4,65,4,2,0.5,12,4,1,4,4,16,8,2,8,520,6,27,18,0
2233,0,1,1,1,4,3,9,14,14,17,1,66,4,4,1.0,20,3,2,4,6,24,0,1,4,264,3,27,9,0
2241,4,0,2,1,4,3,11,17,1,20,4,66,2,0,0.0,4,2,3,4,6,24,0,2,8,528,6,33,18,0
2294,0,1,3,1,4,3,9,20,4,17,1,66,2,2,1.0,12,1,4,4,4,16,0,3,12,792,9,27,27,0
2301,0,4,1,1,4,3,9,0,0,17,1,68,1,1,1.0,8,4,1,4,4,16,0,1,4,272,3,27,9,0
2309,4,0,2,1,4,3,12,17,1,20,4,68,2,0,0.0,4,3,2,4,6,24,0,2,8,544,6,36,18,0
2374,0,1,3,1,4,3,9,20,4,17,1,68,2,2,1.0,16,2,3,4,6,24,0,3,12,816,9,27,27,0
2388,2,4,1,1,4,3,9,0,0,27,11,71,5,1,0.2,8,1,4,4,4,16,8,1,4,284,3,27,9,0
2589,2,4,1,1,4,3,9,0,0,26,10,76,4,1,0.25,8,1,1,1,1,1,8,1,4,304,3,27,9,0
2713,2,4,1,1,4,3,9,0,0,26,10,79,4,1,0.25,8,1,1,1,1,1,8,1,4,316,3,27,9,0
2859,1,4,1,1,4,3,9,0,0,25,9,82,3,1,0.3333333333333333,8,1,1,1,1,1,4,1,4,328,3,27,9,0
3013,2,4,1,1,4,3,9,0,0,27,11,85,5,1,0.2,8,1,1,1,1,1,8,1,4,340,3,27,9,0
3163,4,2,2,1,4,3,9,18,2,20,4,87,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,696,6,27,18,0
3373,4,2,2,1,4,3,9,18,2,20,4,91,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,728,6,27,18,0
3450,2,4,1,1,4,3,9,0,0,18,2,92,2,1,0.5,8,1,1,1,1,1,8,1,4,368,3,27,9,0
3466,4,2,2,1,4,3,9,18,2,20,4,92,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,736,6,27,18,0
3665,1,4,1,1,4,3,9,0,0,29,13,98,4,1,0.25,8,1,1,1,1,1,4,1,4,392,3,27,9,0
3876,2,4,1,1,4,3,9,0,0,23,7,102,4,1,0.25,8,1,1,1,1,1,8,1,4,408,3,27,9,0
4208,1,4,1,1,4,3,9,0,0,29,13,112,4,1,0.25,8,1,1,1,1,1,4,1,4,448,3,27,9,0
4321,2,4,1,1,4,3,9,0,0,31,15,115,6,1,0.16666666666666666,8,1,1,1,1,1,8,1,4,460,3,27,9,0
4449,1,4,1,1,4,3,9,0,0,29,13,118,4,1,0.25,8,1,1,1,1,1,4,1,4,472,3,27,9,0
4467,0,1,1,1,4,3,9,10,10,17,1,119,3,3,1.0,16,1,1,1,1,1,0,1,4,476,3,27,9,0
4475,4,0,2,1,4,3,9,17,1,20,4,119,2,0,0.0,4,1,1,1,1,1,0,2,8,952,6,27,18,0
4528,0,1,3,1,4,3,9,20,4,17,1,119,2,2,1.0,12,1,1,1,1,1,0,3,12,1428,9,27,27,0
4560,1,4,1,1,4,3,9,0,0,29,13,121,4,1,0.25,8,1,1,1,1,1,4,1,4,484,3,27,9,0
4732,0,1,1,1,4,3,9,14,14,17,1,125,4,4,1.0,20,1,1,1,1,1,0,1,4,500,3,27,9,0
4740,4,0,2,1,4,3,10,17,1,20,4,125,2,0,0.0,4,1,1,1,1,1,0,2,8,1000,6,30,18,0
4796,0,1,3,1,4,3,9,20,4,17,1,125,2,2,1.0,16,1,1,1,1,1,0,3,12,1500,9,27,27,0
4877,0,4,1,1,4,3,9,0,0,17,1,128,1,1,1.0,8,1,1,1,1,1,0,1,4,512,3,27,9,0
4885,4,0,2,1,4,3,11,17,1,20,4,128,2,0,0.0,4,1,1,1,1,1,0,2,8,1024,6,33,18,0
4940,0,1,3,1,4,3,9,20,4,17,1,128,2,2,1.0,14,1,1,1,1,1,0,3,12,1536,9,27,27,0
5102,2,4,1,1,4,3,9,0,0,30,14,134,5,1,0.2,8,1,1,1,1,1,8,1,4,536,3,27,9,0
5233,2,4,1,1,4,3,9,0,0,23,7,138,4,1,0.25,8,1,1,1,1,1,8,1,4,552,3,27,9,0
5330,1,4,1,1,4,3,9,0,0,25,9,141,3,1,0.3333333333333333,8,1,1,1,1,1,4,1,4,564,3,27,9,0
