timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
739,0,3,1,1,4,3,9,7,7,30,14,25,3,3,1.0,16,1,1,1,1,1,0,1,4,100,3,27,9,1
747,2,0,2,1,4,3,9,30,14,27,11,25,2,0,0.0,4,1,1,1,1,1,0,2,8,200,6,27,18,1
784,0,3,1,1,4,3,9,4,4,30,14,26,4,4,1.0,20,1,1,1,1,1,0,1,4,104,3,27,9,1
792,2,0,2,1,4,3,10,30,14,27,11,26,2,0,0.0,4,1,1,1,1,1,0,2,8,208,6,30,18,1
802,0,3,3,1,4,3,9,27,11,30,14,25,2,2,1.0,12,1,1,1,1,1,0,3,12,300,9,27,27,1
845,0,3,1,1,4,3,9,0,0,30,14,28,5,5,1.0,24,1,1,1,1,1,0,1,4,112,3,27,9,1
846,0,3,3,1,4,3,10,27,11,30,14,26,2,2,1.0,14,1,1,1,1,1,0,3,12,312,9,30,27,1
853,2,0,2,1,4,3,11,30,14,27,11,28,2,0,0.0,4,1,1,1,1,1,0,2,8,224,6,33,18,1
911,0,3,3,1,4,3,9,27,11,30,14,28,2,2,1.0,16,1,1,1,1,1,0,3,12,336,9,27,27,1
1163,2,4,2,1,4,3,9,28,12,27,11,36,4,2,0.5,12,1,1,1,1,1,8,2,8,288,6,27,18,1
1185,2,4,2,1,4,3,9,28,12,27,11,38,4,2,0.5,12,1,1,1,1,1,8,2,8,304,6,27,18,1
1274,2,4,2,1,4,3,9,28,12,27,11,39,4,2,0.5,12,1,1,1,1,1,8,2,8,312,6,27,18,1
1378,2,4,2,1,4,3,9,29,13,27,11,42,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,336,6,27,18,1
1403,2,4,2,1,4,3,9,29,13,27,11,44,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,352,6,27,18,1
1504,2,4,2,1,4,3,9,29,13,27,11,46,3,1,0.3333333333333333,8,3,1,3,3,9,8,2,8,368,6,27,18,1
1563,0,3,1,1,4,3,9,7,7,30,14,48,3,3,1.0,16,2,2,3,4,12,0,1,4,192,3,27,9,1
1571,2,0,2,1,4,3,12,30,14,27,11,48,2,0,0.0,4,1,3,3,3,9,0,2,8,384,6,36,18,1
1614,0,3,1,1,4,3,9,4,4,30,14,50,4,4,1.0,20,4,1,4,4,16,0,1,4,200,3,27,9,1
1622,2,0,2,1,4,3,9,30,14,27,11,50,2,0,0.0,4,3,2,4,6,24,0,2,8,400,6,27,18,1
1624,0,3,3,1,4,3,9,27,11,30,14,48,2,2,1.0,12,2,3,4,6,24,0,3,12,576,9,27,27,1
1674,0,3,3,1,4,3,9,27,11,30,14,50,2,2,1.0,12,1,4,4,4,16,0,3,12,600,9,27,27,1
1729,0,3,1,1,4,3,9,0,0,30,14,52,5,5,1.0,24,3,1,3,3,9,0,1,4,208,3,27,9,1
1737,2,0,2,1,4,3,10,30,14,27,11,52,2,0,0.0,4,2,2,3,4,12,0,2,8,416,6,30,18,1
1794,0,3,3,1,4,3,9,27,11,30,14,52,2,2,1.0,16,1,3,3,3,9,0,3,12,624,9,27,27,1
3032,2,4,2,1,4,3,9,28,12,27,11,86,4,2,0.5,12,1,1,1,1,1,8,2,8,688,6,27,18,1
3034,2,4,2,1,4,3,10,28,12,27,11,85,4,2,0.5,12,1,1,1,1,1,8,2,8,680,6,30,18,1
3195,2,4,2,1,4,3,9,28,12,27,11,87,4,2,0.5,12,1,1,1,1,1,8,2,8,696,6,27,18,1
3351,2,4,2,1,4,3,9,28,12,27,11,90,4,2,0.5,12,1,1,1,1,1,8,2,8,720,6,27,18,1
3396,2,4,2,1,4,3,9,28,12,27,11,91,4,2,0.5,12,1,1,1,1,1,8,2,8,728,6,27,18,1
3458,2,4,2,1,4,3,9,29,13,27,11,93,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,744,6,27,18,1
3495,2,4,2,1,4,3,9,29,13,27,11,94,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,752,6,27,18,1
3523,2,4,2,1,4,3,9,28,12,27,11,95,4,2,0.5,12,1,1,1,1,1,8,2,8,760,6,27,18,1
3639,2,4,2,1,4,3,9,29,13,27,11,96,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,768,6,27,18,1
3964,2,4,2,1,4,3,9,29,13,27,11,104,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,832,6,27,18,1
4026,2,4,2,1,4,3,9,29,13,27,11,106,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,848,6,27,18,1
4178,2,4,2,1,4,3,9,29,13,27,11,110,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,880,6,27,18,1
4188,2,4,2,1,4,3,9,29,13,27,11,111,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,888,6,27,18,1
4221,2,4,2,1,4,3,9,29,13,27,11,112,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,896,6,27,18,1
4291,2,4,2,1,4,3,9,29,13,27,11,114,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,912,6,27,18,1
4317,2,4,2,1,4,3,9,29,13,27,11,115,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,920,6,27,18,1
4429,2,4,2,1,4,3,9,29,13,27,11,117,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,936,6,27,18,1
4540,2,4,2,1,4,3,9,29,13,27,11,121,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,968,6,27,18,1
4821,0,3,1,1,4,3,9,4,4,30,14,126,4,4,1.0,20,1,1,1,1,1,0,1,4,504,3,27,9,1
