timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
66,1,2,4,1,1,5,17,23,7,9,9,2,3,2,0.6666666666666666,12,10,1,10,10,100,2,4,4,8,20,85,100,1
67,1,2,4,2,2,5,17,23,7,9,9,2,3,2,0.6666666666666666,13,9,2,10,18,180,2,8,16,32,20,85,100,1
68,1,2,4,3,2,5,17,23,7,9,9,2,3,2,0.6666666666666666,14,8,3,10,24,240,2,12,24,48,20,85,100,1
69,1,2,4,4,2,5,17,23,7,9,9,2,3,2,0.6666666666666666,15,7,4,10,28,280,2,16,32,64,20,85,100,1
73,1,2,4,5,3,5,17,23,7,9,9,2,3,2,0.6666666666666666,19,6,5,10,30,300,2,20,60,120,20,85,100,1
88,4,2,4,1,1,5,17,23,7,0,0,1,4,2,0.5,12,5,6,10,30,300,8,4,4,4,20,85,100,1
89,4,2,4,2,2,5,17,23,7,0,0,1,4,2,0.5,13,4,7,10,28,280,8,8,16,16,20,85,100,1
90,4,2,4,3,2,5,17,23,7,0,0,1,4,2,0.5,14,3,8,10,24,240,8,12,24,24,20,85,100,1
91,4,2,4,4,2,5,17,23,7,0,0,1,4,2,0.5,15,2,9,10,18,180,8,16,32,32,20,85,100,1
95,4,2,4,5,3,5,17,23,7,0,0,1,4,2,0.5,19,1,10,10,10,100,8,20,60,60,20,85,100,1
251,1,2,4,1,1,5,17,23,7,9,9,5,3,2,0.6666666666666666,13,1,1,1,1,1,2,4,4,20,20,85,100,1
252,1,2,4,2,2,5,17,23,7,9,9,5,3,2,0.6666666666666666,14,9,1,9,9,81,2,8,16,80,20,85,100,1
