timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
19,1,4,1,1,4,3,9,0,0,23,7,1,4,3,0.75,16,4,1,4,4,4,4,3,27,0
359,1,4,1,1,4,3,9,0,0,23,7,12,4,3,0.75,16,3,2,4,6,4,48,3,27,0
647,1,4,1,1,4,3,9,0,0,23,7,22,4,3,0.75,16,2,3,4,6,4,88,3,27,0
952,1,4,1,1,4,3,9,0,0,27,11,31,5,3,0.6,16,1,4,4,4,4,124,3,27,0
1947,0,1,1,1,4,3,9,7,7,19,3,60,1,1,1.0,8,2,1,2,2,0,240,3,27,0
1955,4,0,2,1,4,3,9,19,3,20,4,60,4,0,0.0,4,1,2,2,2,0,480,6,54,0
2006,0,1,1,1,4,3,9,9,9,19,3,61,4,4,1.0,20,9,1,9,9,0,244,3,27,0
2014,4,0,2,1,4,3,10,19,3,20,4,61,4,0,0.0,4,8,2,9,16,0,488,6,60,0
2024,0,1,3,1,4,3,9,20,4,19,3,60,4,4,1.0,20,7,3,9,21,0,720,9,81,0
2086,0,1,3,1,4,3,9,20,4,19,3,61,4,4,1.0,24,6,4,9,24,0,732,9,81,0
2159,0,4,1,1,4,3,9,0,0,19,3,65,3,3,1.0,16,5,5,9,25,0,260,3,27,0
2167,4,0,2,1,4,3,11,19,3,20,4,65,4,0,0.0,4,4,6,9,24,0,520,6,66,0
2236,0,1,3,1,4,3,9,20,4,19,3,65,4,4,1.0,20,3,7,9,21,0,780,9,81,0
2363,1,4,1,1,4,3,9,0,0,27,11,71,5,3,0.6,16,2,8,9,16,4,284,3,27,0
2977,1,4,1,1,4,3,9,0,0,27,11,84,5,3,0.6,16,1,9,9,9,4,336,3,27,0
3840,1,4,1,1,4,3,9,0,0,23,7,102,4,3,0.75,16,1,1,1,1,4,408,3,27,0
4281,1,4,1,1,4,3,9,0,0,31,15,114,6,3,0.5,16,1,1,1,1,4,456,3,27,0
5208,1,4,1,1,4,3,9,0,0,23,7,138,4,3,0.75,16,2,1,2,2,4,552,3,27,0
5922,1,4,1,1,4,3,9,0,0,27,11,159,5,3,0.6,16,1,2,2,2,4,636,3,27,0
6143,1,4,1,1,4,3,9,0,0,23,7,166,4,3,0.75,16,5,1,5,5,4,664,3,27,0
6420,1,4,1,1,4,3,9,0,0,27,11,174,5,3,0.6,16,4,2,5,8,4,696,3,27,0
6713,0,1,1,1,4,3,9,9,9,19,3,181,4,4,1.0,20,3,3,5,9,0,724,3,27,0
6721,4,0,2,1,4,3,12,19,3,20,4,181,4,0,0.0,4,2,4,5,8,0,1448,6,72,0
6790,0,1,3,1,4,3,9,20,4,19,3,181,4,4,1.0,20,1,5,5,5,0,2172,9,81,0
7032,0,1,1,1,4,3,9,7,7,19,3,188,1,1,1.0,8,6,1,6,6,0,752,3,27,0
7040,4,0,2,1,4,3,9,19,3,20,4,188,4,0,0.0,4,5,2,6,10,0,1504,6,54,0
7108,0,1,3,1,4,3,9,20,4,19,3,188,4,4,1.0,20,4,3,6,12,0,2256,9,81,0
7269,0,4,1,1,4,3,9,0,0,19,3,194,3,3,1.0,16,3,4,6,12,0,776,3,27,0
7277,4,0,2,1,4,3,10,19,3,20,4,194,4,0,0.0,4,2,5,6,10,0,1552,6,60,0
7346,0,1,3,1,4,3,9,20,4,19,3,194,4,4,1.0,20,1,6,6,6,0,2328,9,81,0
8242,1,4,1,1,4,3,9,0,0,23,7,220,4,3,0.75,16,7,1,7,7,4,880,3,27,0
8458,1,4,1,1,4,3,9,0,0,27,11,227,5,3,0.6,16,6,2,7,12,4,908,3,27,0
8895,0,1,1,1,4,3,9,9,9,19,3,241,4,4,1.0,20,5,3,7,15,0,964,3,27,0
8903,4,0,2,1,4,3,11,19,3,20,4,241,4,0,0.0,4,4,4,7,16,0,1928,6,66,0
8931,1,4,7,1,4,3,9,17,1,7,7,239,3,2,0.6666666666666666,13,3,5,7,15,4,6692,21,189,0
8960,1,4,1,1,4,3,9,0,0,31,15,242,6,3,0.5,16,2,6,7,12,4,968,3,27,0
8972,0,1,3,1,4,3,9,20,4,19,3,241,4,4,1.0,20,1,7,7,7,0,2892,9,81,0
9299,0,1,1,1,4,3,9,9,9,19,3,252,4,4,1.0,20,15,1,15,15,0,1008,3,27,0
9307,4,0,2,1,4,3,12,19,3,20,4,252,4,0,0.0,4,14,2,15,28,0,2016,6,72,0
9323,0,1,1,1,4,3,9,7,7,19,3,253,1,1,1.0,8,13,3,15,39,0,1012,3,27,0
9331,4,0,2,1,4,3,9,19,3,20,4,253,4,0,0.0,4,12,4,15,48,0,2024,6,54,0
9376,0,1,3,1,4,3,9,20,4,19,3,252,4,4,1.0,20,11,5,15,55,0,3024,9,81,0
9400,0,1,3,1,4,3,9,20,4,19,3,253,4,4,1.0,20,10,6,15,60,0,3036,9,81,0
9525,1,4,7,1,4,3,9,17,1,7,7,257,3,2,0.6666666666666666,13,9,7,15,63,4,7196,21,189,0
9549,0,4,1,1,4,3,9,0,0,19,3,260,3,3,1.0,16,8,8,15,64,0,1040,3,27,0
9557,4,0,2,1,4,3,10,19,3,20,4,260,4,0,0.0,4,7,9,15,63,0,2080,6,60,0
9629,0,1,3,1,4,3,9,20,4,19,3,260,4,4,1.0,23,6,10,15,60,0,3120,9,81,0
9729,0,1,1,1,4,3,9,7,7,19,3,265,1,1,1.0,8,5,11,15,55,0,1060,3,27,0
9737,4,0,2,1,4,3,11,19,3,20,4,265,4,0,0.0,4,4,12,15,48,0,2120,6,66,0
9808,0,1,3,1,4,3,9,20,4,19,3,265,4,4,1.0,20,3,13,15,39,0,3180,9,81,0
9930,0,4,1,1,4,3,9,0,0,19,3,271,3,3,1.0,16,2,14,15,28,0,1084,3,27,0
9938,4,0,2,1,4,3,12,19,3,20,4,271,4,0,0.0,4,1,15,15,15,0,2168,6,72,0
10009,0,1,3,1,4,3,9,20,4,19,3,271,4,4,1.0,23,8,1,8,8,0,3252,9,81,0
10698,1,4,5,1,1,3,9,0,0,23,7,296,4,3,0.75,16,7,2,8,14,4,1480,15,135,0
10705,1,4,5,2,2,3,9,0,0,23,7,296,4,3,0.75,23,6,3,8,18,4,5920,15,135,0
10712,1,4,5,3,2,3,9,0,0,23,7,296,4,3,0.75,30,5,4,8,20,4,8880,15,135,0
10719,1,4,5,4,2,3,9,0,0,23,7,296,4,3,0.75,37,4,5,8,20,4,11840,15,135,0
10726,1,4,5,5,3,3,9,0,0,23,7,296,4,3,0.75,44,3,6,8,18,4,22200,15,135,0
10727,1,4,1,1,4,3,10,0,0,23,7,297,4,3,0.75,44,2,7,8,14,4,1188,3,30,0
10838,1,4,1,1,4,3,9,0,0,23,7,300,4,3,0.75,16,1,8,8,8,4,1200,3,27,0
11136,0,1,5,1,1,3,9,9,9,19,3,310,4,4,1.0,20,45,1,45,45,0,1550,15,135,0
11143,0,1,5,2,2,3,9,9,9,19,3,310,4,4,1.0,27,44,2,45,88,0,6200,15,135,0
11150,0,1,5,3,2,3,9,9,9,19,3,310,4,4,1.0,34,43,3,45,129,0,9300,15,135,0
11157,0,1,5,4,2,3,9,9,9,19,3,310,4,4,1.0,41,42,4,45,168,0,12400,15,135,0
11164,0,1,5,5,3,3,9,9,9,19,3,310,4,4,1.0,48,41,5,45,205,0,23250,15,135,0
11165,0,1,1,1,4,3,10,9,9,19,3,312,4,4,1.0,48,40,6,45,240,0,1248,3,30,0
11172,4,0,6,1,1,3,9,19,3,20,4,310,4,0,0.0,4,39,7,45,273,0,1860,18,162,0
