timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
136,3,2,1,1,4,3,9,15,15,24,8,9,4,3,0.75,16,1,1,1,1,6,36,3,27,0
1122,0,3,1,1,4,3,9,6,6,28,12,66,4,4,1.0,20,20,1,20,20,0,264,3,27,0
1130,2,0,2,1,4,3,9,28,12,27,11,66,4,0,0.0,4,19,2,20,38,0,528,6,54,0
1191,3,2,1,1,4,3,9,15,15,20,4,70,5,3,0.6,16,18,3,20,54,6,280,3,27,0
1198,0,3,3,1,4,3,9,27,11,28,12,66,4,4,1.0,20,17,4,20,68,0,792,9,81,0
1207,0,3,1,1,4,3,9,11,11,28,12,71,4,4,1.0,20,16,5,20,80,0,284,3,27,0
1215,2,0,2,1,4,3,10,28,12,27,11,71,4,0,0.0,4,15,6,20,90,0,568,6,60,0
1288,0,3,3,1,4,3,9,27,11,28,12,71,4,4,1.0,24,14,7,20,98,0,852,9,81,0
1301,0,2,1,1,4,3,9,15,15,28,12,76,3,3,1.0,16,13,8,20,104,0,304,3,27,0
1309,2,0,2,1,4,3,11,28,12,27,11,76,4,0,0.0,4,12,9,20,108,0,608,6,66,0
1331,0,3,1,1,4,3,9,1,1,28,12,78,5,5,1.0,20,11,10,20,110,0,312,3,27,0
1339,2,0,2,1,4,3,12,28,12,27,11,78,4,0,0.0,4,10,11,20,110,0,624,6,72,0
1345,0,3,1,1,4,3,9,9,9,28,12,80,2,2,1.0,12,9,12,20,108,0,320,3,27,0
1353,2,0,2,1,4,3,9,28,12,27,11,80,4,0,0.0,4,8,13,20,104,0,640,6,54,0
1374,0,3,1,1,4,3,9,0,0,28,12,81,3,3,1.0,16,7,14,20,98,0,324,3,27,0
1378,0,3,3,1,4,3,10,27,11,28,12,76,4,4,1.0,20,6,15,20,90,0,912,9,90,0
1382,2,0,2,1,4,3,10,28,12,27,11,81,4,0,0.0,4,5,16,20,80,0,648,6,60,0
1434,0,3,3,1,4,3,9,27,11,28,12,78,4,4,1.0,24,4,17,20,68,0,936,9,81,0
1452,0,3,3,1,4,3,9,27,11,28,12,80,4,4,1.0,20,3,18,20,54,0,960,9,81,0
1475,0,3,3,1,4,3,9,27,11,28,12,81,4,4,1.0,21,2,19,20,38,0,972,9,81,0
1819,3,2,1,1,4,3,9,15,15,20,4,104,5,3,0.6,16,1,20,20,20,6,416,3,27,0
2563,3,2,1,1,4,3,9,15,15,16,0,144,6,3,0.5,16,3,1,3,3,6,576,3,27,0
2966,0,3,1,1,4,3,9,6,6,28,12,163,4,4,1.0,20,2,2,3,4,0,652,3,27,0
2974,2,0,2,1,4,3,11,28,12,27,11,163,4,0,0.0,4,1,3,3,3,0,1304,6,66,0
3042,0,3,3,1,4,3,9,27,11,28,12,163,4,4,1.0,20,34,1,34,34,0,1956,9,81,0
3110,0,3,1,1,4,3,9,11,11,28,12,168,4,4,1.0,20,33,2,34,66,0,672,3,27,0
3118,2,0,2,1,4,3,12,28,12,27,11,168,4,0,0.0,4,32,3,34,96,0,1344,6,72,0
3186,0,3,3,1,4,3,9,27,11,28,12,168,4,4,1.0,20,31,4,34,124,0,2016,9,81,0
3286,0,3,1,1,4,3,9,6,6,28,12,172,4,4,1.0,20,30,5,34,150,0,688,3,27,0
3294,2,0,2,1,4,3,9,28,12,27,11,172,4,0,0.0,4,29,6,34,174,0,1376,6,54,0
3296,0,3,1,1,4,3,9,1,1,28,12,173,5,5,1.0,20,28,7,34,196,0,692,3,27,0
3303,0,3,1,1,4,3,9,9,9,28,12,174,2,2,1.0,12,27,8,34,216,0,696,3,27,0
3304,2,0,2,1,4,3,10,28,12,27,11,173,4,0,0.0,4,26,9,34,234,0,1384,6,60,0
3311,2,0,2,1,4,3,11,28,12,27,11,174,4,0,0.0,4,25,10,34,250,0,1392,6,66,0
3341,0,2,1,1,4,3,9,15,15,28,12,176,3,3,1.0,16,24,11,34,264,0,704,3,27,0
3349,2,0,2,1,4,3,12,28,12,27,11,176,4,0,0.0,4,23,12,34,276,0,1408,6,72,0
3362,0,3,1,1,4,3,9,0,0,28,12,177,3,3,1.0,16,22,13,34,286,0,708,3,27,0
3363,0,3,3,1,4,3,10,27,11,28,12,172,4,4,1.0,21,21,14,34,294,0,2064,9,90,0
3370,2,0,2,1,4,3,9,28,12,27,11,177,4,0,0.0,4,20,15,34,300,0,1416,6,54,0
3376,0,3,3,1,4,3,9,27,11,28,12,173,4,4,1.0,24,19,16,34,304,0,2076,9,81,0
3394,0,3,3,1,4,3,9,27,11,28,12,174,4,4,1.0,20,18,17,34,306,0,2088,9,81,0
3418,0,3,3,1,4,3,9,27,11,28,12,176,4,4,1.0,20,17,18,34,306,0,2112,9,81,0
3439,0,3,1,1,4,3,9,11,11,28,12,179,4,4,1.0,20,16,19,34,304,0,716,3,27,0
3444,0,3,3,1,4,3,10,27,11,28,12,177,4,4,1.0,24,15,20,34,300,0,2124,9,90,0
3447,2,0,2,1,4,3,10,28,12,27,11,179,4,0,0.0,4,14,21,34,294,0,1432,6,60,0
3516,0,3,3,1,4,3,9,27,11,28,12,179,4,4,1.0,20,13,22,34,286,0,2148,9,81,0
3622,0,3,1,1,4,3,9,1,1,28,12,186,5,5,1.0,20,12,23,34,276,0,744,3,27,0
3630,2,0,2,1,4,3,11,28,12,27,11,186,4,0,0.0,4,11,24,34,264,0,1488,6,66,0
3639,0,3,1,1,4,3,9,9,9,28,12,187,2,2,1.0,12,10,25,34,250,0,748,3,27,0
3647,2,0,2,1,4,3,12,28,12,27,11,187,4,0,0.0,4,9,26,34,234,0,1496,6,72,0
3679,0,2,1,1,4,3,9,15,15,28,12,188,3,3,1.0,16,8,27,34,216,0,752,3,27,0
