timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
114,3,2,1,1,4,3,9,15,15,24,8,6,4,3,0.75,16,1,1,1,1,6,24,3,27,1
1123,0,3,1,1,4,3,9,6,6,28,12,46,4,4,1.0,20,14,1,14,14,0,184,3,27,1
1131,2,0,2,1,4,3,9,28,12,27,11,46,4,0,0.0,4,13,2,14,26,0,368,6,54,1
1140,3,2,1,1,4,3,9,15,15,20,4,47,5,3,0.6,16,12,3,14,36,6,188,3,27,1
1200,0,3,3,1,4,3,9,27,11,28,12,46,4,4,1.0,20,11,4,14,44,0,552,9,81,1
1248,0,3,1,1,4,3,9,9,9,28,12,51,2,2,1.0,12,10,5,14,50,0,204,3,27,1
1256,2,0,2,1,4,3,10,28,12,27,11,51,4,0,0.0,4,9,6,14,54,0,408,6,60,1
1271,0,2,1,1,4,3,9,15,15,28,12,52,3,3,1.0,16,8,7,14,56,0,208,3,27,1
1279,2,0,2,1,4,3,11,28,12,27,11,52,4,0,0.0,4,7,8,14,56,0,416,6,66,1
1306,0,3,1,1,4,3,9,0,0,28,12,53,3,3,1.0,16,6,9,14,54,0,212,3,27,1
1314,2,0,2,1,4,3,12,28,12,27,11,53,4,0,0.0,4,5,10,14,50,0,424,6,72,1
1324,0,3,3,1,4,3,9,27,11,28,12,51,4,4,1.0,20,4,11,14,44,0,612,9,81,1
1352,0,3,3,1,4,3,9,27,11,28,12,52,4,4,1.0,24,3,12,14,36,0,624,9,81,1
1382,0,3,3,1,4,3,9,27,11,28,12,53,4,4,1.0,20,2,13,14,26,0,636,9,81,1
1782,3,2,1,1,4,3,9,15,15,20,4,72,5,3,0.6,16,1,14,14,14,6,288,3,27,1
2498,3,2,1,1,4,3,9,15,15,16,0,98,6,3,0.5,16,3,1,3,3,6,392,3,27,1
2960,0,3,1,1,4,3,9,6,6,28,12,111,4,4,1.0,20,2,2,3,4,0,444,3,27,1
2968,2,0,2,1,4,3,9,28,12,27,11,111,4,0,0.0,4,1,3,3,3,0,888,6,54,1
3031,0,3,1,1,4,3,9,9,9,28,12,113,2,2,1.0,12,23,1,23,23,0,452,3,27,1
3036,0,3,3,1,4,3,10,27,11,28,12,111,4,4,1.0,20,22,2,23,44,0,1332,9,90,1
3039,2,0,2,1,4,3,10,28,12,27,11,113,4,0,0.0,4,21,3,23,63,0,904,6,60,1
3108,0,3,3,1,4,3,9,27,11,28,12,113,4,4,1.0,20,20,4,23,80,0,1356,9,81,1
3223,0,2,1,1,4,3,9,15,15,28,12,116,3,3,1.0,16,19,5,23,95,0,464,3,27,1
3231,2,0,2,1,4,3,11,28,12,27,11,116,4,0,0.0,4,18,6,23,108,0,928,6,66,1
3244,0,3,1,1,4,3,9,0,0,28,12,117,3,3,1.0,16,17,7,23,119,0,468,3,27,1
3252,2,0,2,1,4,3,12,28,12,27,11,117,4,0,0.0,4,16,8,23,128,0,936,6,72,1
3281,0,3,1,1,4,3,9,6,6,28,12,119,4,4,1.0,20,15,9,23,135,0,476,3,27,1
3289,2,0,2,1,4,3,9,28,12,27,11,119,4,0,0.0,4,14,10,23,140,0,952,6,54,1
3301,0,3,3,1,4,3,9,27,11,28,12,116,4,4,1.0,21,13,11,23,143,0,1392,9,81,1
