timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
15,2,4,1,1,4,3,9,12,12,23,7,3,5,2,0.4,12,1,1,1,1,1,8,1,4,12,3,27,9,0
238,3,4,1,1,4,3,9,12,12,22,6,9,4,2,0.5,12,1,1,1,1,1,12,1,4,36,3,27,9,0
373,2,4,1,1,4,3,9,12,12,23,7,12,5,2,0.4,12,1,1,1,1,1,8,1,4,48,3,27,9,0
693,2,4,1,1,4,3,9,12,12,23,7,22,5,2,0.4,12,1,1,1,1,1,8,1,4,88,3,27,9,0
779,0,3,1,1,4,3,9,3,3,30,14,24,4,4,1.0,20,1,1,1,1,1,0,1,4,96,3,27,9,0
787,2,0,2,1,4,3,9,30,14,27,11,24,2,0,0.0,4,1,1,1,1,1,0,2,8,192,6,27,18,0
834,0,3,1,1,4,3,9,0,0,30,14,26,5,5,1.0,24,1,1,1,1,1,0,1,4,104,3,27,9,0
842,0,3,3,1,4,3,9,27,11,30,14,24,2,2,1.0,12,1,1,1,1,1,0,3,12,288,9,27,27,0
842,2,0,2,1,4,3,10,30,14,27,11,26,2,0,0.0,4,2,1,2,2,4,0,2,8,208,6,30,18,0
895,0,3,3,1,4,3,9,27,11,30,14,26,2,2,1.0,13,1,2,2,2,4,0,3,12,312,9,27,27,0
907,0,4,1,1,4,3,9,12,12,30,14,28,2,2,1.0,12,3,1,3,3,9,0,1,4,112,3,27,9,0
915,2,0,2,1,4,3,11,30,14,27,11,28,2,0,0.0,4,2,2,3,4,12,0,2,8,224,6,33,18,0
972,0,3,3,1,4,3,9,27,11,30,14,28,2,2,1.0,16,1,3,3,3,9,0,3,12,336,9,27,27,0
1006,2,4,1,1,4,3,9,12,12,27,11,31,4,2,0.5,12,1,1,1,1,1,8,1,4,124,3,27,9,0
1227,2,4,2,1,4,3,9,28,12,27,11,37,4,2,0.5,12,1,1,1,1,1,8,2,8,296,6,27,18,0
1261,2,4,2,1,4,3,9,28,12,27,11,38,4,2,0.5,12,1,1,1,1,1,8,2,8,304,6,27,18,0
1310,2,4,2,1,4,3,9,28,12,27,11,39,4,2,0.5,12,1,1,1,1,1,8,2,8,312,6,27,18,0
1418,3,4,1,1,4,3,9,12,12,26,10,42,3,2,0.6666666666666666,12,3,1,3,3,9,12,1,4,168,3,27,9,0
1458,2,4,2,1,4,3,9,29,13,27,11,43,3,1,0.3333333333333333,8,2,2,3,4,12,8,2,8,344,6,27,18,0
1495,2,4,2,1,4,3,9,29,13,27,11,44,3,1,0.3333333333333333,8,1,3,3,3,9,8,2,8,352,6,27,18,0
1516,2,4,2,1,4,3,9,29,13,27,11,45,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,360,6,27,18,0
