timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
96,0,3,1,1,4,3,9,3,3,24,8,3,5,5,1.0,24,1,1,1,1,1,0,1,4,12,3,27,9,1
118,0,3,1,1,4,3,9,0,0,24,8,4,2,2,1.0,12,11,1,11,11,121,0,1,4,16,3,27,9,1
134,2,0,4,1,1,5,17,24,8,3,3,3,5,0,0.0,4,10,2,11,20,220,0,4,4,12,20,85,100,1
135,2,0,4,2,2,5,17,24,8,3,3,3,5,0,0.0,5,9,3,11,27,297,0,8,16,48,20,85,100,1
136,2,0,4,3,2,5,17,24,8,3,3,3,5,0,0.0,6,8,4,11,32,352,0,12,24,72,20,85,100,1
137,2,0,4,4,2,5,17,24,8,3,3,3,5,0,0.0,7,7,5,11,35,385,0,16,32,96,20,85,100,1
141,2,0,4,5,3,5,17,24,8,3,3,3,5,0,0.0,11,6,6,11,36,396,0,20,60,180,20,85,100,1
156,3,0,4,1,1,5,18,24,8,0,0,4,2,0,0.0,4,5,7,11,35,385,0,4,4,16,20,90,100,1
157,3,0,4,2,2,5,18,24,8,0,0,4,2,0,0.0,5,4,8,11,32,352,0,8,16,64,20,90,100,1
158,3,0,4,3,2,5,18,24,8,0,0,4,2,0,0.0,6,3,9,11,27,297,0,12,24,96,20,90,100,1
159,3,0,4,4,2,5,18,24,8,0,0,4,2,0,0.0,7,2,10,11,20,220,0,16,32,128,20,90,100,1
163,3,0,4,5,3,5,18,24,8,0,0,4,2,0,0.0,11,1,11,11,11,121,0,20,60,240,20,90,100,1
891,0,2,2,1,4,3,9,27,11,24,8,19,3,3,1.0,16,1,1,1,1,1,0,2,8,152,6,27,18,1
901,3,2,4,1,1,5,17,27,11,0,0,18,5,3,0.6,17,1,1,1,1,1,6,4,4,72,20,85,100,1
902,3,2,4,2,2,5,17,27,11,0,0,18,5,3,0.6,18,1,1,1,1,1,6,8,16,288,20,85,100,1
903,3,2,4,3,2,5,17,27,11,0,0,18,5,3,0.6,19,1,1,1,1,1,6,12,24,432,20,85,100,1
904,3,2,4,4,2,5,17,27,11,0,0,18,5,3,0.6,20,1,1,1,1,1,6,16,32,576,20,85,100,1
908,3,2,4,5,3,5,17,27,11,0,0,18,5,3,0.6,24,1,1,1,1,1,6,20,60,1080,20,85,100,1
928,2,0,3,1,4,3,9,24,8,27,11,19,3,0,0.0,4,1,1,1,1,1,0,3,12,228,9,27,27,1
929,2,0,4,1,1,5,19,24,8,3,3,19,5,0,0.0,5,6,1,6,6,36,0,4,4,76,20,95,100,1
930,2,0,4,2,2,5,19,24,8,3,3,19,5,0,0.0,6,5,2,6,10,60,0,8,16,304,20,95,100,1
931,2,0,4,3,2,5,19,24,8,3,3,19,5,0,0.0,7,4,3,6,12,72,0,12,24,456,20,95,100,1
932,2,0,4,4,2,5,19,24,8,3,3,19,5,0,0.0,8,3,4,6,12,72,0,16,32,608,20,95,100,1
936,2,0,4,5,3,5,19,24,8,3,3,19,5,0,0.0,12,2,5,6,10,60,0,20,60,1140,20,95,100,1
971,0,2,2,1,4,3,9,27,11,24,8,20,3,3,1.0,16,1,6,6,6,36,0,2,8,160,6,27,18,1
1003,0,2,2,1,4,3,9,25,9,24,8,21,1,1,1.0,8,14,1,14,14,196,0,2,8,168,6,27,18,1
1008,3,0,4,1,1,5,20,24,8,0,0,20,2,0,0.0,4,13,2,14,26,364,0,4,4,80,20,100,100,1
1009,2,0,3,1,4,3,10,24,8,27,11,20,3,0,0.0,5,12,3,14,36,504,0,3,12,240,9,30,27,1
1010,3,0,4,2,2,5,20,24,8,0,0,20,2,0,0.0,6,11,4,14,44,616,0,8,16,320,20,100,100,1
1011,3,0,4,3,2,5,20,24,8,0,0,20,2,0,0.0,7,10,5,14,50,700,0,12,24,480,20,100,100,1
1012,3,0,4,4,2,5,20,24,8,0,0,20,2,0,0.0,8,9,6,14,54,756,0,16,32,640,20,100,100,1
1015,3,0,4,5,3,5,20,24,8,0,0,20,2,0,0.0,11,8,7,14,56,784,0,20,60,1200,20,100,100,1
1040,2,0,4,1,1,5,17,24,8,3,3,21,5,0,0.0,4,7,8,14,56,784,0,4,4,84,20,85,100,1
1041,2,0,4,2,2,5,17,24,8,3,3,21,5,0,0.0,5,6,9,14,54,756,0,8,16,336,20,85,100,1
1042,2,0,4,3,2,5,17,24,8,3,3,21,5,0,0.0,6,5,10,14,50,700,0,12,24,504,20,85,100,1
1043,2,0,4,4,2,5,17,24,8,3,3,21,5,0,0.0,7,4,11,14,44,616,0,16,32,672,20,85,100,1
1044,2,0,3,1,4,3,11,24,8,25,9,21,1,0,0.0,8,3,12,14,36,504,0,3,12,252,9,33,27,1
1047,2,0,4,5,3,5,17,24,8,3,3,21,5,0,0.0,11,2,13,14,26,364,0,20,60,1260,20,85,100,1
