timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time
11,2,4,1,1,4,3,9,0,0,23,7,0,4,1,0.25,8
222,2,4,1,1,4,3,9,0,0,22,6,7,3,1,0.3333333333333333,8
340,2,4,1,1,4,3,9,0,0,23,7,10,4,1,0.25,8
438,1,4,1,1,4,3,9,0,0,21,5,13,2,1,0.5,8
497,0,1,1,1,4,3,9,9,9,17,1,15,2,2,1.0,12
505,4,0,2,1,4,3,9,17,1,20,4,15,2,0,0.0,4
547,0,4,1,1,4,3,9,0,0,17,1,16,1,1,1.0,8
555,4,0,2,1,4,3,10,17,1,20,4,16,2,0,0.0,4
560,0,1,3,1,4,3,9,20,4,17,1,15,2,2,1.0,12
606,0,1,1,1,4,3,9,12,12,17,1,18,5,5,1.0,20
611,0,1,3,1,4,3,10,20,4,17,1,16,2,2,1.0,15
614,4,0,2,1,4,3,11,17,1,20,4,18,2,0,0.0,4
628,2,4,1,1,4,3,9,0,0,23,7,19,4,1,0.25,8
666,0,1,3,1,4,3,9,20,4,17,1,18,2,2,1.0,12
668,0,1,1,1,4,3,10,9,9,17,1,20,2,2,1.0,12
676,4,0,2,1,4,3,12,17,1,20,4,20,2,0,0.0,4
714,0,4,1,1,4,3,9,0,0,17,1,22,1,1,1.0,8
722,4,0,2,1,4,3,9,17,1,20,4,22,2,0,0.0,4
728,0,1,3,1,4,3,9,20,4,17,1,20,2,2,1.0,12
777,0,1,3,1,4,3,9,20,4,17,1,22,2,2,1.0,15
798,0,1,1,1,4,3,9,12,12,17,1,24,5,5,1.0,20
806,4,0,2,1,4,3,10,17,1,20,4,24,2,0,0.0,4
816,2,4,1,1,4,3,9,0,0,30,14,25,5,1,0.2,8
858,0,1,3,1,4,3,9,20,4,17,1,24,2,2,1.0,12
930,2,4,1,1,4,3,9,0,0,27,11,28,5,1,0.2,8
1040,1,4,1,1,4,3,9,0,0,25,9,31,3,1,0.3333333333333333,8
1369,2,4,1,1,4,3,9,0,0,26,10,41,4,1,0.25,8
1469,1,4,1,1,4,3,9,0,0,29,13,44,4,1,0.25,8
1587,1,4,1,1,4,3,9,0,0,21,5,47,2,1,0.5,8
1704,2,4,1,1,4,3,9,0,0,30,14,50,5,1,0.2,8
1745,0,1,1,1,4,3,9,9,9,17,1,52,2,2,1.0,12
1753,4,0,2,1,4,3,11,17,1,20,4,52,2,0,0.0,4
1811,0,1,3,1,4,3,9,20,4,17,1,52,2,2,1.0,15
1924,0,4,1,1,4,3,9,0,0,17,1,56,1,1,1.0,8
1932,4,0,2,1,4,3,12,17,1,20,4,56,2,0,0.0,4
1963,0,1,1,1,4,3,9,12,12,17,1,57,5,5,1.0,20
1971,4,0,2,1,4,3,9,17,1,20,4,57,2,0,0.0,4
1987,0,1,3,1,4,3,9,20,4,17,1,56,2,2,1.0,15
1991,4,2,2,1,4,3,9,19,3,20,4,58,4,2,0.5,12
2024,0,1,3,1,4,3,9,20,4,17,1,57,2,2,1.0,12
2024,2,4,1,1,4,3,9,0,0,22,6,59,3,1,0.3333333333333333,8
2099,0,1,1,1,4,3,9,9,9,17,1,61,2,2,1.0,12
2107,4,0,2,1,4,3,10,17,1,20,4,61,2,0,0.0,4
2134,2,4,1,1,4,3,9,0,0,19,3,62,3,1,0.3333333333333333,8
2158,4,2,2,1,4,3,9,19,3,20,4,62,4,2,0.5,12
2164,0,1,3,1,4,3,9,20,4,17,1,61,2,2,1.0,16
2225,4,2,2,1,4,3,9,19,3,20,4,64,4,2,0.5,12
2257,0,4,1,1,4,3,9,0,0,17,1,65,1,1,1.0,8
2265,4,0,2,1,4,3,11,17,1,20,4,65,2,0,0.0,4
2322,0,1,3,1,4,3,9,20,4,17,1,65,2,2,1.0,16
2336,2,4,1,1,4,3,9,0,0,27,11,68,5,1,0.2,8
2341,0,1,1,1,4,3,9,12,12,17,1,67,5,5,1.0,20
2349,4,0,2,1,4,3,12,17,1,20,4,67,2,0,0.0,4
2403,0,1,3,1,4,3,9,20,4,17,1,67,2,2,1.0,13
2538,2,4,1,1,4,3,9,0,0,26,10,73,4,1,0.25,8
2646,2,4,1,1,4,3,9,0,0,26,10,77,4,1,0.25,8
2790,1,4,1,1,4,3,9,0,0,25,9,80,3,1,0.3333333333333333,8
2942,2,4,1,1,4,3,9,0,0,27,11,82,5,1,0.2,8
3183,4,2,2,1,4,3,9,18,2,20,4,86,3,1,0.3333333333333333,8
3379,2,4,1,1,4,3,9,0,0,18,2,90,2,1,0.5,8
3395,4,2,2,1,4,3,9,18,2,20,4,90,3,1,0.3333333333333333,8
3460,4,2,2,1,4,3,9,18,2,20,4,91,3,1,0.3333333333333333,8
3592,1,4,1,1,4,3,9,0,0,29,13,95,4,1,0.25,8
3803,2,4,1,1,4,3,9,0,0,23,7,99,4,1,0.25,8
4132,1,4,1,1,4,3,9,0,0,29,13,108,4,1,0.25,8
4257,2,4,1,1,4,3,9,0,0,31,15,111,6,1,0.16666666666666666,8
4385,1,4,1,1,4,3,9,0,0,29,13,115,4,1,0.25,8
4468,0,1,1,1,4,3,9,9,9,17,1,117,2,2,1.0,12
4476,4,0,2,1,4,3,9,17,1,20,4,117,2,0,0.0,4
4496,1,4,1,1,4,3,9,0,0,29,13,118,4,1,0.25,8
4528,0,1,3,1,4,3,9,20,4,17,1,117,2,2,1.0,12
4809,0,4,1,1,4,3,9,0,0,17,1,126,1,1,1.0,8
4817,4,0,2,1,4,3,10,17,1,20,4,126,2,0,0.0,4
4870,0,1,3,1,4,3,9,20,4,17,1,126,2,2,1.0,12
4872,0,1,1,1,4,3,10,12,12,17,1,127,5,5,1.0,20
4880,4,0,2,1,4,3,11,17,1,20,4,127,2,0,0.0,4
4932,0,1,3,1,4,3,9,20,4,17,1,127,2,2,1.0,12
5035,2,4,1,1,4,3,9,0,0,30,14,130,5,1,0.2,8
5166,2,4,1,1,4,3,9,0,0,23,7,134,4,1,0.25,8
5262,1,4,1,1,4,3,9,0,0,25,9,137,3,1,0.3333333333333333,8
5357,2,4,1,1,4,3,9,0,0,22,6,140,3,1,0.3333333333333333,8
5453,1,4,1,1,4,3,9,0,0,25,9,143,3,1,0.3333333333333333,8
