timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
11,2,4,1,1,4,3,9,0,0,23,7,0,4,1,0.25,8,1,1,1,1,1,8,1,4,0,3,27,9,1
218,2,4,1,1,4,3,9,0,0,22,6,5,3,1,0.3333333333333333,8,1,1,1,1,1,8,1,4,20,3,27,9,1
336,2,4,1,1,4,3,9,0,0,23,7,7,4,1,0.25,8,1,1,1,1,1,8,1,4,28,3,27,9,1
434,1,4,1,1,4,3,9,0,0,21,5,9,2,1,0.5,8,1,1,1,1,1,4,1,4,36,3,27,9,1
470,0,1,1,1,4,3,9,5,5,17,1,10,1,1,1.0,8,2,1,2,2,4,0,1,4,40,3,27,9,1
478,4,0,2,1,4,3,9,17,1,20,4,10,2,0,0.0,4,1,2,2,2,4,0,2,8,80,6,27,18,1
532,0,1,3,1,4,3,9,20,4,17,1,10,2,2,1.0,12,3,1,3,3,9,0,3,12,120,9,27,27,1
543,0,4,1,1,4,3,9,0,0,17,1,11,1,1,1.0,8,2,2,3,4,12,0,1,4,44,3,27,9,1
551,4,0,2,1,4,3,10,17,1,20,4,11,2,0,0.0,4,1,3,3,3,9,0,2,8,88,6,30,18,1
607,0,1,3,1,4,3,9,20,4,17,1,11,2,2,1.0,15,5,1,5,5,25,0,3,12,132,9,27,27,1
624,0,1,1,1,4,3,9,5,5,17,1,14,1,1,1.0,8,4,2,5,8,40,0,1,4,56,3,27,9,1
624,2,4,1,1,4,3,9,0,0,23,7,13,4,1,0.25,8,3,3,5,9,45,8,1,4,52,3,27,9,1
632,4,0,2,1,4,3,11,17,1,20,4,14,2,0,0.0,4,2,4,5,8,40,0,2,8,112,6,33,18,1
684,0,1,3,1,4,3,9,20,4,17,1,14,2,2,1.0,12,1,5,5,5,25,0,3,12,168,9,27,27,1
710,0,4,1,1,4,3,9,0,0,17,1,15,1,1,1.0,8,3,1,3,3,9,0,1,4,60,3,27,9,1
