timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
11,2,4,1,1,4,3,9,0,0,23,7,1,4,1,0.25,8,1,1,1,1,1,8,1,4,4,3,27,9,0
240,2,4,1,1,4,3,9,0,0,22,6,9,3,1,0.3333333333333333,8,1,1,1,1,1,8,1,4,36,3,27,9,0
359,2,4,1,1,4,3,9,0,0,23,7,12,4,1,0.25,8,1,1,1,1,1,8,1,4,48,3,27,9,0
458,1,4,1,1,4,3,9,0,0,21,5,15,2,1,0.5,8,1,1,1,1,1,4,1,4,60,3,27,9,0
475,0,1,1,1,4,3,9,5,5,17,1,16,1,1,1.0,8,2,1,2,2,4,0,1,4,64,3,27,9,0
483,4,0,2,1,4,3,9,17,1,20,4,16,2,0,0.0,4,1,2,2,2,4,0,2,8,128,6,27,18,0
513,0,1,1,1,4,3,9,9,9,17,1,17,2,2,1.0,12,6,1,6,6,36,0,1,4,68,3,27,9,0
521,4,0,2,1,4,3,10,17,1,20,4,17,2,0,0.0,4,5,2,6,10,60,0,2,8,136,6,30,18,0
538,0,1,3,1,4,3,9,20,4,17,1,16,2,2,1.0,12,4,3,6,12,72,0,3,12,192,9,27,27,0
566,0,4,1,1,4,3,9,0,0,17,1,19,1,1,1.0,8,3,4,6,12,72,0,1,4,76,3,27,9,0
574,4,0,2,1,4,3,11,17,1,20,4,19,2,0,0.0,4,2,5,6,10,60,0,2,8,152,6,33,18,0
578,0,1,3,1,4,3,9,20,4,17,1,17,2,2,1.0,16,1,6,6,6,36,0,3,12,204,9,27,27,0
626,0,1,3,1,4,3,9,20,4,17,1,19,2,2,1.0,12,7,1,7,7,49,0,3,12,228,9,27,27,0
630,0,1,1,1,4,3,10,5,5,17,1,21,1,1,1.0,8,6,2,7,12,84,0,1,4,84,3,30,9,0
638,4,0,2,1,4,3,12,17,1,20,4,21,2,0,0.0,4,5,3,7,15,105,0,2,8,168,6,36,18,0
647,2,4,1,1,4,3,9,0,0,23,7,22,4,1,0.25,8,4,4,7,16,112,8,1,4,88,3,27,9,0
680,0,1,1,1,4,3,9,9,9,17,1,23,2,2,1.0,12,3,5,7,15,105,0,1,4,92,3,27,9,0
688,4,0,2,1,4,3,9,17,1,20,4,23,2,0,0.0,4,2,6,7,12,84,0,2,8,184,6,27,18,0
690,0,1,3,1,4,3,9,20,4,17,1,21,2,2,1.0,12,1,7,7,7,49,0,3,12,252,9,27,27,0
734,0,4,1,1,4,3,9,0,0,17,1,25,1,1,1.0,8,4,1,4,4,16,0,1,4,100,3,27,9,0
742,4,0,2,1,4,3,10,17,1,20,4,25,2,0,0.0,4,3,2,4,6,24,0,2,8,200,6,30,18,0
744,0,1,3,1,4,3,9,20,4,17,1,23,2,2,1.0,16,2,3,4,6,24,0,3,12,276,9,27,27,0
794,0,1,3,1,4,3,9,20,4,17,1,25,2,2,1.0,12,1,4,4,4,16,0,3,12,300,9,27,27,0
837,2,4,1,1,4,3,9,0,0,30,14,28,5,1,0.2,8,1,1,1,1,1,8,1,4,112,3,27,9,0
952,2,4,1,1,4,3,9,0,0,27,11,31,5,1,0.2,8,1,1,1,1,1,8,1,4,124,3,27,9,0
1063,1,4,1,1,4,3,9,0,0,25,9,35,3,1,0.3333333333333333,8,1,1,1,1,1,4,1,4,140,3,27,9,0
1390,2,4,1,1,4,3,9,0,0,26,10,44,4,1,0.25,8,1,1,1,1,1,8,1,4,176,3,27,9,0
1488,1,4,1,1,4,3,9,0,0,29,13,47,4,1,0.25,8,1,1,1,1,1,4,1,4,188,3,27,9,0
1604,1,4,1,1,4,3,9,0,0,21,5,50,2,1,0.5,8,1,1,1,1,1,4,1,4,200,3,27,9,0
1721,2,4,1,1,4,3,9,0,0,30,14,53,5,1,0.2,8,1,1,1,1,1,8,1,4,212,3,27,9,0
1727,0,1,1,1,4,3,9,5,5,17,1,54,1,1,1.0,8,1,1,1,1,1,0,1,4,216,3,27,9,0
1735,4,0,2,1,4,3,11,17,1,20,4,54,2,0,0.0,4,1,1,1,1,1,0,2,8,432,6,33,18,0
1758,0,1,1,1,4,3,9,9,9,17,1,55,2,2,1.0,12,3,1,3,3,9,0,1,4,220,3,27,9,0
1766,4,0,2,1,4,3,12,17,1,20,4,55,2,0,0.0,4,2,2,3,4,12,0,2,8,440,6,36,18,0
1788,0,1,3,1,4,3,9,20,4,17,1,54,2,2,1.0,12,1,3,3,3,9,0,3,12,648,9,27,27,0
1822,0,1,3,1,4,3,9,20,4,17,1,55,2,2,1.0,16,1,1,1,1,1,0,3,12,660,9,27,27,0
1939,0,4,1,1,4,3,9,0,0,17,1,60,1,1,1.0,8,4,1,4,4,16,0,1,4,240,3,27,9,0
1947,4,0,2,1,4,3,9,17,1,20,4,60,2,0,0.0,4,3,2,4,6,24,0,2,8,480,6,27,18,0
1949,4,2,2,1,4,3,9,19,3,20,4,59,4,2,0.5,12,2,3,4,6,24,8,2,8,472,6,27,18,0
1992,4,2,2,1,4,3,9,19,3,20,4,61,4,2,0.5,12,1,4,4,4,16,8,2,8,488,6,27,18,0
2000,0,1,3,1,4,3,9,20,4,17,1,60,2,2,1.0,12,5,1,5,5,25,0,3,12,720,9,27,27,0
2041,2,4,1,1,4,3,9,0,0,22,6,62,3,1,0.3333333333333333,8,4,2,5,8,40,8,1,4,248,3,27,9,0
2055,0,1,1,1,4,3,9,5,5,17,1,63,1,1,1.0,8,3,3,5,9,45,0,1,4,252,3,27,9,0
2063,4,0,2,1,4,3,10,17,1,20,4,63,2,0,0.0,4,2,4,5,8,40,0,2,8,504,6,30,18,0
2098,0,1,1,1,4,3,9,9,9,17,1,64,2,2,1.0,12,1,5,5,5,25,0,1,4,256,3,27,9,0
2106,4,0,2,1,4,3,11,17,1,20,4,64,2,0,0.0,4,5,1,5,5,25,0,2,8,512,6,33,18,0
2116,0,1,3,1,4,3,9,20,4,17,1,63,2,2,1.0,12,4,2,5,8,40,0,3,12,756,9,27,27,0
2153,2,4,1,1,4,3,9,0,0,19,3,66,3,1,0.3333333333333333,8,3,3,5,9,45,8,1,4,264,3,27,9,0
2160,0,1,3,1,4,3,9,20,4,17,1,64,2,2,1.0,14,2,4,5,8,40,0,3,12,768,9,27,27,0
2177,4,2,2,1,4,3,9,19,3,20,4,66,4,2,0.5,12,1,5,5,5,25,8,2,8,528,6,27,18,0
2277,0,4,1,1,4,3,9,0,0,17,1,69,1,1,1.0,8,2,1,2,2,4,0,1,4,276,3,27,9,0
2285,4,0,2,1,4,3,12,17,1,20,4,69,2,0,0.0,4,1,2,2,2,4,0,2,8,552,6,36,18,0
2344,0,1,3,1,4,3,9,20,4,17,1,69,2,2,1.0,16,2,1,2,2,4,0,3,12,828,9,27,27,0
2358,2,4,1,1,4,3,9,0,0,27,11,72,5,1,0.2,8,1,2,2,2,4,8,1,4,288,3,27,9,0
2561,2,4,1,1,4,3,9,0,0,26,10,77,4,1,0.25,8,1,1,1,1,1,8,1,4,308,3,27,9,0
2688,2,4,1,1,4,3,9,0,0,26,10,80,4,1,0.25,8,1,1,1,1,1,8,1,4,320,3,27,9,0
2832,1,4,1,1,4,3,9,0,0,25,9,83,3,1,0.3333333333333333,8,1,1,1,1,1,4,1,4,332,3,27,9,0
2984,2,4,1,1,4,3,9,0,0,27,11,86,5,1,0.2,8,1,1,1,1,1,8,1,4,344,3,27,9,0
3155,4,2,2,1,4,3,9,18,2,20,4,87,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,696,6,27,18,0
3187,4,2,2,1,4,3,9,18,2,20,4,88,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,704,6,27,18,0
3420,2,4,1,1,4,3,9,0,0,18,2,94,2,1,0.5,8,1,1,1,1,1,8,1,4,376,3,27,9,0
3436,4,2,2,1,4,3,9,18,2,20,4,94,3,1,0.3333333333333333,8,1,1,1,1,1,8,2,8,752,6,27,18,0
3635,1,4,1,1,4,3,9,0,0,29,13,98,4,1,0.25,8,1,1,1,1,1,4,1,4,392,3,27,9,0
3846,2,4,1,1,4,3,9,0,0,23,7,103,4,1,0.25,8,1,1,1,1,1,8,1,4,412,3,27,9,0
4174,1,4,1,1,4,3,9,0,0,29,13,114,4,1,0.25,8,1,1,1,1,1,4,1,4,456,3,27,9,0
4289,2,4,1,1,4,3,9,0,0,31,15,116,6,1,0.16666666666666666,8,1,1,1,1,1,8,1,4,464,3,27,9,0
4417,1,4,1,1,4,3,9,0,0,29,13,120,4,1,0.25,8,1,1,1,1,1,4,1,4,480,3,27,9,0
4468,0,1,1,1,4,3,9,5,5,17,1,121,1,1,1.0,8,1,1,1,1,1,0,1,4,484,3,27,9,0
4476,4,0,2,1,4,3,9,17,1,20,4,121,2,0,0.0,4,1,1,1,1,1,0,2,8,968,6,27,18,0
4509,0,1,1,1,4,3,9,9,9,17,1,122,2,2,1.0,12,1,1,1,1,1,0,1,4,488,3,27,9,0
4517,4,0,2,1,4,3,10,17,1,20,4,122,2,0,0.0,4,1,1,1,1,1,0,2,8,976,6,30,18,0
4528,0,1,3,1,4,3,9,20,4,17,1,121,2,2,1.0,12,1,1,1,1,1,0,3,12,1452,9,27,27,0
4528,1,4,1,1,4,3,9,0,0,29,13,123,4,1,0.25,8,1,1,1,1,1,4,1,4,492,3,27,9,0
4574,0,1,3,1,4,3,9,20,4,17,1,122,2,2,1.0,16,1,1,1,1,1,0,3,12,1464,9,27,27,0
4845,0,4,1,1,4,3,9,0,0,17,1,129,1,1,1.0,8,1,1,1,1,1,0,1,4,516,3,27,9,0
4853,4,0,2,1,4,3,11,17,1,20,4,129,2,0,0.0,4,1,1,1,1,1,0,2,8,1032,6,33,18,0
4910,0,1,3,1,4,3,9,20,4,17,1,129,2,2,1.0,16,1,1,1,1,1,0,3,12,1548,9,27,27,0
5070,2,4,1,1,4,3,9,0,0,30,14,136,5,1,0.2,8,1,1,1,1,1,8,1,4,544,3,27,9,0
5201,2,4,1,1,4,3,9,0,0,23,7,140,4,1,0.25,8,1,1,1,1,1,8,1,4,560,3,27,9,0
5298,1,4,1,1,4,3,9,0,0,25,9,143,3,1,0.3333333333333333,8,1,1,1,1,1,4,1,4,572,3,27,9,0
