timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,sim,sim_traversal
11,2,4,1,1,4,3,9,0,0,23,7,0,4,1,0.25,8,1,0
84,4,2,1,1,4,3,9,3,3,24,8,3,5,2,0.4,12,1,3
238,2,4,1,1,4,3,9,0,0,22,6,8,3,1,0.3333333333333333,8,1,8
365,2,4,1,1,4,3,9,0,0,23,7,11,4,1,0.25,8,1,11
386,1,2,1,1,4,3,9,3,3,21,5,12,3,2,0.6666666666666666,12,1,12
464,1,4,1,1,4,3,9,0,0,21,5,14,2,1,0.5,8,1,14
487,0,2,1,1,4,3,9,3,3,17,1,15,2,2,1.0,12,1,15
495,4,0,2,1,4,3,9,17,1,20,4,15,2,0,0.0,4,1,15
541,0,1,1,1,4,3,9,15,15,17,1,16,5,5,1.0,24,1,16
549,4,0,2,1,4,3,10,17,1,20,4,16,2,0,0.0,4,1,16
550,0,1,3,1,4,3,9,20,4,17,1,15,2,2,1.0,12,1,15
572,0,4,1,1,4,3,9,0,0,17,1,17,1,1,1.0,8,1,17
580,4,0,2,1,4,3,11,17,1,20,4,17,2,0,0.0,4,1,17
605,0,1,3,1,4,3,9,20,4,17,1,16,2,2,1.0,15,1,16
632,0,1,3,1,4,3,9,20,4,17,1,17,2,2,1.0,12,1,17
650,0,2,1,1,4,3,9,3,3,17,1,20,2,2,1.0,12,1,20
653,2,4,1,1,4,3,9,0,0,23,7,21,4,1,0.25,8,1,21
658,4,0,2,1,4,3,12,17,1,20,4,20,2,0,0.0,4,1,20
710,0,1,3,1,4,3,9,20,4,17,1,20,2,2,1.0,12,1,20
724,0,1,1,1,4,3,9,15,15,17,1,22,5,5,1.0,24,1,22
732,4,0,2,1,4,3,9,17,1,20,4,22,2,0,0.0,4,1,22
740,0,4,1,1,4,3,9,0,0,17,1,23,1,1,1.0,8,1,23
748,4,0,2,1,4,3,10,17,1,20,4,23,2,0,0.0,4,1,23
787,0,1,3,1,4,3,9,20,4,17,1,22,2,2,1.0,15,1,22
806,0,1,3,1,4,3,9,20,4,17,1,23,2,2,1.0,12,1,23
849,2,4,1,1,4,3,9,0,0,30,14,26,5,1,0.2,8,1,26
965,2,4,1,1,4,3,9,0,0,27,11,29,5,1,0.2,8,1,29
982,1,2,1,1,4,3,9,3,3,25,9,30,4,2,0.5,12,1,30
1077,1,4,1,1,4,3,9,0,0,25,9,32,3,1,0.3333333333333333,8,1,32
1099,4,2,1,1,4,3,9,3,3,20,4,33,4,2,0.5,12,1,33
1201,4,2,1,1,4,3,9,3,3,28,12,36,6,2,0.3333333333333333,12,1,36
1407,2,4,1,1,4,3,9,0,0,26,10,41,4,1,0.25,8,1,41
1440,1,2,1,1,4,3,9,3,3,29,13,42,5,2,0.4,12,1,42
1506,1,4,1,1,4,3,9,0,0,29,13,44,4,1,0.25,8,1,44
1548,1,2,1,1,4,3,9,3,3,21,5,45,3,2,0.6666666666666666,12,1,45
1622,1,4,1,1,4,3,9,0,0,21,5,47,2,1,0.5,8,1,47
1760,4,2,1,1,4,3,9,3,3,20,4,50,4,2,0.5,12,1,50
1761,2,4,1,1,4,3,9,0,0,30,14,51,5,1,0.2,8,1,51
1859,0,2,1,1,4,3,9,3,3,17,1,53,2,2,1.0,12,1,53
1867,4,0,2,1,4,3,11,17,1,20,4,53,2,0,0.0,4,1,53
1898,0,1,1,1,4,3,9,15,15,17,1,55,5,5,1.0,24,1,55
1906,4,0,2,1,4,3,12,17,1,20,4,55,2,0,0.0,4,1,55
1920,0,1,3,1,4,3,9,20,4,17,1,53,2,2,1.0,12,1,53
1962,0,1,3,1,4,3,9,20,4,17,1,55,2,2,1.0,16,1,55
1979,0,4,1,1,4,3,9,0,0,17,1,57,1,1,1.0,8,1,57
1987,4,0,2,1,4,3,9,17,1,20,4,57,2,0,0.0,4,1,57
2040,0,1,3,1,4,3,9,20,4,17,1,57,2,2,1.0,12,1,57
2081,4,2,2,1,4,3,9,19,3,20,4,59,4,2,0.5,12,1,59
2081,2,4,1,1,4,3,9,0,0,22,6,60,3,1,0.3333333333333333,8,1,60
2140,4,2,2,1,4,3,9,19,3,20,4,61,4,2,0.5,12,1,61
2193,2,4,1,1,4,3,9,0,0,19,3,63,3,1,0.3333333333333333,8,1,63
2197,0,2,1,1,4,3,9,3,3,17,1,62,2,2,1.0,12,1,62
2205,4,0,2,1,4,3,10,17,1,20,4,62,2,0,0.0,4,1,62
2217,4,2,2,1,4,3,9,19,3,20,4,63,4,2,0.5,12,1,63
2258,0,1,3,1,4,3,9,20,4,17,1,62,2,2,1.0,12,1,62
2270,0,1,1,1,4,3,9,15,15,17,1,64,5,5,1.0,24,1,64
2278,4,0,2,1,4,3,11,17,1,20,4,64,2,0,0.0,4,1,64
2327,0,4,1,1,4,3,9,0,0,17,1,66,1,1,1.0,8,1,66
2334,0,1,3,1,4,3,9,20,4,17,1,64,2,2,1.0,16,1,64
2335,4,0,2,1,4,3,12,17,1,20,4,66,2,0,0.0,4,1,66
