timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
106,4,2,1,1,4,3,9,15,15,24,8,5,4,1,0.25,8,1,1,1,1,1,8,1,4,20,3,27,9,1
222,3,2,1,1,4,3,9,15,15,22,6,8,3,1,0.3333333333333333,8,1,1,1,1,1,6,1,4,32,3,27,9,1
414,4,2,1,1,4,3,9,15,15,21,5,14,4,1,0.25,8,1,1,1,1,1,8,1,4,56,3,27,9,1
523,4,2,1,1,4,3,9,15,15,17,1,17,5,1,0.2,8,1,1,1,1,1,8,1,4,68,3,27,9,1
706,4,2,1,1,4,3,9,15,15,17,1,23,5,1,0.2,8,1,1,1,1,1,8,1,4,92,3,27,9,1
777,0,3,1,1,4,3,9,11,11,30,14,25,2,2,1.0,12,1,1,1,1,1,0,1,4,100,3,27,9,1
785,2,0,2,1,4,3,9,30,14,27,11,25,2,0,0.0,4,1,1,1,1,1,0,2,8,200,6,27,18,1
840,0,3,3,1,4,3,9,27,11,30,14,25,2,2,1.0,12,5,1,5,5,25,0,3,12,300,9,27,27,1
841,0,2,1,1,4,3,9,15,15,30,14,26,1,1,1.0,9,4,2,5,8,40,0,1,4,104,3,27,9,1
849,2,0,2,1,4,3,10,30,14,27,11,26,2,0,0.0,4,3,3,5,9,45,0,2,8,208,6,30,18,1
863,0,3,1,1,4,3,9,0,0,30,14,27,5,5,1.0,24,2,4,5,8,40,0,1,4,108,3,27,9,1
871,2,0,2,1,4,3,11,30,14,27,11,27,2,0,0.0,4,1,5,5,5,25,0,2,8,216,6,33,18,1
902,0,3,3,1,4,3,9,27,11,30,14,26,2,2,1.0,12,2,1,2,2,4,0,3,12,312,9,27,27,1
924,0,3,3,1,4,3,9,27,11,30,14,27,2,2,1.0,12,1,2,2,2,4,0,3,12,324,9,27,27,1
1028,4,2,1,1,4,3,9,15,15,25,9,32,4,1,0.25,8,1,1,1,1,1,8,1,4,128,3,27,9,1
1130,4,2,1,1,4,3,9,15,15,20,4,35,5,1,0.2,8,2,1,2,2,4,8,1,4,140,3,27,9,1
1177,2,4,2,1,4,3,9,28,12,27,11,36,4,2,0.5,12,1,2,2,2,4,8,2,8,288,6,27,18,1
