timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
15,2,4,1,1,4,3,9,0,0,23,7,1,4,2,0.5,12,1,1,1,1,1,8,1,4,4,3,27,9,1
226,1,4,1,1,4,3,9,0,0,22,6,6,3,2,0.6666666666666666,12,1,1,1,1,1,4,1,4,24,3,27,9,1
344,2,4,1,1,4,3,9,0,0,23,7,8,4,2,0.5,12,1,1,1,1,1,8,1,4,32,3,27,9,1
632,2,4,1,1,4,3,9,0,0,23,7,14,4,2,0.5,12,1,1,1,1,1,8,1,4,56,3,27,9,1
821,1,4,1,1,4,3,9,0,0,30,14,18,5,2,0.4,12,1,1,1,1,1,4,1,4,72,3,27,9,1
936,2,4,1,1,4,3,9,0,0,27,11,20,5,2,0.4,12,1,1,1,1,1,8,1,4,80,3,27,9,1
1375,1,4,1,1,4,3,9,0,0,26,10,29,4,2,0.5,12,1,1,1,1,1,4,1,4,116,3,27,9,1
1707,1,4,1,1,4,3,9,0,0,30,14,35,5,2,0.4,12,1,1,1,1,1,4,1,4,140,3,27,9,1
2017,4,2,2,1,4,3,9,19,3,20,4,40,4,1,0.25,8,1,1,1,1,1,8,2,8,320,6,27,18,1
2025,1,4,1,1,4,3,9,0,0,22,6,41,3,2,0.6666666666666666,12,1,1,1,1,1,4,1,4,164,3,27,9,1
2136,2,4,1,1,4,3,9,0,0,19,3,43,3,2,0.6666666666666666,12,1,1,1,1,1,8,1,4,172,3,27,9,1
2152,4,2,2,1,4,3,9,19,3,20,4,43,4,1,0.25,8,1,1,1,1,1,8,2,8,344,6,27,18,1
2339,2,4,1,1,4,3,9,0,0,27,11,47,5,2,0.4,12,1,1,1,1,1,8,1,4,188,3,27,9,1
2541,1,4,1,1,4,3,9,0,0,26,10,51,4,2,0.5,12,1,1,1,1,1,4,1,4,204,3,27,9,1
2650,1,4,1,1,4,3,9,0,0,26,10,53,4,2,0.5,12,1,1,1,1,1,4,1,4,212,3,27,9,1
2952,2,4,1,1,4,3,9,0,0,27,11,56,5,2,0.4,12,1,1,1,1,1,8,1,4,224,3,27,9,1
3203,0,1,1,1,4,3,9,4,4,18,2,59,3,3,1.0,16,1,1,1,1,1,0,1,4,236,3,27,9,1
3211,4,0,2,1,4,3,9,18,2,20,4,59,3,0,0.0,4,1,1,1,1,1,0,2,8,472,6,27,18,1
3275,0,1,3,1,4,3,9,20,4,18,2,59,3,3,1.0,19,1,1,1,1,1,0,3,12,708,9,27,27,1
3389,0,4,1,1,4,3,9,0,0,18,2,61,2,2,1.0,12,1,1,1,1,1,0,1,4,244,3,27,9,1
3397,4,0,2,1,4,3,10,18,2,20,4,61,3,0,0.0,4,1,1,1,1,1,0,2,8,488,6,30,18,1
3458,0,1,3,1,4,3,9,20,4,18,2,61,3,3,1.0,16,1,1,1,1,1,0,3,12,732,9,27,27,1
3816,2,4,1,1,4,3,9,0,0,23,7,67,4,2,0.5,12,1,1,1,1,1,8,1,4,268,3,27,9,1
4257,2,4,1,1,4,3,9,0,0,31,15,76,6,2,0.3333333333333333,12,1,1,1,1,1,8,1,4,304,3,27,9,1
5037,1,4,1,1,4,3,9,0,0,30,14,88,5,2,0.4,12,1,1,1,1,1,4,1,4,352,3,27,9,1
5168,2,4,1,1,4,3,9,0,0,23,7,91,4,2,0.5,12,1,1,1,1,1,8,1,4,364,3,27,9,1
5360,1,4,1,1,4,3,9,0,0,22,6,95,3,2,0.6666666666666666,12,1,1,1,1,1,4,1,4,380,3,27,9,1
5744,1,4,1,1,4,3,9,0,0,26,10,102,4,2,0.5,12,1,1,1,1,1,4,1,4,408,3,27,9,1
5850,2,4,1,1,4,3,9,0,0,27,11,105,5,2,0.4,12,1,1,1,1,1,8,1,4,420,3,27,9,1
5957,1,4,1,1,4,3,9,0,0,26,10,107,4,2,0.5,12,1,1,1,1,1,4,1,4,428,3,27,9,1
6072,2,4,1,1,4,3,9,0,0,23,7,109,4,2,0.5,12,1,1,1,1,1,8,1,4,436,3,27,9,1
6346,2,4,1,1,4,3,9,0,0,27,11,114,5,2,0.4,12,1,1,1,1,1,8,1,4,456,3,27,9,1
6822,4,2,2,1,4,3,9,19,3,20,4,122,4,1,0.25,8,1,1,1,1,1,8,2,8,976,6,27,18,1
7203,2,4,1,1,4,3,9,0,0,19,3,128,3,2,0.6666666666666666,12,1,1,1,1,1,8,1,4,512,3,27,9,1
7219,4,2,2,1,4,3,9,19,3,20,4,128,4,1,0.25,8,1,1,1,1,1,8,2,8,1024,6,27,18,1
7612,0,1,1,1,4,3,9,4,4,18,2,135,3,3,1.0,16,1,1,1,1,1,0,1,4,540,3,27,9,1
