timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
154,3,2,1,1,4,3,9,15,15,24,8,10,4,3,0.75,16,1,1,1,1,6,40,3,27,0
1155,0,3,1,1,4,3,9,7,7,28,12,69,5,5,1.0,25,20,1,20,20,0,276,3,27,0
1163,2,0,2,1,4,3,9,28,12,27,11,69,4,0,0.0,4,19,2,20,38,0,552,6,54,0
1177,0,3,1,1,4,3,9,6,6,28,12,70,4,4,1.0,20,18,3,20,54,0,280,3,27,0
1185,2,0,2,1,4,3,10,28,12,27,11,70,4,0,0.0,4,17,4,20,68,0,560,6,60,0
1207,3,2,1,1,4,3,9,15,15,20,4,72,5,3,0.6,16,16,5,20,80,6,288,3,27,0
1223,0,3,1,1,4,3,9,11,11,28,12,73,4,4,1.0,20,15,6,20,90,0,292,3,27,0
1231,2,0,2,1,4,3,11,28,12,27,11,73,4,0,0.0,4,14,7,20,98,0,584,6,66,0
1232,0,3,3,1,4,3,9,27,11,28,12,69,4,4,1.0,20,13,8,20,104,0,828,9,81,0
1258,0,3,3,1,4,3,9,27,11,28,12,70,4,4,1.0,24,12,9,20,108,0,840,9,81,0
1300,0,3,3,1,4,3,9,27,11,28,12,73,4,4,1.0,20,11,10,20,110,0,876,9,81,0
1316,0,2,1,1,4,3,9,15,15,28,12,78,3,3,1.0,16,10,11,20,110,0,312,3,27,0
1324,2,0,2,1,4,3,12,28,12,27,11,78,4,0,0.0,4,9,12,20,108,0,624,6,72,0
1339,0,3,1,1,4,3,9,9,9,28,12,80,2,2,1.0,12,8,13,20,104,0,320,3,27,0
1347,2,0,2,1,4,3,9,28,12,27,11,80,4,0,0.0,4,7,14,20,98,0,640,6,54,0
1384,0,3,1,1,4,3,9,0,0,28,12,82,3,3,1.0,16,6,15,20,90,0,328,3,27,0
1392,0,3,3,1,4,3,9,27,11,28,12,78,4,4,1.0,20,5,16,20,80,0,936,9,81,0
1392,2,0,2,1,4,3,10,28,12,27,11,82,4,0,0.0,4,4,17,20,68,0,656,6,60,0
1420,0,3,3,1,4,3,9,27,11,28,12,80,4,4,1.0,24,3,18,20,54,0,960,9,81,0
1474,0,3,3,1,4,3,9,27,11,28,12,82,4,4,1.0,22,2,19,20,38,0,984,9,81,0
1842,3,2,1,1,4,3,9,15,15,20,4,107,5,3,0.6,16,1,20,20,20,6,428,3,27,0
2586,3,2,1,1,4,3,9,15,15,16,0,146,6,3,0.5,16,1,1,1,1,6,584,3,27,0
3074,0,3,1,1,4,3,9,7,7,28,12,166,5,5,1.0,24,36,1,36,36,0,664,3,27,0
3082,2,0,2,1,4,3,11,28,12,27,11,166,4,0,0.0,4,35,2,36,70,0,1328,6,66,0
3118,0,3,1,1,4,3,9,6,6,28,12,167,4,4,1.0,20,34,3,36,102,0,668,3,27,0
3126,2,0,2,1,4,3,12,28,12,27,11,167,4,0,0.0,4,33,4,36,132,0,1336,6,72,0
3154,0,3,1,1,4,3,9,11,11,28,12,169,4,4,1.0,20,32,5,36,160,0,676,3,27,0
3155,0,3,3,1,4,3,10,27,11,28,12,166,4,4,1.0,25,31,6,36,186,0,1992,9,90,0
3162,2,0,2,1,4,3,9,28,12,27,11,169,4,0,0.0,4,30,7,36,210,0,1352,6,54,0
3194,0,3,3,1,4,3,9,27,11,28,12,167,4,4,1.0,20,29,8,36,232,0,2004,9,81,0
3230,0,3,3,1,4,3,9,27,11,28,12,169,4,4,1.0,20,28,9,36,252,0,2028,9,81,0
3305,0,3,1,1,4,3,9,9,9,28,12,173,2,2,1.0,12,27,10,36,270,0,692,3,27,0
3313,2,0,2,1,4,3,10,28,12,27,11,173,4,0,0.0,4,26,11,36,286,0,1384,6,60,0
3350,0,2,1,1,4,3,9,15,15,28,12,175,3,3,1.0,16,25,12,36,300,0,700,3,27,0
3358,2,0,2,1,4,3,11,28,12,27,11,175,4,0,0.0,4,24,13,36,312,0,1400,6,66,0
3386,0,3,3,1,4,3,9,27,11,28,12,173,4,4,1.0,24,23,14,36,322,0,2076,9,81,0
3389,0,3,1,1,4,3,10,0,0,28,12,177,3,3,1.0,16,22,15,36,330,0,708,3,30,0
3397,2,0,2,1,4,3,12,28,12,27,11,177,4,0,0.0,4,21,16,36,336,0,1416,6,72,0
3400,0,3,1,1,4,3,9,7,7,28,12,178,5,5,1.0,24,20,17,36,340,0,712,3,27,0
3408,2,0,2,1,4,3,9,28,12,27,11,178,4,0,0.0,4,19,18,36,342,0,1424,6,54,0
3426,0,3,3,1,4,3,9,27,11,28,12,175,4,4,1.0,20,18,19,36,342,0,2100,9,81,0
3439,0,3,1,1,4,3,9,6,6,28,12,179,4,4,1.0,20,17,20,36,340,0,716,3,27,0
3447,2,0,2,1,4,3,10,28,12,27,11,179,4,0,0.0,4,16,21,36,336,0,1432,6,60,0
3466,0,3,3,1,4,3,9,27,11,28,12,177,4,4,1.0,20,15,22,36,330,0,2124,9,81,0
3480,0,3,3,1,4,3,9,27,11,28,12,178,4,4,1.0,24,14,23,36,322,0,2136,9,81,0
3483,0,3,1,1,4,3,10,11,11,28,12,180,4,4,1.0,20,13,24,36,312,0,720,3,30,0
3491,2,0,2,1,4,3,11,28,12,27,11,180,4,0,0.0,4,12,25,36,300,0,1440,6,66,0
3516,0,3,3,1,4,3,9,27,11,28,12,179,4,4,1.0,20,11,26,36,286,0,2148,9,81,0
3561,0,3,3,1,4,3,9,27,11,28,12,180,4,4,1.0,21,10,27,36,270,0,2160,9,81,0
3624,0,3,1,1,4,3,9,9,9,28,12,187,2,2,1.0,12,9,28,36,252,0,748,3,27,0
3632,2,0,2,1,4,3,12,28,12,27,11,187,4,0,0.0,4,8,29,36,232,0,1496,6,72,0
3687,0,2,1,1,4,3,9,15,15,28,12,188,3,3,1.0,16,7,30,36,210,0,752,3,27,0
3695,2,0,2,1,4,3,9,28,12,27,11,188,4,0,0.0,4,6,31,36,186,0,1504,6,54,0
3700,0,3,3,1,4,3,9,27,11,28,12,187,4,4,1.0,20,5,32,36,160,0,2244,9,81,0
3719,0,3,1,1,4,3,9,0,0,28,12,190,3,3,1.0,16,4,33,36,132,0,760,3,27,0
3727,2,0,2,1,4,3,10,28,12,27,11,190,4,0,0.0,4,3,34,36,102,0,1520,6,60,0
3764,0,3,3,1,4,3,9,27,11,28,12,188,4,4,1.0,20,2,35,36,70,0,2256,9,81,0
3798,0,3,3,1,4,3,9,27,11,28,12,190,4,4,1.0,20,1,36,36,36,0,2280,9,81,0
4092,3,2,1,1,4,3,9,15,15,24,8,209,4,3,0.75,16,4,1,4,4,6,836,3,27,0
4216,3,2,1,1,4,3,9,15,15,24,8,216,4,3,0.75,16,3,2,4,6,6,864,3,27,0
4708,3,2,1,1,4,3,9,15,15,16,0,243,6,3,0.5,16,2,3,4,6,6,972,3,27,0
4831,3,2,1,1,4,3,9,15,15,16,0,248,6,3,0.5,16,1,4,4,4,6,992,3,27,0
5698,3,2,1,1,4,3,9,15,15,24,8,294,4,3,0.75,16,1,1,1,1,6,1176,3,27,0
