timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
19,1,4,1,1,4,3,9,0,0,23,7,1,4,3,0.75,16,3,1,3,3,4,4,3,27,1
398,1,4,1,1,4,3,9,0,0,23,7,17,4,3,0.75,16,2,2,3,4,4,68,3,27,1
695,1,4,1,1,4,3,9,0,0,23,7,29,4,3,0.75,16,1,3,3,3,4,116,3,27,1
1001,1,4,1,1,4,3,9,0,0,27,11,41,5,3,0.6,16,4,1,4,4,4,164,3,27,1
1915,0,1,1,1,4,3,9,6,6,19,3,77,2,2,1.0,12,3,2,4,6,0,308,3,27,1
1923,4,0,2,1,4,3,9,19,3,20,4,77,4,0,0.0,4,2,3,4,6,0,616,6,54,1
1996,0,1,3,1,4,3,9,20,4,19,3,77,4,4,1.0,24,1,4,4,4,0,924,9,81,1
2067,0,1,1,1,4,3,9,9,9,19,3,82,4,4,1.0,20,10,1,10,10,0,328,3,27,1
2075,4,0,2,1,4,3,10,19,3,20,4,82,4,0,0.0,4,9,2,10,18,0,656,6,60,1
2125,0,1,1,1,4,3,9,15,15,19,3,84,3,3,1.0,16,8,3,10,24,0,336,3,27,1
2133,4,0,2,1,4,3,11,19,3,20,4,84,4,0,0.0,4,7,4,10,28,0,672,6,66,1
2148,0,1,3,1,4,3,9,20,4,19,3,82,4,4,1.0,24,6,5,10,30,0,984,9,81,1
2202,0,1,3,1,4,3,9,20,4,19,3,84,4,4,1.0,20,5,6,10,30,0,1008,9,81,1
2212,0,4,1,1,4,3,9,0,0,19,3,87,3,3,1.0,16,4,7,10,28,0,348,3,27,1
2220,4,0,2,1,4,3,12,19,3,20,4,87,4,0,0.0,4,3,8,10,24,0,696,6,72,1
2292,0,1,3,1,4,3,9,20,4,19,3,87,4,4,1.0,24,2,9,10,18,0,1044,9,81,1
2413,1,4,1,1,4,3,9,0,0,27,11,95,5,3,0.6,16,1,10,10,10,4,380,3,27,1
3036,1,4,1,1,4,3,9,0,0,27,11,114,5,3,0.6,16,2,1,2,2,4,456,3,27,1
3912,1,4,1,1,4,3,9,0,0,23,7,137,4,3,0.75,16,1,2,2,2,4,548,3,27,1
4353,1,4,1,1,4,3,9,0,0,31,15,154,6,3,0.5,16,1,1,1,1,4,616,3,27,1
5263,1,4,1,1,4,3,9,0,0,23,7,184,4,3,0.75,16,2,1,2,2,4,736,3,27,1
5953,1,4,1,1,4,3,9,0,0,27,11,212,5,3,0.6,16,1,2,2,2,4,848,3,27,1
6175,1,4,1,1,4,3,9,0,0,23,7,220,4,3,0.75,16,8,1,8,8,4,880,3,27,1
6452,1,4,1,1,4,3,9,0,0,27,11,230,5,3,0.6,16,7,2,8,14,4,920,3,27,1
6833,0,1,1,1,4,3,9,6,6,19,3,242,2,2,1.0,12,6,3,8,18,0,968,3,27,1
6841,4,0,2,1,4,3,9,19,3,20,4,242,4,0,0.0,4,5,4,8,20,0,1936,6,54,1
6865,0,1,1,1,4,3,9,9,9,19,3,244,4,4,1.0,20,4,5,8,20,0,976,3,27,1
6873,4,0,2,1,4,3,10,19,3,20,4,244,4,0,0.0,4,3,6,8,18,0,1952,6,60,1
6911,0,1,3,1,4,3,9,20,4,19,3,242,4,4,1.0,21,2,7,8,14,0,2904,9,81,1
6942,0,1,3,1,4,3,9,20,4,19,3,244,4,4,1.0,20,1,8,8,8,0,2928,9,81,1
7336,0,1,1,1,4,3,9,15,15,19,3,257,3,3,1.0,17,6,1,6,6,0,1028,3,27,1
7344,4,0,2,1,4,3,11,19,3,20,4,257,4,0,0.0,4,5,2,6,10,0,2056,6,66,1
7348,0,4,1,1,4,3,9,0,0,19,3,258,3,3,1.0,16,4,3,6,12,0,1032,3,27,1
7356,4,0,2,1,4,3,12,19,3,20,4,258,4,0,0.0,4,3,4,6,12,0,2064,6,72,1
7412,0,1,3,1,4,3,9,20,4,19,3,257,4,4,1.0,20,2,5,6,10,0,3084,9,81,1
7438,0,1,3,1,4,3,9,20,4,19,3,258,4,4,1.0,24,1,6,6,6,0,3096,9,81,1
8343,1,4,1,1,4,3,9,0,0,23,7,293,4,3,0.75,16,2,1,2,2,4,1172,3,27,1
8552,1,4,1,1,4,3,9,0,0,27,11,301,5,3,0.6,16,1,2,2,2,4,1204,3,27,1
9055,1,4,1,1,4,3,9,0,0,31,15,320,6,3,0.5,16,21,1,21,21,4,1280,3,27,1
9058,0,1,1,1,4,3,9,6,6,19,3,321,2,2,1.0,12,20,2,21,40,0,1284,3,27,1
9066,4,0,2,1,4,3,9,19,3,20,4,321,4,0,0.0,4,19,3,21,57,0,2568,6,54,1
9099,0,1,1,1,4,3,9,9,9,19,3,323,4,4,1.0,20,18,4,21,72,0,1292,3,27,1
9107,4,0,2,1,4,3,10,19,3,20,4,323,4,0,0.0,4,17,5,21,85,0,2584,6,60,1
9134,0,1,3,1,4,3,9,20,4,19,3,321,4,4,1.0,20,16,6,21,96,0,3852,9,81,1
9178,0,1,3,1,4,3,9,20,4,19,3,323,4,4,1.0,20,15,7,21,105,0,3876,9,81,1
9354,1,4,7,1,4,3,9,17,1,15,15,331,5,2,0.4,24,14,8,21,112,4,9268,21,189,1
9458,0,1,1,1,4,3,9,6,6,19,3,336,2,2,1.0,12,13,9,21,117,0,1344,3,27,1
9466,4,0,2,1,4,3,11,19,3,20,4,336,4,0,0.0,4,12,10,21,120,0,2688,6,66,1
9529,0,1,1,1,4,3,9,9,9,19,3,340,4,4,1.0,20,11,11,21,121,0,1360,3,27,1
9537,4,0,2,1,4,3,12,19,3,20,4,340,4,0,0.0,4,10,12,21,120,0,2720,6,72,1
9538,0,1,3,1,4,3,9,20,4,19,3,336,4,4,1.0,24,9,13,21,117,0,4032,9,81,1
9606,0,1,3,1,4,3,9,20,4,19,3,340,4,4,1.0,20,8,14,21,112,0,4080,9,81,1
9659,0,4,1,1,4,3,9,0,0,19,3,346,3,3,1.0,16,7,15,21,105,0,1384,3,27,1
9667,4,0,2,1,4,3,9,19,3,20,4,346,4,0,0.0,4,6,16,21,96,0,2768,6,54,1
9736,0,1,3,1,4,3,9,20,4,19,3,346,4,4,1.0,20,5,17,21,85,0,4152,9,81,1
9779,0,1,1,1,4,3,9,15,15,19,3,348,3,3,1.0,16,4,18,21,72,0,1392,3,27,1
9787,4,0,2,1,4,3,10,19,3,20,4,348,4,0,0.0,4,3,19,21,57,0,2784,6,60,1
9856,0,1,3,1,4,3,9,20,4,19,3,348,4,4,1.0,20,2,20,21,40,0,4176,9,81,1
9997,1,4,7,1,4,3,9,17,1,15,15,354,5,2,0.4,13,1,21,21,21,4,9912,21,189,1
10039,0,4,1,1,4,3,9,0,0,19,3,360,3,3,1.0,16,13,1,13,13,0,1440,3,27,1
10047,4,0,2,1,4,3,11,19,3,20,4,360,4,0,0.0,4,12,2,13,24,0,2880,6,66,1
10119,0,1,3,1,4,3,9,20,4,19,3,360,4,4,1.0,23,11,3,13,33,0,4320,9,81,1
10233,0,1,1,1,4,3,9,15,15,19,3,367,3,3,1.0,16,10,4,13,40,0,1468,3,27,1
10241,4,0,2,1,4,3,12,19,3,20,4,367,4,0,0.0,4,9,5,13,45,0,2936,6,72,1
10310,0,1,3,1,4,3,9,20,4,19,3,367,4,4,1.0,20,8,6,13,48,0,4404,9,81,1
10847,1,4,5,1,1,3,9,0,0,23,7,391,4,3,0.75,16,7,7,13,49,4,1955,15,135,1
10854,1,4,5,2,2,3,9,0,0,23,7,391,4,3,0.75,23,6,8,13,48,4,7820,15,135,1
10861,1,4,5,3,2,3,9,0,0,23,7,391,4,3,0.75,30,5,9,13,45,4,11730,15,135,1
10868,1,4,5,4,2,3,9,0,0,23,7,391,4,3,0.75,37,4,10,13,40,4,15640,15,135,1
10875,1,4,5,5,3,3,9,0,0,23,7,391,4,3,0.75,44,3,11,13,33,4,29325,15,135,1
10876,1,4,1,1,4,3,10,0,0,23,7,393,4,3,0.75,44,2,12,13,24,4,1572,3,30,1
10988,1,4,1,1,4,3,9,0,0,23,7,399,4,3,0.75,16,1,13,13,13,4,1596,3,27,1
11257,0,1,5,1,1,3,9,6,6,19,3,411,2,2,1.0,12,30,1,30,30,0,2055,15,135,1
11264,0,1,5,2,2,3,9,6,6,19,3,411,2,2,1.0,19,29,2,30,58,0,8220,15,135,1
11271,0,1,5,3,2,3,9,6,6,19,3,411,2,2,1.0,26,28,3,30,84,0,12330,15,135,1
11278,0,1,5,4,2,3,9,6,6,19,3,411,2,2,1.0,33,27,4,30,108,0,16440,15,135,1
11285,0,1,5,5,3,3,9,6,6,19,3,411,2,2,1.0,40,26,5,30,130,0,30825,15,135,1
11286,0,1,1,1,4,3,10,6,6,19,3,413,2,2,1.0,40,25,6,30,150,0,1652,3,30,1
11293,4,0,6,1,1,3,9,19,3,20,4,411,4,0,0.0,4,24,7,30,168,0,2466,18,162,1
