timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
132,4,2,1,1,4,3,9,15,15,24,8,9,4,2,0.5,12,4,1,4,4,8,36,3,27,0
442,3,2,1,1,4,3,9,15,15,21,5,27,4,2,0.5,12,3,2,4,6,6,108,3,27,0
578,3,2,1,1,4,3,9,15,15,17,1,34,5,2,0.4,12,2,3,4,6,6,136,3,27,0
762,3,2,1,1,4,3,9,15,15,17,1,46,5,2,0.4,12,1,4,4,4,6,184,3,27,0
1082,3,2,1,1,4,3,9,15,15,25,9,64,4,2,0.5,12,30,1,30,30,6,256,3,27,0
1134,2,4,2,1,4,3,9,28,12,27,11,66,4,1,0.25,8,29,2,30,58,8,528,6,54,0
1187,4,2,1,1,4,3,9,15,15,20,4,70,5,2,0.4,12,28,3,30,84,8,280,3,27,0
1219,2,4,2,1,4,3,9,28,12,27,11,71,4,1,0.25,8,27,4,30,108,8,568,6,54,0
1297,4,2,1,1,4,3,9,15,15,28,12,76,3,2,0.6666666666666666,12,26,5,30,130,8,304,3,27,0
1313,2,4,2,1,4,3,9,28,12,27,11,76,4,1,0.25,8,25,6,30,150,8,608,6,54,0
1335,0,3,1,1,4,3,9,6,6,29,13,79,3,3,1.0,16,24,7,30,168,0,316,3,27,0
1343,2,0,2,1,4,3,9,29,13,27,11,79,3,0,0.0,4,23,8,30,184,0,632,6,54,0
1344,2,4,2,1,4,3,9,28,12,27,11,78,4,1,0.25,9,22,9,30,198,8,624,6,54,0
1357,2,4,2,1,4,3,9,28,12,27,11,80,4,1,0.25,8,21,10,30,210,8,640,6,54,0
1386,2,4,2,1,4,3,9,28,12,27,11,81,4,1,0.25,8,20,11,30,220,8,648,6,54,0
1404,0,3,3,1,4,3,9,27,11,29,13,79,3,3,1.0,16,19,12,30,228,0,948,9,81,0
1410,0,3,1,1,4,3,9,11,11,29,13,82,3,3,1.0,16,18,13,30,234,0,328,3,27,0
1418,2,0,2,1,4,3,10,29,13,27,11,82,3,0,0.0,4,17,14,30,238,0,656,6,60,0
1492,0,3,3,1,4,3,9,27,11,29,13,82,3,3,1.0,16,16,15,30,240,0,984,9,81,0
1517,0,2,1,1,4,3,9,15,15,29,13,88,2,2,1.0,12,15,16,30,240,0,352,3,27,0
1525,2,0,2,1,4,3,11,29,13,27,11,88,3,0,0.0,4,14,17,30,238,0,704,6,66,0
1581,0,3,1,1,4,3,9,1,1,29,13,91,3,3,1.0,16,13,18,30,234,0,364,3,27,0
1586,0,3,1,1,4,3,10,9,9,29,13,92,1,1,1.0,8,12,19,30,228,0,368,3,30,0
1587,0,3,3,1,4,3,9,27,11,29,13,88,3,3,1.0,17,11,20,30,220,0,1056,9,81,0
1589,2,0,2,1,4,3,12,29,13,27,11,91,3,0,0.0,4,10,21,30,210,0,728,6,72,0
1594,2,0,2,1,4,3,9,29,13,27,11,92,3,0,0.0,4,9,22,30,198,0,736,6,54,0
1611,3,2,1,1,4,3,9,15,15,21,5,93,4,2,0.5,12,8,23,30,184,6,372,3,27,0
1633,0,3,1,1,4,3,9,0,0,29,13,95,4,4,1.0,20,7,24,30,168,0,380,3,27,0
1641,2,0,2,1,4,3,10,29,13,27,11,95,3,0,0.0,4,6,25,30,150,0,760,6,60,0
1650,0,3,3,1,4,3,9,27,11,29,13,91,3,3,1.0,16,5,26,30,130,0,1092,9,81,0
1672,0,3,3,1,4,3,9,27,11,29,13,92,3,3,1.0,16,4,27,30,108,0,1104,9,81,0
1716,0,3,3,1,4,3,9,27,11,29,13,95,3,3,1.0,16,3,28,30,84,0,1140,9,81,0
