timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
19,1,4,1,1,4,3,9,0,0,23,7,1,4,3,0.75,16,3,1,3,3,4,4,3,27,0
432,1,4,1,1,4,3,9,0,0,23,7,27,4,3,0.75,16,2,2,3,4,4,108,3,27,0
775,1,4,1,1,4,3,9,0,0,23,7,47,4,3,0.75,16,1,3,3,3,4,188,3,27,0
1079,1,4,1,1,4,3,9,0,0,27,11,65,5,3,0.6,16,3,1,3,3,4,260,3,27,0
1961,0,1,1,1,4,3,9,7,7,19,3,114,1,1,1.0,8,2,2,3,4,0,456,3,27,0
1969,4,0,2,1,4,3,9,19,3,20,4,114,4,0,0.0,4,1,3,3,3,0,912,6,54,0
2007,0,1,1,1,4,3,9,6,6,19,3,118,2,2,1.0,12,17,1,17,17,0,472,3,27,0
2015,4,0,2,1,4,3,10,19,3,20,4,118,4,0,0.0,4,16,2,17,32,0,944,6,60,0
2038,0,1,3,1,4,3,9,20,4,19,3,114,4,4,1.0,20,15,3,17,45,0,1368,9,81,0
2072,0,1,1,1,4,3,9,11,11,19,3,119,2,2,1.0,12,14,4,17,56,0,476,3,27,0
2080,4,0,2,1,4,3,11,19,3,20,4,119,4,0,0.0,4,13,5,17,65,0,952,6,66,0
2086,0,1,3,1,4,3,9,20,4,19,3,118,4,4,1.0,20,12,6,17,72,0,1416,9,81,0
2148,0,1,3,1,4,3,9,20,4,19,3,119,4,4,1.0,20,11,7,17,77,0,1428,9,81,0
2185,0,1,1,1,4,3,9,15,15,19,3,125,3,3,1.0,16,10,8,17,80,0,500,3,27,0
2193,4,0,2,1,4,3,12,19,3,20,4,125,4,0,0.0,4,9,9,17,81,0,1000,6,72,0
2214,0,1,1,1,4,3,9,9,9,19,3,129,4,4,1.0,20,8,10,17,80,0,516,3,27,0
2222,4,0,2,1,4,3,9,19,3,20,4,129,4,0,0.0,4,7,11,17,77,0,1032,6,54,0
2262,0,1,3,1,4,3,9,20,4,19,3,125,4,4,1.0,20,6,12,17,72,0,1500,9,81,0
2309,0,4,1,1,4,3,9,0,0,19,3,131,3,3,1.0,16,5,13,17,65,0,524,3,27,0
2310,0,1,3,1,4,3,9,20,4,19,3,129,4,4,1.0,24,4,14,17,56,0,1548,9,81,0
2317,4,0,2,1,4,3,10,19,3,20,4,131,4,0,0.0,4,3,15,17,45,0,1048,6,60,0
2390,0,1,3,1,4,3,9,20,4,19,3,131,4,4,1.0,24,2,16,17,32,0,1572,9,81,0
2514,1,4,1,1,4,3,9,0,0,27,11,143,5,3,0.6,16,1,17,17,17,4,572,3,27,0
3181,1,4,1,1,4,3,9,0,0,27,11,171,5,3,0.6,16,1,1,1,1,4,684,3,27,0
4049,1,4,1,1,4,3,9,0,0,23,7,206,4,3,0.75,16,2,1,2,2,4,824,3,27,0
4491,1,4,1,1,4,3,9,0,0,31,15,231,6,3,0.5,16,1,2,2,2,4,924,3,27,0
5417,1,4,1,1,4,3,9,0,0,23,7,278,4,3,0.75,16,1,1,1,1,4,1112,3,27,0
6112,1,4,1,1,4,3,9,0,0,27,11,318,5,3,0.6,16,3,1,3,3,4,1272,3,27,0
6332,1,4,1,1,4,3,9,0,0,23,7,332,4,3,0.75,16,2,2,3,4,4,1328,3,27,0
6606,1,4,1,1,4,3,9,0,0,27,11,346,5,3,0.6,16,1,3,3,3,4,1384,3,27,0
7066,0,1,1,1,4,3,9,7,7,19,3,368,1,1,1.0,8,18,1,18,18,0,1472,3,27,0
7074,4,0,2,1,4,3,11,19,3,20,4,368,4,0,0.0,4,17,2,18,34,0,2944,6,66,0
7089,0,1,1,1,4,3,9,6,6,19,3,369,2,2,1.0,12,16,3,18,48,0,1476,3,27,0
7097,4,0,2,1,4,3,12,19,3,20,4,369,4,0,0.0,4,15,4,18,60,0,2952,6,72,0
7116,0,1,1,1,4,3,9,11,11,19,3,371,2,2,1.0,12,14,5,18,70,0,1484,3,27,0
7124,4,0,2,1,4,3,9,19,3,20,4,371,4,0,0.0,4,13,6,18,78,0,2968,6,54,0
7139,0,1,1,1,4,3,9,9,9,19,3,372,4,4,1.0,20,12,7,18,84,0,1488,3,27,0
