timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
739,0,3,1,1,4,3,9,7,7,30,14,25,3,3,1.0,16,9,1,9,9,0,100,3,27,0
747,2,0,2,1,4,3,9,30,14,27,11,25,2,0,0.0,4,8,2,9,16,0,200,6,54,0
784,0,3,1,1,4,3,9,4,4,30,14,26,4,4,1.0,20,7,3,9,21,0,104,3,27,0
792,2,0,2,1,4,3,10,30,14,27,11,26,2,0,0.0,4,6,4,9,24,0,208,6,60,0
802,0,3,3,1,4,3,9,27,11,30,14,25,2,2,1.0,12,5,5,9,25,0,300,9,81,0
845,0,3,1,1,4,3,9,0,0,30,14,28,5,5,1.0,24,4,6,9,24,0,112,3,27,0
846,0,3,3,1,4,3,10,27,11,30,14,26,2,2,1.0,14,3,7,9,21,0,312,9,90,0
853,2,0,2,1,4,3,11,30,14,27,11,28,2,0,0.0,4,2,8,9,16,0,224,6,66,0
911,0,3,3,1,4,3,9,27,11,30,14,28,2,2,1.0,16,1,9,9,9,0,336,9,81,0
1163,2,4,2,1,4,3,9,28,12,27,11,36,4,2,0.5,12,15,1,15,15,8,288,6,54,0
1185,2,4,2,1,4,3,9,28,12,27,11,38,4,2,0.5,12,14,2,15,28,8,304,6,54,0
1274,2,4,2,1,4,3,9,28,12,27,11,39,4,2,0.5,12,13,3,15,39,8,312,6,54,0
1378,2,4,2,1,4,3,9,29,13,27,11,42,3,1,0.3333333333333333,8,12,4,15,48,8,336,6,54,0
1403,2,4,2,1,4,3,9,29,13,27,11,44,3,1,0.3333333333333333,8,11,5,15,55,8,352,6,54,0
1504,2,4,2,1,4,3,9,29,13,27,11,46,3,1,0.3333333333333333,8,10,6,15,60,8,368,6,54,0
1563,0,3,1,1,4,3,9,7,7,30,14,48,3,3,1.0,16,9,7,15,63,0,192,3,27,0
1571,2,0,2,1,4,3,12,30,14,27,11,48,2,0,0.0,4,8,8,15,64,0,384,6,72,0
1614,0,3,1,1,4,3,9,4,4,30,14,50,4,4,1.0,20,7,9,15,63,0,200,3,27,0
1622,2,0,2,1,4,3,9,30,14,27,11,50,2,0,0.0,4,6,10,15,60,0,400,6,54,0
1624,0,3,3,1,4,3,9,27,11,30,14,48,2,2,1.0,12,5,11,15,55,0,576,9,81,0
1674,0,3,3,1,4,3,9,27,11,30,14,50,2,2,1.0,12,4,12,15,48,0,600,9,81,0
1729,0,3,1,1,4,3,9,0,0,30,14,52,5,5,1.0,24,3,13,15,39,0,208,3,27,0
1737,2,0,2,1,4,3,10,30,14,27,11,52,2,0,0.0,4,2,14,15,28,0,416,6,60,0
1794,0,3,3,1,4,3,9,27,11,30,14,52,2,2,1.0,16,1,15,15,15,0,624,9,81,0
3032,2,4,2,1,4,3,9,28,12,27,11,86,4,2,0.5,12,10,1,10,10,8,688,6,54,0
3034,2,4,2,1,4,3,10,28,12,27,11,85,4,2,0.5,12,9,2,10,18,8,680,6,60,0
3195,2,4,2,1,4,3,9,28,12,27,11,87,4,2,0.5,12,8,3,10,24,8,696,6,54,0
3351,2,4,2,1,4,3,9,28,12,27,11,90,4,2,0.5,12,7,4,10,28,8,720,6,54,0
3396,2,4,2,1,4,3,9,28,12,27,11,91,4,2,0.5,12,6,5,10,30,8,728,6,54,0
3458,2,4,2,1,4,3,9,29,13,27,11,93,3,1,0.3333333333333333,8,5,6,10,30,8,744,6,54,0
3495,2,4,2,1,4,3,9,29,13,27,11,94,3,1,0.3333333333333333,8,4,7,10,28,8,752,6,54,0
3523,2,4,2,1,4,3,9,28,12,27,11,95,4,2,0.5,12,3,8,10,24,8,760,6,54,0
3639,2,4,2,1,4,3,9,29,13,27,11,96,3,1,0.3333333333333333,8,2,9,10,18,8,768,6,54,0
3964,2,4,2,1,4,3,9,29,13,27,11,104,3,1,0.3333333333333333,8,1,10,10,10,8,832,6,54,0
4026,2,4,2,1,4,3,9,29,13,27,11,106,3,1,0.3333333333333333,8,14,1,14,14,8,848,6,54,0
4178,2,4,2,1,4,3,9,29,13,27,11,110,3,1,0.3333333333333333,8,13,2,14,26,8,880,6,54,0
4188,2,4,2,1,4,3,9,29,13,27,11,111,3,1,0.3333333333333333,8,12,3,14,36,8,888,6,54,0
4221,2,4,2,1,4,3,9,29,13,27,11,112,3,1,0.3333333333333333,8,11,4,14,44,8,896,6,54,0
4291,2,4,2,1,4,3,9,29,13,27,11,114,3,1,0.3333333333333333,8,10,5,14,50,8,912,6,54,0
4317,2,4,2,1,4,3,9,29,13,27,11,115,3,1,0.3333333333333333,8,9,6,14,54,8,920,6,54,0
4429,2,4,2,1,4,3,9,29,13,27,11,117,3,1,0.3333333333333333,8,8,7,14,56,8,936,6,54,0
4540,2,4,2,1,4,3,9,29,13,27,11,121,3,1,0.3333333333333333,8,7,8,14,56,8,968,6,54,0
4821,0,3,1,1,4,3,9,4,4,30,14,126,4,4,1.0,20,6,9,14,54,0,504,3,27,0
4829,2,0,2,1,4,3,11,30,14,27,11,126,2,0,0.0,4,5,10,14,50,0,1008,6,66,0
4883,0,3,3,1,4,3,9,27,11,30,14,126,2,2,1.0,13,4,11,14,44,0,1512,9,81,0
4887,0,3,1,1,4,3,10,7,7,30,14,128,3,3,1.0,16,3,12,14,36,0,512,3,30,0
4895,2,0,2,1,4,3,12,30,14,27,11,128,2,0,0.0,4,2,13,14,26,0,1024,6,72,0
