timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
769,0,3,1,1,4,3,9,4,4,30,14,17,4,4,1.0,20,6,1,6,6,0,68,3,27,1
777,2,0,2,1,4,3,9,30,14,27,11,17,2,0,0.0,4,5,2,6,10,0,136,6,54,1
832,0,3,3,1,4,3,9,27,11,30,14,17,2,2,1.0,12,4,3,6,12,0,204,9,81,1
833,0,3,1,1,4,3,10,0,0,30,14,18,5,5,1.0,24,3,4,6,12,0,72,3,30,1
841,2,0,2,1,4,3,10,30,14,27,11,18,2,0,0.0,4,2,5,6,10,0,144,6,60,1
896,0,3,3,1,4,3,9,27,11,30,14,18,2,2,1.0,14,1,6,6,6,0,216,9,81,1
1175,2,4,2,1,4,3,9,28,12,27,11,25,4,2,0.5,12,10,1,10,10,8,200,6,54,1
1262,2,4,2,1,4,3,9,28,12,27,11,26,4,2,0.5,12,9,2,10,18,8,208,6,54,1
1390,2,4,2,1,4,3,9,29,13,27,11,28,3,1,0.3333333333333333,8,8,3,10,24,8,224,6,54,1
1494,2,4,2,1,4,3,9,29,13,27,11,30,3,1,0.3333333333333333,8,7,4,10,28,8,240,6,54,1
1600,0,3,1,1,4,3,9,4,4,30,14,33,4,4,1.0,20,6,5,10,30,0,132,3,27,1
1608,2,0,2,1,4,3,11,30,14,27,11,33,2,0,0.0,4,5,6,10,30,0,264,6,66,1
1660,0,3,3,1,4,3,9,27,11,30,14,33,2,2,1.0,12,4,7,10,28,0,396,9,81,1
1719,0,3,1,1,4,3,9,0,0,30,14,35,5,5,1.0,24,3,8,10,24,0,140,3,27,1
1727,2,0,2,1,4,3,12,30,14,27,11,35,2,0,0.0,4,2,9,10,18,0,280,6,72,1
1781,0,3,3,1,4,3,9,27,11,30,14,35,2,2,1.0,13,1,10,10,10,0,420,9,81,1
2994,2,4,2,1,4,3,9,28,12,27,11,57,4,2,0.5,12,1,1,1,1,8,456,6,54,1
3178,2,4,2,1,4,3,9,28,12,27,11,58,4,2,0.5,12,6,1,6,6,8,464,6,54,1
3314,2,4,2,1,4,3,9,28,12,27,11,60,4,2,0.5,12,5,2,6,10,8,480,6,54,1
3420,2,4,2,1,4,3,9,29,13,27,11,62,3,1,0.3333333333333333,8,4,3,6,12,8,496,6,54,1
3509,2,4,2,1,4,3,9,28,12,27,11,63,4,2,0.5,12,3,4,6,12,8,504,6,54,1
3625,2,4,2,1,4,3,9,29,13,27,11,64,3,1,0.3333333333333333,8,2,5,6,10,8,512,6,54,1
3928,2,4,2,1,4,3,9,29,13,27,11,69,3,1,0.3333333333333333,8,1,6,6,6,8,552,6,54,1
4155,2,4,2,1,4,3,9,29,13,27,11,73,3,1,0.3333333333333333,8,8,1,8,8,8,584,6,54,1
4164,2,4,2,1,4,3,9,29,13,27,11,74,3,1,0.3333333333333333,8,7,2,8,14,8,592,6,54,1
4258,2,4,2,1,4,3,9,29,13,27,11,75,3,1,0.3333333333333333,8,6,3,8,18,8,600,6,54,1
4405,2,4,2,1,4,3,9,29,13,27,11,78,3,1,0.3333333333333333,8,5,4,8,20,8,624,6,54,1
4517,2,4,2,1,4,3,9,29,13,27,11,80,3,1,0.3333333333333333,8,4,5,8,20,8,640,6,54,1
4781,0,3,1,1,4,3,9,4,4,30,14,84,4,4,1.0,20,3,6,8,18,0,336,3,27,1
4789,2,0,2,1,4,3,9,30,14,27,11,84,2,0,0.0,4,2,7,8,14,0,672,6,54,1
4842,0,3,3,1,4,3,9,27,11,30,14,84,2,2,1.0,12,1,8,8,8,0,1008,9,81,1
5049,0,3,1,1,4,3,9,0,0,30,14,88,5,5,1.0,24,3,1,3,3,0,352,3,27,1
5057,2,0,2,1,4,3,10,30,14,27,11,88,2,0,0.0,4,2,2,3,4,0,704,6,60,1
5112,0,3,3,1,4,3,9,27,11,30,14,88,2,2,1.0,14,1,3,3,3,0,1056,9,81,1
6231,2,4,2,1,4,3,9,28,12,27,11,112,4,2,0.5,12,2,1,2,2,8,896,6,54,1
6603,2,4,2,1,4,3,9,28,12,27,11,118,4,2,0.5,12,1,2,2,2,8,944,6,54,1
7236,2,4,2,1,4,3,9,29,13,27,11,129,3,1,0.3333333333333333,8,2,1,2,2,8,1032,6,54,1
7655,2,4,2,1,4,3,9,29,13,27,11,136,3,1,0.3333333333333333,8,1,2,2,2,8,1088,6,54,1
8302,0,3,1,1,4,3,9,4,4,30,14,149,4,4,1.0,20,6,1,6,6,0,596,3,27,1
8310,2,0,2,1,4,3,11,30,14,27,11,149,2,0,0.0,4,5,2,6,10,0,1192,6,66,1
8362,0,3,3,1,4,3,9,27,11,30,14,149,2,2,1.0,12,4,3,6,12,0,1788,9,81,1
8779,0,3,1,1,4,3,9,0,0,30,14,158,5,5,1.0,24,3,4,6,12,0,632,3,27,1
8787,2,0,2,1,4,3,12,30,14,27,11,158,2,0,0.0,4,2,5,6,10,0,1264,6,72,1
8844,0,3,3,1,4,3,9,27,11,30,14,158,2,2,1.0,16,1,6,6,6,0,1896,9,81,1
11083,2,4,2,1,4,3,9,28,12,27,11,206,4,2,0.5,12,16,1,16,16,8,1648,6,54,1
11549,0,3,5,1,1,3,9,4,4,30,14,217,4,4,1.0,20,15,2,16,30,0,1085,15,135,1
11556,0,3,5,2,2,3,9,4,4,30,14,217,4,4,1.0,27,14,3,16,42,0,4340,15,135,1
11563,0,3,5,3,2,3,9,4,4,30,14,217,4,4,1.0,34,13,4,16,52,0,6510,15,135,1
11570,0,3,5,4,2,3,9,4,4,30,14,217,4,4,1.0,41,12,5,16,60,0,8680,15,135,1
11577,0,3,5,5,3,3,9,4,4,30,14,217,4,4,1.0,48,11,6,16,66,0,16275,15,135,1
11578,0,3,1,1,4,3,10,4,4,30,14,219,4,4,1.0,48,10,7,16,70,0,876,3,30,1
