timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time
7,2,0,1,1,4,3,9,12,12,23,7,2,5,0,0.0,4
122,0,3,4,1,1,5,17,23,7,12,12,2,5,5,1.0,24
123,0,3,4,2,2,5,17,23,7,12,12,2,5,5,1.0,25
124,0,3,4,3,2,5,17,23,7,12,12,2,5,5,1.0,26
125,0,3,4,4,2,5,17,23,7,12,12,2,5,5,1.0,27
129,0,3,4,5,3,5,17,23,7,12,12,2,5,5,1.0,31
144,3,0,1,1,4,3,10,12,12,24,8,5,1,0,0.0,4
188,0,3,4,1,1,5,17,24,8,12,12,5,1,1,1.0,8
189,0,3,4,2,2,5,17,24,8,12,12,5,1,1,1.0,9
190,0,3,4,3,2,5,17,24,8,12,12,5,1,1,1.0,10
191,0,3,4,4,2,5,17,24,8,12,12,5,1,1,1.0,11
195,0,3,4,5,3,5,17,24,8,12,12,5,1,1,1.0,15
236,2,0,1,1,4,3,11,12,12,22,6,8,4,0,0.0,4
321,0,3,4,1,1,5,17,23,7,12,12,8,5,5,1.0,25
322,0,3,4,2,2,5,17,23,7,12,12,8,5,5,1.0,26
323,0,3,4,3,2,5,17,23,7,12,12,8,5,5,1.0,27
324,0,3,4,4,2,5,17,23,7,12,12,8,5,5,1.0,28
328,0,3,4,5,3,5,17,23,7,12,12,8,5,5,1.0,32
363,2,0,1,1,4,3,12,12,12,23,7,11,5,0,0.0,4
440,0,3,4,1,1,5,17,23,7,12,12,11,5,5,1.0,24
441,0,3,4,2,2,5,17,23,7,12,12,11,5,5,1.0,25
442,0,3,4,3,2,5,17,23,7,12,12,11,5,5,1.0,26
443,0,3,4,4,2,5,17,23,7,12,12,11,5,5,1.0,27
447,0,3,4,5,3,5,17,23,7,12,12,11,5,5,1.0,31
470,2,0,1,1,4,3,9,12,12,21,5,14,3,0,0.0,4
558,0,3,4,1,1,5,17,23,7,12,12,14,5,5,1.0,24
559,0,3,4,2,2,5,17,23,7,12,12,14,5,5,1.0,25
560,0,3,4,3,2,5,17,23,7,12,12,14,5,5,1.0,26
561,0,3,4,4,2,5,17,23,7,12,12,14,5,5,1.0,27
565,0,3,4,5,3,5,17,23,7,12,12,14,5,5,1.0,31
590,2,0,1,1,4,3,10,12,12,17,1,18,5,0,0.0,4
667,0,3,4,1,1,5,17,20,4,12,12,18,2,2,1.0,13
668,0,3,4,2,2,5,17,20,4,12,12,18,2,2,1.0,14
