timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
1129,0,3,1,1,4,3,9,6,6,28,12,36,4,4,1.0,20,9,1,9,9,0,144,3,27,0
1137,2,0,2,1,4,3,9,28,12,27,11,36,4,0,0.0,4,8,2,9,16,0,288,6,54,0
1202,0,3,1,1,4,3,9,1,1,28,12,38,5,5,1.0,20,7,3,9,21,0,152,3,27,0
1206,0,3,3,1,4,3,10,27,11,28,12,36,4,4,1.0,20,6,4,9,24,0,432,9,90,0
1210,2,0,2,1,4,3,10,28,12,27,11,38,4,0,0.0,4,5,5,9,25,0,304,6,60,0
1262,0,3,1,1,4,3,9,0,0,28,12,40,3,3,1.0,16,4,6,9,24,0,160,3,27,0
1270,2,0,2,1,4,3,11,28,12,27,11,40,4,0,0.0,4,3,7,9,21,0,320,6,66,0
1278,0,3,3,1,4,3,9,27,11,28,12,38,4,4,1.0,20,2,8,9,16,0,456,9,81,0
1341,0,3,3,1,4,3,9,27,11,28,12,40,4,4,1.0,23,1,9,9,9,0,480,9,81,0
2960,0,3,1,1,4,3,9,6,6,28,12,84,4,4,1.0,20,2,1,2,2,0,336,3,27,0
2968,2,0,2,1,4,3,12,28,12,27,11,84,4,0,0.0,4,1,2,2,2,0,672,6,72,0
3036,0,3,3,1,4,3,9,27,11,28,12,84,4,4,1.0,20,16,1,16,16,0,1008,9,81,0
3119,0,3,1,1,4,3,9,1,1,28,12,86,5,5,1.0,20,15,2,16,30,0,344,3,27,0
3127,2,0,2,1,4,3,9,28,12,27,11,86,4,0,0.0,4,14,3,16,42,0,688,6,54,0
3184,0,3,1,1,4,3,9,0,0,28,12,88,3,3,1.0,16,13,4,16,52,0,352,3,27,0
3192,2,0,2,1,4,3,10,28,12,27,11,88,4,0,0.0,4,12,5,16,60,0,704,6,60,0
3196,0,3,3,1,4,3,9,27,11,28,12,86,4,4,1.0,20,11,6,16,66,0,1032,9,81,0
3263,0,3,3,1,4,3,9,27,11,28,12,88,4,4,1.0,23,10,7,16,70,0,1056,9,81,0
3280,0,3,1,1,4,3,9,6,6,28,12,89,4,4,1.0,20,9,8,16,72,0,356,3,27,0
3288,2,0,2,1,4,3,11,28,12,27,11,89,4,0,0.0,4,8,9,16,72,0,712,6,66,0
3360,0,3,3,1,4,3,9,27,11,28,12,89,4,4,1.0,24,7,10,16,70,0,1068,9,81,0
3449,0,3,1,1,4,3,9,1,1,28,12,93,5,5,1.0,20,6,11,16,66,0,372,3,27,0
3457,2,0,2,1,4,3,12,28,12,27,11,93,4,0,0.0,4,5,12,16,60,0,744,6,72,0
3511,0,3,1,1,4,3,9,0,0,28,12,94,3,3,1.0,16,4,13,16,52,0,376,3,27,0
3519,2,0,2,1,4,3,9,28,12,27,11,94,4,0,0.0,4,3,14,16,42,0,752,6,54,0
3529,0,3,3,1,4,3,9,27,11,28,12,93,4,4,1.0,23,2,15,16,30,0,1116,9,81,0
3588,0,3,3,1,4,3,9,27,11,28,12,94,4,4,1.0,20,1,16,16,16,0,1128,9,81,0
6188,0,3,1,1,4,3,9,6,6,28,12,165,4,4,1.0,20,9,1,9,9,0,660,3,27,0
6196,2,0,2,1,4,3,10,28,12,27,11,165,4,0,0.0,4,8,2,9,16,0,1320,6,60,0
6264,0,3,3,1,4,3,9,27,11,28,12,165,4,4,1.0,20,7,3,9,21,0,1980,9,81,0
6546,0,3,1,1,4,3,9,1,1,28,12,175,5,5,1.0,20,6,4,9,24,0,700,3,27,0
6554,2,0,2,1,4,3,11,28,12,27,11,175,4,0,0.0,4,5,5,9,25,0,1400,6,66,0
