timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
100,0,1,1,1,4,3,9,15,15,24,8,3,4,4,1.0,20,25,1,25,25,0,12,3,27,1
122,0,3,1,1,4,3,9,0,0,24,8,4,2,2,1.0,12,24,2,25,48,0,16,3,27,1
138,2,0,4,1,1,5,17,24,8,15,15,3,4,0,0.0,4,23,3,25,69,0,12,20,340,1
139,2,0,4,2,2,5,17,24,8,15,15,3,4,0,0.0,5,22,4,25,88,0,48,20,340,1
140,2,0,4,3,2,5,17,24,8,15,15,3,4,0,0.0,6,21,5,25,105,0,72,20,340,1
141,2,0,4,4,2,5,17,24,8,15,15,3,4,0,0.0,7,20,6,25,120,0,96,20,340,1
145,2,0,4,5,3,5,17,24,8,15,15,3,4,0,0.0,11,19,7,25,133,0,180,20,340,1
160,3,0,4,1,1,5,18,24,8,0,0,4,2,0,0.0,4,18,8,25,144,0,16,20,360,1
161,3,0,4,2,2,5,18,24,8,0,0,4,2,0,0.0,5,17,9,25,153,0,64,20,360,1
162,3,0,4,3,2,5,18,24,8,0,0,4,2,0,0.0,6,16,10,25,160,0,96,20,360,1
163,3,0,4,4,2,5,18,24,8,0,0,4,2,0,0.0,7,15,11,25,165,0,128,20,360,1
167,3,0,4,5,3,5,18,24,8,0,0,4,2,0,0.0,11,14,12,25,168,0,240,20,360,1
918,3,2,4,1,1,5,17,27,11,0,0,18,5,3,0.6,16,13,13,25,169,6,72,20,340,1
919,3,2,4,2,2,5,17,27,11,0,0,18,5,3,0.6,17,12,14,25,168,6,288,20,340,1
920,3,2,4,3,2,5,17,27,11,0,0,18,5,3,0.6,18,11,15,25,165,6,432,20,340,1
922,3,2,4,4,2,5,17,27,11,0,0,18,5,3,0.6,20,10,16,25,160,6,576,20,340,1
925,3,2,4,5,3,5,17,27,11,0,0,18,5,3,0.6,23,9,17,25,153,6,1080,20,340,1
935,0,2,2,1,4,3,9,27,11,24,8,19,3,3,1.0,16,8,18,25,144,0,152,6,54,1
972,2,0,3,1,4,3,9,24,8,27,11,19,3,0,0.0,4,7,19,25,133,0,228,9,81,1
973,2,0,4,1,1,5,19,24,8,15,15,19,4,0,0.0,5,6,20,25,120,0,76,20,380,1
974,2,0,4,2,2,5,19,24,8,15,15,19,4,0,0.0,6,5,21,25,105,0,304,20,380,1
975,2,0,4,3,2,5,19,24,8,15,15,19,4,0,0.0,7,4,22,25,88,0,456,20,380,1
976,2,0,4,4,2,5,19,24,8,15,15,19,4,0,0.0,8,3,23,25,69,0,608,20,380,1
980,2,0,4,5,3,5,19,24,8,15,15,19,4,0,0.0,12,2,24,25,48,0,1140,20,380,1
988,0,2,2,1,4,3,9,27,11,24,8,20,3,3,1.0,16,1,25,25,25,0,160,6,54,1
1024,3,0,4,1,1,5,20,24,8,0,0,20,2,0,0.0,4,54,1,54,54,0,80,20,400,1
1025,2,0,3,1,4,3,10,24,8,27,11,20,3,0,0.0,5,53,2,54,106,0,240,9,90,1
1026,3,0,4,2,2,5,20,24,8,0,0,20,2,0,0.0,6,52,3,54,156,0,320,20,400,1
1027,3,0,4,3,2,5,20,24,8,0,0,20,2,0,0.0,7,51,4,54,204,0,480,20,400,1
1028,3,0,4,4,2,5,20,24,8,0,0,20,2,0,0.0,8,50,5,54,250,0,640,20,400,1
1031,3,0,4,5,3,5,20,24,8,0,0,20,2,0,0.0,11,49,6,54,294,0,1200,20,400,1
1039,0,2,2,1,4,3,9,25,9,24,8,21,1,1,1.0,8,48,7,54,336,0,168,6,54,1
1076,2,0,4,1,1,5,17,24,8,15,15,21,4,0,0.0,4,47,8,54,376,0,84,20,340,1
1077,2,0,4,2,2,5,17,24,8,15,15,21,4,0,0.0,5,46,9,54,414,0,336,20,340,1
1078,2,0,4,3,2,5,17,24,8,15,15,21,4,0,0.0,6,45,10,54,450,0,504,20,340,1
1079,2,0,4,4,2,5,17,24,8,15,15,21,4,0,0.0,7,44,11,54,484,0,672,20,340,1
1080,2,0,3,1,4,3,11,24,8,25,9,21,1,0,0.0,8,43,12,54,516,0,252,9,99,1
1082,0,2,2,1,4,3,9,25,9,24,8,22,1,1,1.0,8,42,13,54,546,0,176,6,54,1
1083,2,0,4,5,3,5,17,24,8,15,15,21,4,0,0.0,11,41,14,54,574,0,1260,20,340,1
1118,2,0,3,1,4,3,12,24,8,25,9,22,1,0,0.0,4,40,15,54,600,0,264,9,108,1
1119,3,0,4,1,1,5,18,24,8,0,0,22,2,0,0.0,5,39,16,54,624,0,88,20,360,1
1120,3,0,4,2,2,5,18,24,8,0,0,22,2,0,0.0,6,38,17,54,646,0,352,20,360,1
1121,3,0,4,3,2,5,18,24,8,0,0,22,2,0,0.0,7,37,18,54,666,0,528,20,360,1
1122,3,0,4,4,2,5,18,24,8,0,0,22,2,0,0.0,8,36,19,54,684,0,704,20,360,1
1126,3,0,4,5,3,5,18,24,8,0,0,22,2,0,0.0,12,35,20,54,700,0,1320,20,360,1
1132,3,1,1,1,4,3,9,15,15,20,4,23,5,4,0.8,20,34,21,54,714,3,92,3,27,1
1262,1,3,1,1,4,3,9,0,0,28,12,26,3,2,0.6666666666666666,12,33,22,54,726,3,104,3,27,1
1312,1,2,3,1,4,3,9,27,11,28,12,25,4,3,0.75,18,32,23,54,736,2,300,9,81,1
1338,1,2,3,1,4,3,9,27,11,28,12,26,4,3,0.75,16,31,24,54,744,2,312,9,81,1
1339,3,2,4,1,1,5,17,27,11,0,0,26,5,3,0.6,17,30,25,54,750,6,104,20,340,1
1340,3,2,4,2,2,5,17,27,11,0,0,26,5,3,0.6,18,29,26,54,754,6,416,20,340,1
1341,3,2,4,3,2,5,17,27,11,0,0,26,5,3,0.6,19,28,27,54,756,6,624,20,340,1
1342,3,2,4,4,2,5,17,27,11,0,0,26,5,3,0.6,20,27,28,54,756,6,832,20,340,1
1346,3,2,4,5,3,5,17,27,11,0,0,26,5,3,0.6,24,26,29,54,754,6,1560,20,340,1
1366,0,2,2,1,4,3,9,26,10,24,8,27,2,2,1.0,12,25,30,54,750,0,216,6,54,1
1402,2,0,4,1,1,5,19,24,8,15,15,27,4,0,0.0,4,24,31,54,744,0,108,20,380,1
1403,2,0,3,1,4,3,9,24,8,26,10,27,2,0,0.0,5,23,32,54,736,0,324,9,81,1
1404,2,0,4,2,2,5,19,24,8,15,15,27,4,0,0.0,6,22,33,54,726,0,432,20,380,1
