timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
146,2,4,4,1,1,5,17,24,8,15,15,4,4,2,0.5,12,29,1,29,29,8,16,20,340,0
147,2,4,4,2,2,5,17,24,8,15,15,4,4,2,0.5,13,28,2,29,56,8,64,20,340,0
148,2,4,4,3,2,5,17,24,8,15,15,4,4,2,0.5,14,27,3,29,81,8,96,20,340,0
149,2,4,4,4,2,5,17,24,8,15,15,4,4,2,0.5,15,26,4,29,104,8,128,20,340,0
153,2,4,4,5,3,5,17,24,8,15,15,4,4,2,0.5,19,25,5,29,125,8,240,20,340,0
210,3,1,1,1,4,3,9,15,15,22,6,7,3,2,0.6666666666666666,12,24,6,29,144,3,28,3,27,0
846,1,3,1,1,4,3,9,1,1,30,14,26,4,3,0.75,16,23,7,29,161,3,104,3,27,0
869,1,3,1,1,4,3,9,0,0,30,14,27,5,4,0.8,20,22,8,29,176,3,108,3,27,0
888,1,2,3,1,4,3,9,27,11,30,14,25,2,1,0.5,8,21,9,29,189,2,300,9,81,0
910,4,2,4,1,1,5,17,27,11,1,1,26,4,1,0.25,8,20,10,29,200,8,104,20,340,0
911,4,2,4,2,2,5,17,27,11,1,1,26,4,1,0.25,9,19,11,29,209,8,416,20,340,0
912,1,2,3,1,4,3,9,27,11,30,14,26,2,1,0.5,10,18,12,29,216,2,312,9,81,0
913,4,2,4,3,2,5,17,27,11,1,1,26,4,1,0.25,11,17,13,29,221,8,624,20,340,0
914,4,2,4,4,2,5,17,27,11,1,1,26,4,1,0.25,12,16,14,29,224,8,832,20,340,0
917,4,2,4,5,3,5,17,27,11,1,1,26,4,1,0.25,15,15,15,29,225,8,1560,20,340,0
927,4,2,2,1,4,3,9,27,11,24,8,28,3,1,0.3333333333333333,8,14,16,29,224,8,224,6,54,0
932,1,2,3,1,4,3,10,27,11,30,14,27,2,1,0.5,8,13,17,29,221,2,324,9,90,0
933,4,2,4,1,1,5,17,27,11,0,0,27,5,1,0.2,9,12,18,29,216,8,108,20,340,0
934,4,2,4,2,2,5,17,27,11,0,0,27,5,1,0.2,10,11,19,29,209,8,432,20,340,0
