timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,port_index,traversal_index,cache_coherence_vnet_index,vnet_vc_cc_index,target
1171,2,4,2,1,4,3,9,28,12,27,11,25,4,1,0.25,8,8,1,8,8,8,200,6,54,1
1258,2,4,2,1,4,3,9,28,12,27,11,26,4,1,0.25,8,7,2,8,14,8,208,6,54,1
1378,0,3,1,1,4,3,9,4,4,29,13,28,3,3,1.0,16,6,3,8,18,0,112,3,27,1
1386,2,0,2,1,4,3,9,29,13,27,11,28,3,0,0.0,4,5,4,8,20,0,224,6,54,1
1446,0,3,3,1,4,3,9,27,11,29,13,28,3,3,1.0,16,4,5,8,20,0,336,9,81,1
1482,0,3,1,1,4,3,9,0,0,29,13,30,4,4,1.0,20,3,6,8,18,0,120,3,27,1
1490,2,0,2,1,4,3,10,29,13,27,11,30,3,0,0.0,4,2,7,8,14,0,240,6,60,1
1554,0,3,3,1,4,3,9,27,11,29,13,30,3,3,1.0,20,1,8,8,8,0,360,9,81,1
2990,2,4,2,1,4,3,9,28,12,27,11,57,4,1,0.25,8,1,1,1,1,8,456,6,54,1
3174,2,4,2,1,4,3,9,28,12,27,11,58,4,1,0.25,8,12,1,12,12,8,464,6,54,1
3310,2,4,2,1,4,3,9,28,12,27,11,60,4,1,0.25,8,11,2,12,22,8,480,6,54,1
3408,0,3,1,1,4,3,9,4,4,29,13,62,3,3,1.0,16,10,3,12,30,0,248,3,27,1
3416,2,0,2,1,4,3,11,29,13,27,11,62,3,0,0.0,4,9,4,12,36,0,496,6,66,1
3476,0,3,3,1,4,3,9,27,11,29,13,62,3,3,1.0,16,8,5,12,40,0,744,9,81,1
3505,2,4,2,1,4,3,9,28,12,27,11,63,4,1,0.25,8,7,6,12,42,8,504,6,54,1
3613,0,3,1,1,4,3,9,0,0,29,13,64,4,4,1.0,20,6,7,12,42,0,256,3,27,1
3621,2,0,2,1,4,3,12,29,13,27,11,64,3,0,0.0,4,5,8,12,40,0,512,6,72,1
3686,0,3,3,1,4,3,9,27,11,29,13,64,3,3,1.0,20,4,9,12,36,0,768,9,81,1
3916,0,3,1,1,4,3,9,4,4,29,13,69,3,3,1.0,16,3,10,12,30,0,276,3,27,1
3924,2,0,2,1,4,3,9,29,13,27,11,69,3,0,0.0,4,2,11,12,22,0,552,6,54,1
3984,0,3,3,1,4,3,9,27,11,29,13,69,3,3,1.0,16,1,12,12,12,0,828,9,81,1
4143,0,3,1,1,4,3,9,4,4,29,13,73,3,3,1.0,16,15,1,15,15,0,292,3,27,1
4151,2,0,2,1,4,3,10,29,13,27,11,73,3,0,0.0,4,14,2,15,28,0,584,6,60,1
4152,0,3,1,1,4,3,9,0,0,29,13,74,4,4,1.0,20,13,3,15,39,0,296,3,27,1
4160,2,0,2,1,4,3,11,29,13,27,11,74,3,0,0.0,4,12,4,15,48,0,592,6,66,1
4216,0,3,3,1,4,3,9,27,11,29,13,73,3,3,1.0,20,11,5,15,55,0,876,9,81,1
4220,0,3,3,1,4,3,10,27,11,29,13,74,3,3,1.0,16,10,6,15,60,0,888,9,90,1
4246,0,3,1,1,4,3,9,4,4,29,13,75,3,3,1.0,16,9,7,15,63,0,300,3,27,1
4254,2,0,2,1,4,3,12,29,13,27,11,75,3,0,0.0,4,8,8,15,64,0,600,6,72,1
4318,0,3,3,1,4,3,9,27,11,29,13,75,3,3,1.0,20,7,9,15,63,0,900,9,81,1
4393,0,3,1,1,4,3,9,0,0,29,13,78,4,4,1.0,20,6,10,15,60,0,312,3,27,1
4401,2,0,2,1,4,3,9,29,13,27,11,78,3,0,0.0,4,5,11,15,55,0,624,6,54,1
4462,0,3,3,1,4,3,9,27,11,29,13,78,3,3,1.0,16,4,12,15,48,0,936,9,81,1
4505,0,3,1,1,4,3,9,0,0,29,13,80,4,4,1.0,20,3,13,15,39,0,320,3,27,1
4513,2,0,2,1,4,3,10,29,13,27,11,80,3,0,0.0,4,2,14,15,28,0,640,6,60,1
4578,0,3,3,1,4,3,9,27,11,29,13,80,3,3,1.0,20,1,15,15,15,0,960,9,81,1
6227,2,4,2,1,4,3,9,28,12,27,11,112,4,1,0.25,8,2,1,2,2,8,896,6,54,1
6599,2,4,2,1,4,3,9,28,12,27,11,118,4,1,0.25,8,1,2,2,2,8,944,6,54,1
7224,0,3,1,1,4,3,9,4,4,29,13,129,3,3,1.0,16,6,1,6,6,0,516,3,27,1
7232,2,0,2,1,4,3,11,29,13,27,11,129,3,0,0.0,4,5,2,6,10,0,1032,6,66,1
7296,0,3,3,1,4,3,9,27,11,29,13,129,3,3,1.0,20,4,3,6,12,0,1548,9,81,1
7643,0,3,1,1,4,3,9,0,0,29,13,136,4,4,1.0,20,3,4,6,12,0,544,3,27,1
7651,2,0,2,1,4,3,12,29,13,27,11,136,3,0,0.0,4,2,5,6,10,0,1088,6,72,1
7712,0,3,3,1,4,3,9,27,11,29,13,136,3,3,1.0,16,1,6,6,6,0,1632,9,81,1
11079,2,4,2,1,4,3,9,28,12,27,11,206,4,1,0.25,8,3,1,3,3,8,1648,6,54,1
11620,4,2,7,1,4,3,9,30,14,4,4,217,4,1,0.25,8,2,2,3,4,8,6076,21,189,1
