time_intervals,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,target
100,6,1,1,1,5,5,5,6,0,0,0,0,0,0,0,0,1
200,6,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,1
300,6,1,1,0,5,5,6,0,0,0,0,0,0,0,0,0,1
400,6,1,1,1,5,5,5,6,0,0,0,0,0,0,0,0,1
500,7,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1
600,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
700,11,6,0,0,5,5,5,5,0,0,0,0,0,0,0,0,1
800,1,1,1,0,0,0,1,0,2,0,1,0,4,5,6,0,1
900,6,1,1,1,5,0,0,1,5,4,5,6,1,0,0,0,1
1000,10,1,0,0,10,1,0,0,8,7,0,0,0,0,0,0,1
1100,8,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1
1200,6,1,1,0,5,0,0,0,5,0,0,0,6,0,0,0,1
1300,6,1,0,0,5,1,1,0,5,6,6,0,0,1,0,0,1
1400,6,1,0,0,5,1,0,0,5,0,0,0,5,5,0,0,1
1500,6,1,1,0,5,5,1,0,0,0,1,0,0,0,1,0,1
1600,6,0,0,0,6,0,0,0,5,0,0,0,5,5,5,0,1
1700,11,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
1800,6,1,1,0,5,5,6,0,0,0,0,0,0,0,0,0,1
1900,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2100,5,0,0,0,5,0,0,1,5,5,5,6,0,0,0,0,1
2200,7,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2300,6,1,1,0,5,0,1,0,5,5,6,0,0,0,0,0,1
2400,6,0,0,0,5,0,0,0,5,5,5,0,0,0,0,0,1
2500,5,1,0,0,5,1,0,0,5,6,0,0,0,0,0,0,1
2600,1,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,1
2700,5,0,0,0,5,0,0,0,5,5,5,3,0,0,0,0,1
2800,1,0,0,0,5,0,0,0,6,0,0,0,6,0,0,0,1
2900,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3000,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3100,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,1
3200,6,1,0,0,5,1,0,0,5,1,0,0,5,6,0,0,1
3300,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3400,5,0,0,1,5,5,5,6,0,0,0,0,0,0,0,0,1
3500,6,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,1
3600,6,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,1
3700,6,1,0,0,5,1,0,0,5,1,0,0,5,6,0,0,1
3800,6,1,1,1,5,0,0,1,5,0,0,1,5,5,5,6,1
3900,5,1,0,0,5,1,0,0,5,1,0,0,5,6,0,0,1
4000,7,1,0,0,5,1,0,0,5,1,0,0,5,6,0,0,1
4100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4200,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4300,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4400,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
4500,6,1,1,0,5,0,0,0,5,0,0,0,5,5,5,0,1
4600,6,1,0,1,5,6,5,6,0,1,0,0,0,0,0,0,1
4700,6,1,1,0,5,0,1,0,5,5,0,0,0,0,0,0,1
4800,6,1,0,0,5,6,5,0,0,3,0,0,0,0,0,0,1
4900,11,0,0,0,11,0,0,0,11,3,0,0,0,0,0,0,1
5000,6,1,0,0,5,1,0,0,5,6,0,0,0,0,0,0,1
5100,6,1,1,0,5,0,1,0,5,5,6,0,0,0,0,0,1
5200,3,1,1,1,4,0,0,1,5,5,5,6,0,0,0,0,1
5300,9,1,1,0,6,0,1,0,5,5,6,0,0,0,0,0,1
5400,5,1,1,1,5,5,5,6,0,0,0,0,0,0,0,0,1
5500,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5600,7,1,1,1,6,0,0,0,6,0,0,0,0,0,0,0,1
5700,6,0,0,0,6,0,0,1,5,5,5,6,0,0,0,0,1
5800,6,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,1
5900,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,1
6000,7,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,1
6100,5,1,0,0,5,1,0,0,5,6,0,0,0,0,0,0,1
6200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6300,6,1,0,0,5,1,0,0,5,6,0,0,0,0,0,0,1
6400,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
6500,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
6600,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6700,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
6800,6,0,0,0,5,0,0,0,5,0,0,0,5,5,0,0,1
6900,6,1,1,0,0,0,1,0,0,4,6,0,0,0,0,0,1
7000,11,6,0,0,5,0,0,0,5,1,0,0,0,0,0,0,1
7100,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7200,1,1,1,1,4,5,5,6,0,0,0,0,0,0,0,0,1
7300,11,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,1
7400,1,1,1,1,0,0,0,1,0,0,0,5,0,0,0,0,1
7500,11,0,0,0,11,0,0,0,11,5,5,1,0,0,0,0,1
7600,6,6,0,0,1,6,0,0,1,7,0,0,0,0,0,0,1
7700,7,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,1
7800,6,1,1,0,5,0,1,0,5,0,1,0,5,5,6,0,1
7900,5,1,1,1,5,0,0,1,5,0,0,1,5,5,5,6,1
8000,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8100,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
