time_intervals,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,pkt_get,pkt_data,pkt_put,pkt_ack,inport_local,inport_north,inport_south,inport_east,inport_west,outport_local,outport_north,outport_south,outport_east,outport_west,target,tot_packets,tot_mean
1000,65,20,6,4,46,27,22,19,21,11,6,6,5,5,6,0,45,224,0,0,66,69,100,14,20,65,14,20,70,100,1,269,17.933333333333334
1000,66,86,22,12,47,70,29,26,27,43,8,7,5,32,23,6,85,424,0,0,132,164,146,33,34,131,33,34,165,146,0,503,33.53333333333333
2000,77,91,15,10,51,61,10,4,28,46,24,13,22,26,17,6,89,412,0,0,139,172,109,37,44,134,38,44,176,109,0,495,33.0
2000,68,24,10,7,43,12,8,0,21,6,7,0,16,11,6,0,43,196,0,0,67,76,65,15,16,67,16,16,75,65,1,239,15.933333333333334
3000,47,10,9,1,31,1,2,2,31,26,22,12,6,0,0,0,30,170,0,0,47,65,65,13,10,48,12,10,65,65,1,200,13.333333333333334
3000,53,69,14,4,31,35,4,4,31,58,34,20,6,21,16,12,63,349,0,0,101,154,106,28,23,107,27,23,149,106,0,400,26.666666666666668
4000,54,6,2,2,48,9,5,7,43,4,0,1,31,29,5,6,42,210,0,0,54,115,50,23,10,54,23,10,115,50,1,246,16.4
4000,62,55,9,2,50,43,6,7,45,32,1,1,37,51,11,6,73,345,0,0,103,190,63,40,22,103,40,22,190,63,0,412,27.466666666666665
5000,60,12,3,1,36,13,12,6,26,18,1,0,5,5,6,0,34,170,0,0,60,65,55,13,11,60,13,11,65,55,1,204,13.6
5000,69,66,7,3,49,54,29,18,32,36,2,0,11,20,12,0,67,341,0,0,119,132,88,27,42,114,27,42,136,89,0,408,27.2
6000,69,80,19,10,56,42,8,9,44,44,23,13,6,17,11,6,76,381,0,0,124,163,104,30,36,128,31,36,159,103,0,451,30.066666666666666
6000,61,11,5,3,49,5,7,8,38,20,22,12,6,0,0,0,42,205,0,0,61,85,70,17,14,60,17,15,85,70,1,247,16.466666666666665
7000,66,77,12,8,32,51,14,7,20,45,13,1,5,22,11,6,63,327,0,0,122,134,82,27,25,122,26,25,135,82,0,384,25.6
7000,59,16,7,6,26,3,1,0,20,18,6,0,5,6,0,0,28,145,0,0,59,50,45,10,9,60,10,8,50,45,1,173,11.533333333333333
