timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
172,3,2,3,1,4,3,9,29,13,24,8,2,2,1,0.5,8,6,1,6,6,36,6,3,12,24,9,27,27,0
194,3,2,4,1,1,5,17,29,13,0,0,3,4,1,0.25,8,5,2,6,10,60,6,4,4,12,20,85,100,0
195,3,2,4,2,2,5,17,29,13,0,0,3,4,1,0.25,9,4,3,6,12,72,6,8,16,48,20,85,100,0
196,3,2,4,3,2,5,17,29,13,0,0,3,4,1,0.25,10,3,4,6,12,72,6,12,24,72,20,85,100,0
197,3,2,3,1,4,3,9,29,13,24,8,3,2,1,0.5,11,2,5,6,10,60,6,3,12,36,9,27,27,0
198,3,2,4,4,2,5,17,29,13,0,0,3,4,1,0.25,12,1,6,6,6,36,6,16,32,96,20,85,100,0
201,3,2,4,5,3,5,17,29,13,0,0,3,4,1,0.25,15,1,1,1,1,1,6,20,60,180,20,85,100,0
884,3,2,4,1,1,5,17,30,14,0,0,17,5,2,0.4,12,1,1,1,1,1,6,4,4,68,20,85,100,0
885,3,2,4,2,2,5,17,30,14,0,0,17,5,2,0.4,13,1,1,1,1,1,6,8,16,272,20,85,100,0
886,3,2,4,3,2,5,17,30,14,0,0,17,5,2,0.4,14,1,1,1,1,1,6,12,24,408,20,85,100,0
887,3,2,4,4,2,5,17,30,14,0,0,17,5,2,0.4,15,1,1,1,1,1,6,16,32,544,20,85,100,0
891,3,2,4,5,3,5,17,30,14,0,0,17,5,2,0.4,19,1,1,1,1,1,6,20,60,1020,20,85,100,0
999,3,2,4,1,1,5,17,29,13,0,0,19,4,1,0.25,9,1,1,1,1,1,6,4,4,76,20,85,100,0
1000,3,2,4,2,2,5,17,29,13,0,0,19,4,1,0.25,10,1,1,1,1,1,6,8,16,304,20,85,100,0
1001,3,2,4,3,2,5,17,29,13,0,0,19,4,1,0.25,11,3,1,3,3,9,6,12,24,456,20,85,100,0
1002,3,2,4,4,2,5,17,29,13,0,0,19,4,1,0.25,12,2,2,3,4,12,6,16,32,608,20,85,100,0
1006,3,2,4,5,3,5,17,29,13,0,0,19,4,1,0.25,16,1,3,3,3,9,6,20,60,1140,20,85,100,0
1103,3,2,4,1,1,5,17,29,13,0,0,21,4,1,0.25,9,7,1,7,7,49,6,4,4,84,20,85,100,0
1104,3,2,4,2,2,5,17,29,13,0,0,21,4,1,0.25,10,6,2,7,12,84,6,8,16,336,20,85,100,0
1105,3,2,4,3,2,5,17,29,13,0,0,21,4,1,0.25,11,5,3,7,15,105,6,12,24,504,20,85,100,0
1106,3,2,4,4,2,5,17,29,13,0,0,21,4,1,0.25,12,4,4,7,16,112,6,16,32,672,20,85,100,0
1110,3,2,4,5,3,5,17,29,13,0,0,21,4,1,0.25,16,3,5,7,15,105,6,20,60,1260,20,85,100,0
1156,0,3,1,1,4,3,9,1,1,28,12,24,5,5,1.0,20,2,6,7,12,84,0,1,4,96,3,27,9,0
1164,2,0,2,1,4,3,9,28,12,30,14,24,2,0,0.0,4,1,7,7,7,49,0,2,8,192,6,27,18,0
1216,0,2,3,1,4,3,9,30,14,28,12,24,2,2,1.0,12,3,1,3,3,9,0,3,12,288,9,27,27,0
1245,0,3,1,1,4,3,9,0,0,28,12,25,3,3,1.0,16,2,2,3,4,12,0,1,4,100,3,27,9,0
1253,2,0,2,1,4,3,10,28,12,30,14,25,2,0,0.0,4,1,3,3,3,9,0,2,8,200,6,30,18,0
1306,3,2,4,1,1,5,17,30,14,0,0,25,5,2,0.4,12,6,1,6,6,36,6,4,4,100,20,85,100,0
1307,0,2,3,1,4,3,9,30,14,28,12,25,2,2,1.0,13,5,2,6,10,60,0,3,12,300,9,27,27,0
1308,3,2,4,2,2,5,17,30,14,0,0,25,5,2,0.4,14,4,3,6,12,72,6,8,16,400,20,85,100,0
1309,3,2,4,3,2,5,17,30,14,0,0,25,5,2,0.4,15,3,4,6,12,72,6,12,24,600,20,85,100,0
1310,3,2,4,4,2,5,17,30,14,0,0,25,5,2,0.4,16,2,5,6,10,60,6,16,32,800,20,85,100,0
1313,3,2,4,5,3,5,17,30,14,0,0,25,5,2,0.4,19,1,6,6,6,36,6,20,60,1500,20,85,100,0
1430,3,2,4,1,1,5,17,29,13,0,0,27,4,1,0.25,8,5,1,5,5,25,6,4,4,108,20,85,100,0
1431,3,2,4,2,2,5,17,29,13,0,0,27,4,1,0.25,9,4,2,5,8,40,6,8,16,432,20,85,100,0
1432,3,2,4,3,2,5,17,29,13,0,0,27,4,1,0.25,10,3,3,5,9,45,6,12,24,648,20,85,100,0
1433,3,2,4,4,2,5,17,29,13,0,0,27,4,1,0.25,11,2,4,5,8,40,6,16,32,864,20,85,100,0
1437,3,2,4,5,3,5,17,29,13,0,0,27,4,1,0.25,15,1,5,5,5,25,6,20,60,1620,20,85,100,0
1537,3,2,4,1,1,5,17,30,14,0,0,29,5,2,0.4,13,5,1,5,5,25,6,4,4,116,20,85,100,0
1538,3,2,4,2,2,5,17,30,14,0,0,29,5,2,0.4,14,4,2,5,8,40,6,8,16,464,20,85,100,0
1539,3,2,4,3,2,5,17,30,14,0,0,29,5,2,0.4,15,3,3,5,9,45,6,12,24,696,20,85,100,0
1540,3,2,4,4,2,5,17,30,14,0,0,29,5,2,0.4,16,2,4,5,8,40,6,16,32,928,20,85,100,0
1544,3,2,4,5,3,5,17,30,14,0,0,29,5,2,0.4,20,1,5,5,5,25,6,20,60,1740,20,85,100,0
