timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
117,0,3,1,1,4,3,9,0,0,24,8,1,2,2,1.0,12,8,1,8,8,64,0,1,4,4,3,27,9,1
125,2,0,2,1,4,3,9,24,8,29,13,1,2,0,0.0,4,7,2,8,14,112,0,2,8,8,6,27,18,1
180,0,1,3,1,4,3,9,29,13,24,8,1,2,2,1.0,12,6,3,8,18,144,0,3,12,12,9,27,27,1
181,3,1,4,1,1,5,17,29,13,0,0,1,4,2,0.5,13,5,4,8,20,160,3,4,4,4,20,85,100,1
182,3,1,4,2,2,5,17,29,13,0,0,1,4,2,0.5,14,4,5,8,20,160,3,8,16,16,20,85,100,1
183,3,1,4,3,2,5,17,29,13,0,0,1,4,2,0.5,15,3,6,8,18,144,3,12,24,24,20,85,100,1
184,3,1,4,4,2,5,17,29,13,0,0,1,4,2,0.5,16,2,7,8,14,112,3,16,32,32,20,85,100,1
188,3,1,4,5,3,5,17,29,13,0,0,1,4,2,0.5,20,1,8,8,8,64,3,20,60,60,20,85,100,1
874,3,1,4,1,1,5,17,30,14,0,0,8,5,3,0.6,16,1,1,1,1,1,3,4,4,32,20,85,100,1
875,3,1,4,2,2,5,17,30,14,0,0,8,5,3,0.6,17,1,1,1,1,1,3,8,16,128,20,85,100,1
876,3,1,4,3,2,5,17,30,14,0,0,8,5,3,0.6,18,1,1,1,1,1,3,12,24,192,20,85,100,1
877,3,1,4,4,2,5,17,30,14,0,0,8,5,3,0.6,19,1,1,1,1,1,3,16,32,256,20,85,100,1
881,3,1,4,5,3,5,17,30,14,0,0,8,5,3,0.6,23,1,1,1,1,1,3,20,60,480,20,85,100,1
988,3,1,4,1,1,5,17,29,13,0,0,9,4,2,0.5,12,1,1,1,1,1,3,4,4,36,20,85,100,1
989,3,1,4,2,2,5,17,29,13,0,0,9,4,2,0.5,13,1,1,1,1,1,3,8,16,144,20,85,100,1
990,3,1,4,3,2,5,17,29,13,0,0,9,4,2,0.5,14,3,1,3,3,9,3,12,24,216,20,85,100,1
992,3,1,4,4,2,5,17,29,13,0,0,9,4,2,0.5,16,2,2,3,4,12,3,16,32,288,20,85,100,1
995,3,1,4,5,3,5,17,29,13,0,0,9,4,2,0.5,19,1,3,3,3,9,3,20,60,540,20,85,100,1
1091,3,1,4,1,1,5,17,29,13,0,0,10,4,2,0.5,13,5,1,5,5,25,3,4,4,40,20,85,100,1
1092,3,1,4,2,2,5,17,29,13,0,0,10,4,2,0.5,14,4,2,5,8,40,3,8,16,160,20,85,100,1
1093,3,1,4,3,2,5,17,29,13,0,0,10,4,2,0.5,15,3,3,5,9,45,3,12,24,240,20,85,100,1
1094,3,1,4,4,2,5,17,29,13,0,0,10,4,2,0.5,16,2,4,5,8,40,3,16,32,320,20,85,100,1
1098,3,1,4,5,3,5,17,29,13,0,0,10,4,2,0.5,20,1,5,5,5,25,3,20,60,600,20,85,100,1
1225,1,3,1,1,4,3,9,0,0,28,12,12,3,2,0.6666666666666666,12,1,1,1,1,1,3,1,4,48,3,27,9,1
1294,3,1,4,1,1,5,17,30,14,0,0,12,5,3,0.6,16,4,1,4,4,16,3,4,4,48,20,85,100,1
1295,3,1,4,2,2,5,17,30,14,0,0,12,5,3,0.6,17,3,2,4,6,24,3,8,16,192,20,85,100,1
1296,3,1,4,3,2,5,17,30,14,0,0,12,5,3,0.6,18,2,3,4,6,24,3,12,24,288,20,85,100,1
1297,3,1,4,4,2,5,17,30,14,0,0,12,5,3,0.6,19,1,4,4,4,16,3,16,32,384,20,85,100,1
1301,3,1,4,5,3,5,17,30,14,0,0,12,5,3,0.6,23,1,1,1,1,1,3,20,60,720,20,85,100,1
1419,3,1,4,1,1,5,17,29,13,0,0,13,4,2,0.5,13,5,1,5,5,25,3,4,4,52,20,85,100,1
1420,3,1,4,2,2,5,17,29,13,0,0,13,4,2,0.5,14,4,2,5,8,40,3,8,16,208,20,85,100,1
1421,3,1,4,3,2,5,17,29,13,0,0,13,4,2,0.5,15,3,3,5,9,45,3,12,24,312,20,85,100,1
1422,3,1,4,4,2,5,17,29,13,0,0,13,4,2,0.5,16,2,4,5,8,40,3,16,32,416,20,85,100,1
1426,3,1,4,5,3,5,17,29,13,0,0,13,4,2,0.5,20,1,5,5,5,25,3,20,60,780,20,85,100,1
1527,3,1,4,1,1,5,17,30,14,0,0,14,5,3,0.6,17,5,1,5,5,25,3,4,4,56,20,85,100,1
1528,3,1,4,2,2,5,17,30,14,0,0,14,5,3,0.6,18,4,2,5,8,40,3,8,16,224,20,85,100,1
1529,3,1,4,3,2,5,17,30,14,0,0,14,5,3,0.6,19,3,3,5,9,45,3,12,24,336,20,85,100,1
1530,3,1,4,4,2,5,17,30,14,0,0,14,5,3,0.6,20,2,4,5,8,40,3,16,32,448,20,85,100,1
1534,3,1,4,5,3,5,17,30,14,0,0,14,5,3,0.6,24,1,5,5,5,25,3,20,60,840,20,85,100,1
1738,3,1,4,1,1,5,17,30,14,0,0,16,5,3,0.6,16,1,1,1,1,1,3,4,4,64,20,85,100,1
1739,3,1,4,2,2,5,17,30,14,0,0,16,5,3,0.6,17,4,1,4,4,16,3,8,16,256,20,85,100,1
