time,router,outport,inport,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,enq_time
11,0,East,Local,0,3,1,4,0,0,31,15,7
15,1,East,West,0,3,1,4,0,0,31,15,7
19,2,East,West,0,3,1,4,0,0,31,15,7
22,0,East,Local,0,3,1,5,0,0,31,15,18
23,3,North,West,0,3,1,4,0,0,31,15,7
26,1,East,West,0,3,1,4,0,0,31,15,18
27,7,North,South,0,3,1,4,0,0,31,15,7
30,2,East,West,0,3,1,4,0,0,31,15,18
31,11,North,South,0,3,1,4,0,0,31,15,7
34,3,North,West,0,3,1,4,0,0,31,15,18
35,0,East,Local,0,3,1,6,0,0,31,15,31
35,15,Local,South,0,3,1,4,0,0,31,15,7
38,7,North,South,0,3,1,4,0,0,31,15,18
39,1,East,West,0,3,1,4,0,0,31,15,31
42,11,North,South,0,3,1,4,0,0,31,15,18
43,2,East,West,0,3,1,4,0,0,31,15,31
46,15,Local,South,0,3,1,4,0,0,31,15,18
47,3,North,West,0,3,1,4,0,0,31,15,31
51,7,North,South,0,3,1,4,0,0,31,15,31
52,0,East,Local,0,0,2,8,0,0,31,15,48
53,0,East,Local,1,1,2,8,0,0,31,15,48
54,0,East,Local,2,1,2,8,0,0,31,15,48
55,0,East,Local,3,1,2,8,0,0,31,15,48
55,11,North,South,0,3,1,4,0,0,31,15,31
56,1,East,West,0,0,2,8,0,0,31,15,48
57,1,East,West,1,1,2,8,0,0,31,15,48
58,1,East,West,2,1,2,8,0,0,31,15,48
58,0,East,Local,0,3,0,0,0,0,31,15,54
59,1,East,West,3,1,2,8,0,0,31,15,48
59,15,Local,South,0,3,1,4,0,0,31,15,31
59,0,East,Local,4,2,2,8,0,0,31,15,48
60,2,East,West,0,0,2,8,0,0,31,15,48
61,2,East,West,1,1,2,8,0,0,31,15,48
62,2,East,West,2,1,2,8,0,0,31,15,48
62,1,East,West,0,3,0,0,0,0,31,15,54
63,2,East,West,3,1,2,8,0,0,31,15,48
63,1,East,West,4,2,2,8,0,0,31,15,48
64,3,North,West,0,0,2,8,0,0,31,15,48
65,0,East,Local,0,3,0,1,0,0,31,15,61
65,3,North,West,1,1,2,8,0,0,31,15,48
66,3,North,West,2,1,2,8,0,0,31,15,48
66,2,East,West,0,3,0,0,0,0,31,15,54
67,3,North,West,3,1,2,8,0,0,31,15,48
67,2,East,West,4,2,2,8,0,0,31,15,48
68,7,North,South,0,0,2,8,0,0,31,15,48
69,7,North,South,1,1,2,8,0,0,31,15,48
69,1,East,West,0,3,0,0,0,0,31,15,61
70,7,North,South,2,1,2,8,0,0,31,15,48
70,3,North,West,0,3,0,0,0,0,31,15,54
71,7,North,South,3,1,2,8,0,0,31,15,48
71,0,East,Local,0,0,2,9,0,0,31,15,67
71,3,North,West,4,2,2,8,0,0,31,15,48
72,11,North,South,0,0,2,8,0,0,31,15,48
72,0,East,Local,1,1,2,9,0,0,31,15,67
73,0,East,Local,2,1,2,9,0,0,31,15,67
73,2,East,West,0,3,0,0,0,0,31,15,61
73,11,North,South,1,1,2,8,0,0,31,15,48
74,0,East,Local,0,0,2,10,0,0,31,15,69
74,11,North,South,2,1,2,8,0,0,31,15,48
74,7,North,South,0,3,0,0,0,0,31,15,54
75,11,North,South,3,1,2,8,0,0,31,15,48
75,0,East,Local,3,1,2,9,0,0,31,15,67
75,7,North,South,4,2,2,8,0,0,31,15,48
75,1,East,West,0,0,2,8,0,0,31,15,67
76,0,East,Local,1,1,2,10,0,0,31,15,69
76,1,East,West,1,1,2,8,0,0,31,15,67
76,15,Local,South,0,0,2,8,0,0,31,15,48
77,1,East,West,2,1,2,8,0,0,31,15,67
77,0,East,Local,2,1,2,10,0,0,31,15,69
77,15,Local,South,1,1,2,8,0,0,31,15,48
77,3,North,West,0,3,0,0,0,0,31,15,61
78,15,Local,South,2,1,2,8,0,0,31,15,48
78,1,East,West,0,0,2,9,0,0,31,15,69
78,0,East,Local,4,2,2,9,0,0,31,15,67
78,11,North,South,0,3,0,0,0,0,31,15,54
79,15,Local,South,3,1,2,8,0,0,31,15,48
79,0,East,Local,3,1,2,10,0,0,31,15,69
79,1,East,West,3,1,2,8,0,0,31,15,67
79,2,East,West,0,0,2,8,0,0,31,15,67
79,11,North,South,4,2,2,8,0,0,31,15,48
80,0,East,Local,0,0,2,11,0,0,31,15,75
80,1,East,West,1,1,2,9,0,0,31,15,69
80,2,East,West,1,1,2,8,0,0,31,15,67
81,2,East,West,2,1,2,8,0,0,31,15,67
81,1,East,West,2,1,2,9,0,0,31,15,69
81,0,East,Local,4,2,2,10,0,0,31,15,69
81,7,North,South,0,3,0,0,0,0,31,15,61
