time,router,outport,inport,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,enq_time
7,9,East,Local,0,3,1,4,9,9,31,15,3
7,11,North,Local,0,3,1,4,11,11,31,15,3
8,11,North,Local,0,3,1,5,11,11,31,15,4
9,11,North,Local,0,3,1,6,11,11,31,15,5
9,9,East,Local,0,0,2,8,9,9,31,15,5
9,8,East,Local,0,3,0,0,8,8,31,15,5
10,8,East,Local,0,3,0,1,8,8,31,15,6
10,5,East,Local,0,0,2,8,5,5,31,15,6
10,4,East,Local,0,3,1,4,4,4,31,15,6
10,9,East,Local,1,1,2,8,9,9,31,15,5
11,9,East,Local,0,3,1,5,9,9,31,15,7
11,5,East,Local,1,1,2,8,5,5,31,15,6
11,15,Local,South,0,3,1,4,11,11,31,15,3
11,10,East,West,0,3,1,4,9,9,31,15,3
12,9,East,Local,2,1,2,8,9,9,31,15,5
12,5,East,Local,2,1,2,8,5,5,31,15,6
12,14,East,Local,0,3,0,0,14,14,31,15,8
12,15,Local,South,0,3,1,5,11,11,31,15,4
13,10,East,West,0,0,2,8,9,9,31,15,5
13,15,Local,South,0,3,1,6,11,11,31,15,5
13,5,East,Local,3,1,2,8,5,5,31,15,6
13,9,East,West,0,3,0,0,8,8,31,15,5
13,3,North,Local,0,0,2,8,3,3,31,15,9
14,5,East,Local,0,0,2,9,5,5,31,15,7
14,9,East,West,0,3,0,1,8,8,31,15,6
14,10,East,Local,0,3,0,0,10,10,31,15,10
14,8,East,Local,0,3,0,2,8,8,31,15,10
14,6,East,West,0,0,2,8,5,5,31,15,6
14,3,North,Local,1,1,2,8,3,3,31,15,9
15,9,East,Local,3,1,2,8,9,9,31,15,5
15,3,North,Local,2,1,2,8,3,3,31,15,9
15,5,East,West,0,3,1,4,4,4,31,15,6
15,10,East,West,0,3,1,5,9,9,31,15,7
15,11,North,West,0,3,1,4,9,9,31,15,3
15,6,East,West,1,1,2,8,5,5,31,15,6
16,3,North,Local,3,1,2,8,3,3,31,15,9
16,6,East,West,2,1,2,8,5,5,31,15,6
16,10,East,West,1,1,2,8,9,9,31,15,5
16,9,East,Local,4,2,2,8,9,9,31,15,5
16,5,East,Local,1,1,2,9,5,5,31,15,7
16,15,Local,West,0,3,0,0,14,14,31,15,8
17,6,East,West,3,1,2,8,5,5,31,15,6
17,11,North,West,0,0,2,8,9,9,31,15,5
17,10,East,West,2,1,2,8,9,9,31,15,5
17,5,East,Local,2,1,2,9,5,5,31,15,7
17,3,North,Local,0,3,0,0,3,3,31,15,11
17,7,North,South,0,0,2,8,3,3,31,15,9
18,5,East,Local,4,2,2,8,5,5,31,15,6
18,9,East,West,0,3,0,2,8,8,31,15,10
18,10,East,West,0,3,0,0,8,8,31,15,5
18,6,East,West,0,0,2,9,5,5,31,15,7
18,7,North,West,0,0,2,8,5,5,31,15,6
18,11,North,West,0,3,0,0,10,10,31,15,10
19,7,North,South,1,1,2,8,3,3,31,15,9
19,5,East,Local,0,3,0,0,5,5,31,15,13
19,10,East,West,0,3,0,1,8,8,31,15,6
19,11,North,West,0,3,1,5,9,9,31,15,7
