timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
113,0,3,1,1,4,3,9,1,1,24,8,2,3,3,1.0,16,7,1,7,7,49,0,1,4,8,3,27,9,0
121,2,0,2,1,4,3,9,24,8,29,13,2,2,0,0.0,4,6,2,7,12,84,0,2,8,16,6,27,18,0
134,0,3,1,1,4,3,9,0,0,24,8,3,2,2,1.0,12,5,3,7,15,105,0,1,4,12,3,27,9,0
142,2,0,2,1,4,3,10,24,8,29,13,3,2,0,0.0,4,4,4,7,16,112,0,2,8,24,6,30,18,0
176,0,1,3,1,4,3,9,29,13,24,8,2,2,2,1.0,12,3,5,7,15,105,0,3,12,24,9,27,27,0
198,3,1,4,1,1,5,17,29,13,0,0,3,4,2,0.5,12,2,6,7,12,84,3,4,4,12,20,85,100,0
199,3,1,4,2,2,5,17,29,13,0,0,3,4,2,0.5,13,1,7,7,7,49,3,8,16,48,20,85,100,0
200,3,1,4,3,2,5,17,29,13,0,0,3,4,2,0.5,14,4,1,4,4,16,3,12,24,72,20,85,100,0
201,0,1,3,1,4,3,9,29,13,24,8,3,2,2,1.0,15,3,2,4,6,24,0,3,12,36,9,27,27,0
202,3,1,4,4,2,5,17,29,13,0,0,3,4,2,0.5,16,2,3,4,6,24,3,16,32,96,20,85,100,0
205,3,1,4,5,3,5,17,29,13,0,0,3,4,2,0.5,19,1,4,4,4,16,3,20,60,180,20,85,100,0
888,3,1,4,1,1,5,17,30,14,0,0,17,5,3,0.6,16,1,1,1,1,1,3,4,4,68,20,85,100,0
889,3,1,4,2,2,5,17,30,14,0,0,17,5,3,0.6,17,1,1,1,1,1,3,8,16,272,20,85,100,0
890,3,1,4,3,2,5,17,30,14,0,0,17,5,3,0.6,18,1,1,1,1,1,3,12,24,408,20,85,100,0
891,3,1,4,4,2,5,17,30,14,0,0,17,5,3,0.6,19,1,1,1,1,1,3,16,32,544,20,85,100,0
895,3,1,4,5,3,5,17,30,14,0,0,17,5,3,0.6,23,1,1,1,1,1,3,20,60,1020,20,85,100,0
1003,3,1,4,1,1,5,17,29,13,0,0,19,4,2,0.5,13,1,1,1,1,1,3,4,4,76,20,85,100,0
1004,3,1,4,2,2,5,17,29,13,0,0,19,4,2,0.5,14,1,1,1,1,1,3,8,16,304,20,85,100,0
1005,3,1,4,3,2,5,17,29,13,0,0,19,4,2,0.5,15,3,1,3,3,9,3,12,24,456,20,85,100,0
1006,3,1,4,4,2,5,17,29,13,0,0,19,4,2,0.5,16,2,2,3,4,12,3,16,32,608,20,85,100,0
1010,3,1,4,5,3,5,17,29,13,0,0,19,4,2,0.5,20,1,3,3,3,9,3,20,60,1140,20,85,100,0
1107,3,1,4,1,1,5,17,29,13,0,0,21,4,2,0.5,13,6,1,6,6,36,3,4,4,84,20,85,100,0
1108,3,1,4,2,2,5,17,29,13,0,0,21,4,2,0.5,14,5,2,6,10,60,3,8,16,336,20,85,100,0
1109,3,1,4,3,2,5,17,29,13,0,0,21,4,2,0.5,15,4,3,6,12,72,3,12,24,504,20,85,100,0
1110,3,1,4,4,2,5,17,29,13,0,0,21,4,2,0.5,16,3,4,6,12,72,3,16,32,672,20,85,100,0
1114,3,1,4,5,3,5,17,29,13,0,0,21,4,2,0.5,20,2,5,6,10,60,3,20,60,1260,20,85,100,0
1152,1,3,1,1,4,3,9,1,1,28,12,24,5,3,0.6,16,1,6,6,6,36,3,1,4,96,3,27,9,0
1241,1,3,1,1,4,3,9,0,0,28,12,25,3,2,0.6666666666666666,12,1,1,1,1,1,3,1,4,100,3,27,9,0
1310,3,1,4,1,1,5,17,30,14,0,0,25,5,3,0.6,16,5,1,5,5,25,3,4,4,100,20,85,100,0
1312,3,1,4,2,2,5,17,30,14,0,0,25,5,3,0.6,18,4,2,5,8,40,3,8,16,400,20,85,100,0
1313,3,1,4,3,2,5,17,30,14,0,0,25,5,3,0.6,19,3,3,5,9,45,3,12,24,600,20,85,100,0
1314,3,1,4,4,2,5,17,30,14,0,0,25,5,3,0.6,20,2,4,5,8,40,3,16,32,800,20,85,100,0
1317,3,1,4,5,3,5,17,30,14,0,0,25,5,3,0.6,23,1,5,5,5,25,3,20,60,1500,20,85,100,0
1434,3,1,4,1,1,5,17,29,13,0,0,27,4,2,0.5,12,5,1,5,5,25,3,4,4,108,20,85,100,0
1435,3,1,4,2,2,5,17,29,13,0,0,27,4,2,0.5,13,4,2,5,8,40,3,8,16,432,20,85,100,0
1436,3,1,4,3,2,5,17,29,13,0,0,27,4,2,0.5,14,3,3,5,9,45,3,12,24,648,20,85,100,0
1437,3,1,4,4,2,5,17,29,13,0,0,27,4,2,0.5,15,2,4,5,8,40,3,16,32,864,20,85,100,0
1441,3,1,4,5,3,5,17,29,13,0,0,27,4,2,0.5,19,1,5,5,5,25,3,20,60,1620,20,85,100,0
1541,3,1,4,1,1,5,17,30,14,0,0,29,5,3,0.6,17,5,1,5,5,25,3,4,4,116,20,85,100,0
1542,3,1,4,2,2,5,17,30,14,0,0,29,5,3,0.6,18,4,2,5,8,40,3,8,16,464,20,85,100,0
1543,3,1,4,3,2,5,17,30,14,0,0,29,5,3,0.6,19,3,3,5,9,45,3,12,24,696,20,85,100,0
1544,3,1,4,4,2,5,17,30,14,0,0,29,5,3,0.6,20,2,4,5,8,40,3,16,32,928,20,85,100,0
1548,3,1,4,5,3,5,17,30,14,0,0,29,5,3,0.6,24,1,5,5,5,25,3,20,60,1740,20,85,100,0
1750,3,1,4,1,1,5,17,30,14,0,0,34,5,3,0.6,16,1,1,1,1,1,3,4,4,136,20,85,100,0
1751,3,1,4,2,2,5,17,30,14,0,0,34,5,3,0.6,17,4,1,4,4,16,3,8,16,544,20,85,100,0
1752,3,1,4,3,2,5,17,30,14,0,0,34,5,3,0.6,18,3,2,4,6,24,3,12,24,816,20,85,100,0
1753,3,1,4,4,2,5,17,30,14,0,0,34,5,3,0.6,19,2,3,4,6,24,3,16,32,1088,20,85,100,0
1757,3,1,4,5,3,5,17,30,14,0,0,34,5,3,0.6,23,1,4,4,4,16,3,20,60,2040,20,85,100,0
2325,3,1,4,1,1,5,17,29,13,0,0,46,4,2,0.5,13,1,1,1,1,1,3,4,4,184,20,85,100,0
2326,3,1,4,2,2,5,17,29,13,0,0,46,4,2,0.5,14,1,1,1,1,1,3,8,16,736,20,85,100,0
2327,3,1,4,3,2,5,17,29,13,0,0,46,4,2,0.5,15,1,1,1,1,1,3,12,24,1104,20,85,100,0
2328,3,1,4,4,2,5,17,29,13,0,0,46,4,2,0.5,16,1,1,1,1,1,3,16,32,1472,20,85,100,0
2332,3,1,4,5,3,5,17,29,13,0,0,46,4,2,0.5,20,1,1,1,1,1,3,20,60,2760,20,85,100,0
2527,3,1,4,1,1,5,17,29,13,0,0,50,4,2,0.5,13,1,1,1,1,1,3,4,4,200,20,85,100,0
2528,3,1,4,2,2,5,17,29,13,0,0,50,4,2,0.5,14,1,1,1,1,1,3,8,16,800,20,85,100,0
2529,3,1,4,3,2,5,17,29,13,0,0,50,4,2,0.5,15,3,1,3,3,9,3,12,24,1200,20,85,100,0
2530,3,1,4,4,2,5,17,29,13,0,0,50,4,2,0.5,16,2,2,3,4,12,3,16,32,1600,20,85,100,0
2534,3,1,4,5,3,5,17,29,13,0,0,50,4,2,0.5,20,1,3,3,3,9,3,20,60,3000,20,85,100,0
2644,3,1,4,1,1,5,17,29,13,0,0,52,4,2,0.5,12,5,1,5,5,25,3,4,4,208,20,85,100,0
2645,3,1,4,2,2,5,17,29,13,0,0,52,4,2,0.5,13,4,2,5,8,40,3,8,16,832,20,85,100,0
2646,3,1,4,3,2,5,17,29,13,0,0,52,4,2,0.5,14,3,3,5,9,45,3,12,24,1248,20,85,100,0
2647,3,1,4,4,2,5,17,29,13,0,0,52,4,2,0.5,15,2,4,5,8,40,3,16,32,1664,20,85,100,0
