timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
129,1,4,2,1,4,3,9,24,8,29,13,1,2,1,0.5,8,1,1,1,1,1,4,2,8,8,6,27,18,1
940,1,2,2,1,4,3,9,27,11,29,13,9,3,2,0.6666666666666666,12,1,1,1,1,1,2,2,8,72,6,27,18,1
1034,0,3,1,1,4,3,9,0,0,25,9,10,3,3,1.0,16,1,1,1,1,1,0,1,4,40,3,27,9,1
1042,1,0,2,1,4,3,9,25,9,29,13,10,1,0,0.0,4,1,1,1,1,1,0,2,8,80,6,27,18,1
1086,0,1,3,1,4,3,9,29,13,25,9,10,1,1,1.0,8,1,1,1,1,1,0,3,12,120,9,27,27,1
1370,1,2,2,1,4,3,9,26,10,29,13,13,2,1,0.5,8,1,1,1,1,1,2,2,8,104,6,27,18,1
1461,1,3,1,1,4,3,9,0,0,29,13,14,4,3,0.75,16,1,1,1,1,1,3,1,4,56,3,27,9,1
2262,1,2,2,1,4,3,9,27,11,29,13,22,3,2,0.6666666666666666,12,1,1,1,1,1,2,2,8,176,6,27,18,1
2465,1,2,2,1,4,3,9,26,10,29,13,24,2,1,0.5,8,1,1,1,1,1,2,2,8,192,6,27,18,1
2582,1,2,2,1,4,3,9,26,10,29,13,25,2,1,0.5,8,1,1,1,1,1,2,2,8,200,6,27,18,1
2719,0,3,1,1,4,3,9,0,0,25,9,26,3,3,1.0,16,1,1,1,1,1,0,1,4,104,3,27,9,1
2727,1,0,2,1,4,3,10,25,9,29,13,26,1,0,0.0,4,1,1,1,1,1,0,2,8,208,6,30,18,1
2775,0,1,3,1,4,3,9,29,13,25,9,26,1,1,1.0,11,1,1,1,1,1,0,3,12,312,9,27,27,1
2904,1,2,2,1,4,3,9,27,11,29,13,27,3,2,0.6666666666666666,12,1,1,1,1,1,2,2,8,216,6,27,18,1
3511,1,3,1,1,4,3,9,0,0,29,13,31,4,3,0.75,16,1,1,1,1,1,3,1,4,124,3,27,9,1
3865,1,4,2,1,4,3,9,24,8,29,13,33,2,1,0.5,8,1,1,1,1,1,4,2,8,264,6,27,18,1
3999,1,4,2,1,4,3,9,24,8,29,13,34,2,1,0.5,8,1,1,1,1,1,4,2,8,272,6,27,18,1
4103,1,3,1,1,4,3,9,0,0,29,13,35,4,3,0.75,16,1,1,1,1,1,3,1,4,140,3,27,9,1
4335,1,3,1,1,4,3,9,0,0,29,13,37,4,3,0.75,16,1,1,1,1,1,3,1,4,148,3,27,9,1
4438,1,3,1,1,4,3,9,0,0,29,13,38,4,3,0.75,16,1,1,1,1,1,3,1,4,152,3,27,9,1
5172,0,3,1,1,4,3,9,0,0,25,9,44,3,3,1.0,16,1,1,1,1,1,0,1,4,176,3,27,9,1
5180,1,0,2,1,4,3,11,25,9,29,13,44,1,0,0.0,4,1,1,1,1,1,0,2,8,352,6,33,18,1
5224,0,1,3,1,4,3,9,29,13,25,9,44,1,1,1.0,8,1,1,1,1,1,0,3,12,528,9,27,27,1
5362,0,3,1,1,4,3,9,0,0,25,9,46,3,3,1.0,16,1,1,1,1,1,0,1,4,184,3,27,9,1
5370,1,0,2,1,4,3,12,25,9,29,13,46,1,0,0.0,4,1,1,1,1,1,0,2,8,368,6,36,18,1
5414,0,1,3,1,4,3,9,29,13,25,9,46,1,1,1.0,8,1,1,1,1,1,0,3,12,552,9,27,27,1
5473,1,4,2,1,4,3,9,24,8,29,13,47,2,1,0.5,8,1,1,1,1,1,4,2,8,376,6,27,18,1
5572,0,3,1,1,4,3,9,0,0,25,9,48,3,3,1.0,16,1,1,1,1,1,0,1,4,192,3,27,9,1
5580,1,0,2,1,4,3,9,25,9,29,13,48,1,0,0.0,4,1,1,1,1,1,0,2,8,384,6,27,18,1
5624,0,1,3,1,4,3,9,29,13,25,9,48,1,1,1.0,8,1,1,1,1,1,0,3,12,576,9,27,27,1
5711,1,2,2,1,4,3,9,26,10,29,13,49,2,1,0.5,8,1,1,1,1,1,2,2,8,392,6,27,18,1
5834,1,2,2,1,4,3,9,27,11,29,13,50,3,2,0.6666666666666666,12,1,1,1,1,1,2,2,8,400,6,27,18,1
5940,1,2,2,1,4,3,9,26,10,29,13,51,2,1,0.5,8,1,1,1,1,1,2,2,8,408,6,27,18,1
6252,1,4,2,1,4,3,9,24,8,29,13,54,2,1,0.5,8,1,1,1,1,1,4,2,8,432,6,27,18,1
6364,1,2,2,1,4,3,9,27,11,29,13,55,3,2,0.6666666666666666,12,1,1,1,1,1,2,2,8,440,6,27,18,1
6724,1,4,2,1,4,3,9,24,8,29,13,58,2,1,0.5,8,1,1,1,1,1,4,2,8,464,6,27,18,1
6839,0,3,1,1,4,3,9,0,0,25,9,59,3,3,1.0,16,1,1,1,1,1,0,1,4,236,3,27,9,1
6847,1,0,2,1,4,3,10,25,9,29,13,59,1,0,0.0,4,1,1,1,1,1,0,2,8,472,6,30,18,1
6899,0,1,3,1,4,3,9,29,13,25,9,59,1,1,1.0,11,1,1,1,1,1,0,3,12,708,9,27,27,1
7104,0,3,1,1,4,3,9,0,0,25,9,61,3,3,1.0,16,1,1,1,1,1,0,1,4,244,3,27,9,1
7112,1,0,2,1,4,3,11,25,9,29,13,61,1,0,0.0,4,1,1,1,1,1,0,2,8,488,6,33,18,1
7156,0,1,3,1,4,3,9,29,13,25,9,61,1,1,1.0,8,1,1,1,1,1,0,3,12,732,9,27,27,1
7625,1,3,1,1,4,3,9,0,0,29,13,65,4,3,0.75,16,1,1,1,1,1,3,1,4,260,3,27,9,1
7838,1,2,2,1,4,3,9,26,10,29,13,67,2,1,0.5,8,1,1,1,1,1,2,2,8,536,6,27,18,1
8267,1,4,2,1,4,3,9,24,8,29,13,71,2,1,0.5,8,1,1,1,1,1,4,2,8,568,6,27,18,1
8409,1,2,2,1,4,3,9,27,11,29,13,72,3,2,0.6666666666666666,12,1,1,1,1,1,2,2,8,576,6,27,18,1
8507,1,4,2,1,4,3,9,24,8,29,13,73,2,1,0.5,8,1,1,1,1,1,4,2,8,584,6,27,18,1
8603,0,3,5,1,1,3,9,0,0,25,9,74,3,3,1.0,16,1,1,1,1,1,0,5,5,370,15,27,45,1
8610,0,3,5,2,2,3,9,0,0,25,9,74,3,3,1.0,23,1,1,1,1,1,0,10,20,1480,15,27,45,1
8617,0,3,5,3,2,3,9,0,0,25,9,74,3,3,1.0,30,1,1,1,1,1,0,15,30,2220,15,27,45,1
8624,0,3,5,4,2,3,9,0,0,25,9,74,3,3,1.0,37,1,1,1,1,1,0,20,40,2960,15,27,45,1
8631,0,3,5,5,3,3,9,0,0,25,9,74,3,3,1.0,44,1,1,1,1,1,0,25,75,5550,15,27,45,1
8632,0,3,1,1,4,3,10,0,0,25,9,75,3,3,1.0,44,1,1,1,1,1,0,1,4,300,3,30,9,1
8639,1,0,6,1,1,3,12,25,9,29,13,74,1,0,0.0,4,1,1,1,1,1,0,6,6,444,18,36,54,1
8646,1,0,6,2,2,3,12,25,9,29,13,74,1,0,0.0,11,1,1,1,1,1,0,12,24,1776,18,36,54,1
8653,1,0,6,3,2,3,12,25,9,29,13,74,1,0,0.0,18,1,1,1,1,1,0,18,36,2664,18,36,54,1
8660,1,0,6,4,2,3,12,25,9,29,13,74,1,0,0.0,25,1,1,1,1,1,0,24,48,3552,18,36,54,1
8667,1,0,6,5,3,3,12,25,9,29,13,74,1,0,0.0,32,1,1,1,1,1,0,30,90,6660,18,36,54,1
8668,1,0,2,1,4,3,9,25,9,29,13,75,1,0,0.0,32,1,1,1,1,1,0,2,8,600,6,27,18,1
8670,4,0,7,1,4,3,10,25,9,0,0,74,3,0,0.0,4,1,1,1,1,1,0,7,28,2072,21,30,63,1
8712,0,1,3,1,4,3,9,29,13,25,9,75,1,1,1.0,8,1,1,1,1,1,0,3,12,900,9,27,27,1
9341,1,2,6,1,1,3,9,26,10,29,13,81,2,1,0.5,8,1,1,1,1,1,2,6,6,486,18,27,54,1
