time,outport,inport,packet_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,pkt_chuck,hop_count,current_hop,hop_percentage,waiting_time,pkt_count,pkt_count_inc,pkt_max,counting_index_pos,counting_index_100,target
11,2,4,0,0,3,2,8,0,0,23,7,0,4,1,0.25,8,6,1,6,6,36,1
83,4,2,3,0,0,4,16,18,2,0,0,0,2,1,0.5,9,5,2,6,10,60,1
84,4,2,3,1,1,4,16,18,2,0,0,0,2,1,0.5,10,4,3,6,12,72,1
85,4,2,3,2,1,4,16,18,2,0,0,0,2,1,0.5,11,3,4,6,12,72,1
86,4,2,3,3,1,4,16,18,2,0,0,0,2,1,0.5,12,2,5,6,10,60,1
90,4,2,3,4,2,4,16,18,2,0,0,0,2,1,0.5,16,1,6,6,6,36,1
241,2,4,0,0,3,2,8,0,0,22,6,2,3,1,0.3333333333333333,8,1,1,1,1,1,1
302,4,2,3,0,0,4,16,18,2,0,0,2,2,1,0.5,8,1,1,1,1,1,1
303,4,2,3,1,1,4,16,18,2,0,0,2,2,1,0.5,9,5,1,5,5,25,1
304,4,2,3,2,1,4,16,18,2,0,0,2,2,1,0.5,10,4,2,5,8,40,1
306,4,2,3,3,1,4,16,18,2,0,0,2,2,1,0.5,12,3,3,5,9,45,1
309,4,2,3,4,2,4,16,18,2,0,0,2,2,1,0.5,15,2,4,5,8,40,1
352,2,4,0,0,3,2,8,0,0,23,7,3,4,1,0.25,8,1,5,5,5,25,1
421,4,2,3,0,0,4,16,18,2,0,0,3,2,1,0.5,9,6,1,6,6,36,1
422,4,2,3,1,1,4,16,18,2,0,0,3,2,1,0.5,10,5,2,6,10,60,1
423,4,2,3,2,1,4,16,18,2,0,0,3,2,1,0.5,11,4,3,6,12,72,1
424,4,2,3,3,1,4,16,18,2,0,0,3,2,1,0.5,12,3,4,6,12,72,1
428,4,2,3,4,2,4,16,18,2,0,0,3,2,1,0.5,16,2,5,6,10,60,1
459,1,4,0,0,3,2,8,0,0,21,5,4,2,1,0.5,8,1,6,6,6,36,1
520,1,2,2,0,3,2,8,18,2,21,5,4,2,1,0.5,8,7,1,7,7,49,1
521,4,2,3,0,0,4,16,18,2,0,0,4,2,1,0.5,9,6,2,7,12,84,1
522,4,2,3,1,1,4,16,18,2,0,0,4,2,1,0.5,10,5,3,7,15,105,1
523,4,2,3,2,1,4,16,18,2,0,0,4,2,1,0.5,11,4,4,7,16,112,1
524,4,2,3,3,1,4,16,18,2,0,0,4,2,1,0.5,12,3,5,7,15,105,1
528,4,2,3,4,2,4,16,18,2,0,0,4,2,1,0.5,16,2,6,7,12,84,1
561,0,4,0,0,3,2,8,0,0,17,1,5,1,1,1.0,8,1,7,7,7,49,1
600,4,0,3,0,0,4,16,17,1,0,0,5,1,0,0.0,4,9,1,9,9,81,1
601,4,0,3,1,1,4,16,17,1,0,0,5,1,0,0.0,5,8,2,9,16,144,1
602,4,0,3,2,1,4,16,17,1,0,0,5,1,0,0.0,6,7,3,9,21,189,1
603,4,0,3,3,1,4,16,17,1,0,0,5,1,0,0.0,7,6,4,9,24,216,1
607,4,0,3,4,2,4,16,17,1,0,0,5,1,0,0.0,11,5,5,9,25,225,1
628,2,4,0,0,3,2,8,0,0,23,7,6,4,1,0.25,8,4,6,9,24,216,1
696,4,2,3,0,0,4,16,18,2,0,0,6,2,1,0.5,8,3,7,9,21,189,1
697,4,2,3,1,1,4,16,18,2,0,0,6,2,1,0.5,9,2,8,9,16,144,1
698,4,2,3,2,1,4,16,18,2,0,0,6,2,1,0.5,10,1,9,9,9,81,1
700,4,2,3,3,1,4,16,18,2,0,0,6,2,1,0.5,12,8,1,8,8,64,1
703,4,2,3,4,2,4,16,18,2,0,0,6,2,1,0.5,15,7,2,8,14,112,1
722,0,4,0,0,3,2,8,0,0,17,1,7,1,1,1.0,8,6,3,8,18,144,1
758,4,0,3,0,0,4,17,17,1,0,0,7,1,0,0.0,4,5,4,8,20,160,1
759,4,0,3,1,1,4,17,17,1,0,0,7,1,0,0.0,5,4,5,8,20,160,1
760,4,0,3,2,1,4,17,17,1,0,0,7,1,0,0.0,6,3,6,8,18,144,1
761,4,0,3,3,1,4,17,17,1,0,0,7,1,0,0.0,7,2,7,8,14,112,1
765,4,0,3,4,2,4,17,17,1,0,0,7,1,0,0.0,11,1,8,8,8,64,1
808,2,4,0,0,3,2,8,0,0,30,14,8,5,1,0.2,8,1,1,1,1,1,1
908,2,4,0,0,3,2,8,0,0,27,11,9,5,1,0.2,8,1,1,1,1,1,1
