time,outport,inport,packet_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,pkt_chuck,hop_count,current_hop,hop_percentage,waiting_time,pkt_count,pkt_max,target
7,2,0,0,0,3,2,8,1,1,23,7,1,3,0,0.0,4,7,7,0
11,2,4,0,0,3,2,8,0,0,23,7,0,4,1,0.25,8,6,7,0
79,0,2,3,0,0,4,16,18,2,1,1,1,1,1,1.0,9,5,7,0
80,0,2,3,1,1,4,16,18,2,1,1,1,1,1,1.0,10,4,7,0
81,0,2,3,2,1,4,16,18,2,1,1,1,1,1,1.0,11,3,7,0
82,0,2,3,3,1,4,16,18,2,1,1,1,1,1,1.0,12,2,7,0
86,0,2,3,4,2,4,16,18,2,1,1,1,1,1,1.0,16,1,7,0
100,4,2,3,0,0,4,16,18,2,0,0,0,2,1,0.5,8,11,11,0
101,4,0,0,0,3,2,9,1,1,24,8,2,3,0,0.0,4,10,11,0
102,4,2,3,1,1,4,16,18,2,0,0,0,2,1,0.5,10,9,11,0
103,4,2,3,2,1,4,16,18,2,0,0,0,2,1,0.5,11,8,11,0
104,4,2,3,3,1,4,16,18,2,0,0,0,2,1,0.5,12,7,11,0
107,4,2,3,4,2,4,16,18,2,0,0,0,2,1,0.5,15,6,11,0
181,0,1,3,0,0,4,16,29,13,1,1,2,3,3,1.0,17,5,11,0
182,0,1,3,1,1,4,16,29,13,1,1,2,3,3,1.0,18,4,11,0
183,0,1,3,2,1,4,16,29,13,1,1,2,3,3,1.0,19,3,11,0
184,0,1,3,3,1,4,16,29,13,1,1,2,3,3,1.0,20,2,11,0
188,0,1,3,4,2,4,16,29,13,1,1,2,3,3,1.0,24,1,11,0
229,2,0,0,0,3,2,10,1,1,22,6,4,2,0,0.0,4,7,7,0
258,2,4,0,0,3,2,8,0,0,22,6,5,3,1,0.3333333333333333,8,6,7,0
291,0,2,3,0,0,4,16,18,2,1,1,4,1,1,1.0,9,5,7,0
292,0,2,3,1,1,4,16,18,2,1,1,4,1,1,1.0,10,4,7,0
293,0,2,3,2,1,4,16,18,2,1,1,4,1,1,1.0,11,3,7,0
294,0,2,3,3,1,4,16,18,2,1,1,4,1,1,1.0,12,2,7,0
298,0,2,3,4,2,4,16,18,2,1,1,4,1,1,1.0,16,1,7,0
319,4,2,3,0,0,4,16,18,2,0,0,5,2,1,0.5,9,7,7,0
320,4,2,3,1,1,4,16,18,2,0,0,5,2,1,0.5,10,6,7,0
321,4,2,3,2,1,4,16,18,2,0,0,5,2,1,0.5,11,5,7,0
322,4,2,3,3,1,4,16,18,2,0,0,5,2,1,0.5,12,4,7,0
326,4,2,3,4,2,4,16,18,2,0,0,5,2,1,0.5,16,3,7,0
333,2,0,0,0,3,2,11,1,1,23,7,6,3,0,0.0,4,2,7,0
369,2,4,0,0,3,2,8,0,0,23,7,7,4,1,0.25,8,1,7,0
402,0,2,3,0,0,4,16,18,2,1,1,6,1,1,1.0,8,17,17,0
403,0,2,3,1,1,4,16,18,2,1,1,6,1,1,1.0,9,16,17,0
404,0,2,3,2,1,4,16,18,2,1,1,6,1,1,1.0,10,15,17,0
406,0,2,3,3,1,4,16,18,2,1,1,6,1,1,1.0,12,14,17,0
409,0,2,3,4,2,4,16,18,2,1,1,6,1,1,1.0,15,13,17,0
432,1,0,0,0,3,2,8,1,1,21,5,8,1,0,0.0,4,12,17,0
439,4,2,3,0,0,4,16,18,2,0,0,7,2,1,0.5,9,11,17,0
440,4,2,3,1,1,4,16,18,2,0,0,7,2,1,0.5,10,10,17,0
441,4,2,3,2,1,4,16,18,2,0,0,7,2,1,0.5,11,9,17,0
442,4,2,3,3,1,4,16,18,2,0,0,7,2,1,0.5,12,8,17,0
446,4,2,3,4,2,4,16,18,2,0,0,7,2,1,0.5,16,7,17,0
477,1,4,0,0,3,2,8,0,0,21,5,9,2,1,0.5,8,6,17,0
492,1,2,2,0,3,2,8,18,2,21,5,8,2,1,0.5,8,5,17,0
493,0,2,3,0,0,4,16,18,2,1,1,8,1,1,1.0,9,4,17,0
494,0,2,3,1,1,4,16,18,2,1,1,8,1,1,1.0,10,3,17,0
495,0,2,3,2,1,4,16,18,2,1,1,8,1,1,1.0,11,2,17,0
496,0,2,3,3,1,4,16,18,2,1,1,8,1,1,1.0,12,1,17,0
500,0,2,3,4,2,4,16,18,2,1,1,8,1,1,1.0,16,15,15,0
525,0,0,0,0,3,2,9,1,1,17,1,10,0,0,0.0,4,14,15,0
