timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
924,3,4,3,1,4,3,9,29,13,27,11,18,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,216,9,27,27,0
1002,3,4,3,1,4,3,9,29,13,27,11,19,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,228,9,27,27,0
2167,3,4,3,1,4,3,9,29,13,27,11,43,3,2,0.6666666666666666,15,1,1,1,1,1,12,3,12,516,9,27,27,0
2324,3,4,3,1,4,3,9,29,13,27,11,46,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,552,9,27,27,0
2774,3,4,3,1,4,3,9,29,13,27,11,53,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,636,9,27,27,0
2964,3,4,3,1,4,3,9,29,13,27,11,55,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,660,9,27,27,0
4009,0,3,1,1,4,3,9,1,1,31,15,70,5,5,1.0,24,1,1,1,1,1,0,1,4,280,3,27,9,0
4017,4,0,2,1,4,3,9,31,15,30,14,70,1,0,0.0,4,1,1,1,1,1,0,2,8,560,6,27,18,0
4066,0,4,3,1,4,3,9,30,14,31,15,70,1,1,1.0,12,1,1,1,1,1,0,3,12,840,9,27,27,0
4249,0,3,1,1,4,3,9,0,0,31,15,75,6,6,1.0,28,1,1,1,1,1,0,1,4,300,3,27,9,0
4257,4,0,2,1,4,3,10,31,15,30,14,75,1,0,0.0,4,1,1,1,1,1,0,2,8,600,6,30,18,0
4302,0,4,3,1,4,3,9,30,14,31,15,75,1,1,1.0,8,1,1,1,1,1,0,3,12,900,9,27,27,0
5586,3,4,3,1,4,3,9,29,13,27,11,98,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,1176,9,27,27,0
5918,3,4,3,1,4,3,9,29,13,27,11,104,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,1248,9,27,27,0
6084,3,4,3,1,4,3,9,29,13,27,11,107,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,1284,9,27,27,0
6472,3,4,3,1,4,3,9,29,13,27,11,113,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,1356,9,27,27,0
8056,3,4,3,1,4,3,9,29,13,27,11,140,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,1680,9,27,27,0
8496,0,3,1,1,4,3,9,1,1,31,15,150,5,5,1.0,24,1,1,1,1,1,0,1,4,600,3,27,9,0
8504,4,0,2,1,4,3,11,31,15,30,14,150,1,0,0.0,4,1,1,1,1,1,0,2,8,1200,6,33,18,0
8514,3,4,3,1,4,3,9,29,13,27,11,149,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,1788,9,27,27,0
8552,0,4,3,1,4,3,9,30,14,31,15,150,1,1,1.0,12,1,1,1,1,1,0,3,12,1800,9,27,27,0
8980,0,3,1,1,4,3,9,0,0,31,15,160,6,6,1.0,28,1,1,1,1,1,0,1,4,640,3,27,9,0
8988,4,0,2,1,4,3,12,31,15,30,14,160,1,0,0.0,4,1,1,1,1,1,0,2,8,1280,6,36,18,0
9036,0,4,3,1,4,3,9,30,14,31,15,160,1,1,1.0,12,1,1,1,1,1,0,3,12,1920,9,27,27,0
10754,3,4,3,1,4,3,9,29,13,27,11,197,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,2364,9,27,27,0
10863,3,4,3,1,4,3,9,29,13,27,11,199,3,2,0.6666666666666666,15,1,1,1,1,1,12,3,12,2388,9,27,27,0
11322,3,4,3,1,4,3,9,29,13,27,11,210,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,2520,9,27,27,0
11430,3,4,3,1,4,3,9,29,13,27,11,211,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,2532,9,27,27,0
12021,3,4,3,1,4,3,9,29,13,27,11,225,3,2,0.6666666666666666,13,1,1,1,1,1,12,3,12,2700,9,27,27,0
12325,0,3,1,1,4,3,9,1,1,31,15,234,5,5,1.0,24,1,1,1,1,1,0,1,4,936,3,27,9,0
12333,4,0,2,1,4,3,9,31,15,30,14,234,1,0,0.0,4,1,1,1,1,1,0,2,8,1872,6,27,18,0
12382,0,4,3,1,4,3,9,30,14,31,15,234,1,1,1.0,12,1,1,1,1,1,0,3,12,2808,9,27,27,0
12640,3,4,3,1,4,3,9,29,13,27,11,239,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,2868,9,27,27,0
12876,0,3,1,1,4,3,9,1,1,31,15,246,5,5,1.0,24,1,1,1,1,1,0,1,4,984,3,27,9,0
12884,4,0,2,1,4,3,10,31,15,30,14,246,1,0,0.0,4,1,1,1,1,1,0,2,8,1968,6,30,18,0
12932,0,4,3,1,4,3,9,30,14,31,15,246,1,1,1.0,12,1,1,1,1,1,0,3,12,2952,9,27,27,0
12969,0,3,1,1,4,3,9,0,0,31,15,248,6,6,1.0,28,1,1,1,1,1,0,1,4,992,3,27,9,0
12977,4,0,2,1,4,3,11,31,15,30,14,248,1,0,0.0,4,1,1,1,1,1,0,2,8,1984,6,33,18,0
13022,0,4,3,1,4,3,9,30,14,31,15,248,1,1,1.0,8,1,1,1,1,1,0,3,12,2976,9,27,27,0
13544,0,3,1,1,4,3,9,0,0,31,15,261,6,6,1.0,28,1,1,1,1,1,0,1,4,1044,3,27,9,0
13552,4,0,2,1,4,3,12,31,15,30,14,261,1,0,0.0,4,1,1,1,1,1,0,2,8,2088,6,36,18,0
13596,0,4,3,1,4,3,9,30,14,31,15,261,1,1,1.0,8,1,1,1,1,1,0,3,12,3132,9,27,27,0
14276,0,3,1,1,4,3,9,1,1,31,15,276,5,5,1.0,24,1,1,1,1,1,0,1,4,1104,3,27,9,0
14284,4,0,2,1,4,3,9,31,15,30,14,276,1,0,0.0,4,1,1,1,1,1,0,2,8,2208,6,27,18,0
14328,0,4,3,1,4,3,9,30,14,31,15,276,1,1,1.0,8,1,1,1,1,1,0,3,12,3312,9,27,27,0
15022,0,3,1,1,4,3,9,0,0,31,15,293,6,6,1.0,28,1,1,1,1,1,0,1,4,1172,3,27,9,0
15030,4,0,2,1,4,3,10,31,15,30,14,293,1,0,0.0,4,1,1,1,1,1,0,2,8,2344,6,30,18,0
15075,0,4,3,1,4,3,9,30,14,31,15,293,1,1,1.0,9,1,1,1,1,1,0,3,12,3516,9,27,27,0
16700,0,3,1,1,4,3,9,1,1,31,15,332,5,5,1.0,24,1,1,1,1,1,0,1,4,1328,3,27,9,0
16708,4,0,2,1,4,3,11,31,15,30,14,332,1,0,0.0,4,1,1,1,1,1,0,2,8,2656,6,33,18,0
16756,0,4,3,1,4,3,9,30,14,31,15,332,1,1,1.0,12,1,1,1,1,1,0,3,12,3984,9,27,27,0
17566,0,3,1,1,4,3,9,0,0,31,15,353,6,6,1.0,28,1,1,1,1,1,0,1,4,1412,3,27,9,0
17574,4,0,2,1,4,3,12,31,15,30,14,353,1,0,0.0,4,1,1,1,1,1,0,2,8,2824,6,36,18,0
17620,0,4,3,1,4,3,9,30,14,31,15,353,1,1,1.0,10,1,1,1,1,1,0,3,12,4236,9,27,27,0
18822,3,4,3,1,4,3,9,29,13,27,11,373,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,4476,9,27,27,0
19464,0,3,1,1,4,3,9,1,1,31,15,381,5,5,1.0,24,1,1,1,1,1,0,1,4,1524,3,27,9,0
19472,4,0,2,1,4,3,9,31,15,30,14,381,1,0,0.0,4,1,1,1,1,1,0,2,8,3048,6,27,18,0
19516,0,4,3,1,4,3,9,30,14,31,15,381,1,1,1.0,8,1,1,1,1,1,0,3,12,4572,9,27,27,0
19788,3,4,3,1,4,3,9,29,13,27,11,384,3,2,0.6666666666666666,14,1,1,1,1,1,12,3,12,4608,9,27,27,0
20452,0,3,1,1,4,3,9,0,0,31,15,393,6,6,1.0,28,1,1,1,1,1,0,1,4,1572,3,27,9,0
20460,4,0,2,1,4,3,10,31,15,30,14,393,1,0,0.0,4,1,1,1,1,1,0,2,8,3144,6,30,18,0
20512,0,4,3,1,4,3,9,30,14,31,15,393,1,1,1.0,12,1,1,1,1,1,0,3,12,4716,9,27,27,0
21512,3,4,3,1,4,3,9,29,13,27,11,406,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,4872,9,27,27,0
22148,0,3,1,1,4,3,9,1,1,31,15,414,5,5,1.0,24,1,1,1,1,1,0,1,4,1656,3,27,9,0
22156,4,0,2,1,4,3,11,31,15,30,14,414,1,0,0.0,4,1,1,1,1,1,0,2,8,3312,6,33,18,0
22200,0,4,3,1,4,3,9,30,14,31,15,414,1,1,1.0,8,1,1,1,1,1,0,3,12,4968,9,27,27,0
22584,3,4,3,1,4,3,9,29,13,27,11,419,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,5028,9,27,27,0
23248,0,3,1,1,4,3,9,0,0,31,15,431,6,6,1.0,28,1,1,1,1,1,0,1,4,1724,3,27,9,0
23256,4,0,2,1,4,3,12,31,15,30,14,431,1,0,0.0,4,1,1,1,1,1,0,2,8,3448,6,36,18,0
23303,0,4,3,1,4,3,9,30,14,31,15,431,1,1,1.0,11,1,1,1,1,1,0,3,12,5172,9,27,27,0
27624,3,4,3,1,4,3,9,29,13,27,11,524,3,2,0.6666666666666666,16,1,1,1,1,1,12,3,12,6288,9,27,27,0
28351,3,4,3,1,4,3,9,29,13,27,11,537,3,2,0.6666666666666666,13,1,1,1,1,1,12,3,12,6444,9,27,27,0
28816,3,4,3,1,4,3,9,29,13,27,11,546,3,2,0.6666666666666666,14,1,1,1,1,1,12,3,12,6552,9,27,27,0
29180,0,3,5,1,1,3,9,1,1,31,15,554,5,5,1.0,24,1,1,1,1,1,0,5,5,2770,15,27,45,0
29187,0,3,5,2,2,3,9,1,1,31,15,554,5,5,1.0,31,1,1,1,1,1,0,10,20,11080,15,27,45,0
29194,0,3,5,3,2,3,9,1,1,31,15,554,5,5,1.0,38,1,1,1,1,1,0,15,30,16620,15,27,45,0
29201,0,3,5,4,2,3,9,1,1,31,15,554,5,5,1.0,45,1,1,1,1,1,0,20,40,22160,15,27,45,0
29208,0,3,5,5,3,3,9,1,1,31,15,554,5,5,1.0,52,1,1,1,1,1,0,25,75,41550,15,27,45,0
29209,0,3,1,1,4,3,10,1,1,31,15,555,5,5,1.0,52,1,1,1,1,1,0,1,4,2220,3,30,9,0
29216,4,0,6,1,1,3,9,31,15,30,14,554,1,0,0.0,4,1,1,1,1,1,0,6,6,3324,18,27,54,0
29223,4,0,6,2,2,3,9,31,15,30,14,554,1,0,0.0,11,1,1,1,1,1,0,12,24,13296,18,27,54,0
29230,4,0,6,3,2,3,9,31,15,30,14,554,1,0,0.0,18,1,1,1,1,1,0,18,36,19944,18,27,54,0
29237,4,0,6,4,2,3,9,31,15,30,14,554,1,0,0.0,25,1,1,1,1,1,0,24,48,26592,18,27,54,0
29244,4,0,6,5,3,3,9,31,15,30,14,554,1,0,0.0,32,1,1,1,1,1,0,30,90,49860,18,27,54,0
29245,4,0,2,1,4,3,10,31,15,30,14,555,1,0,0.0,32,1,1,1,1,1,0,2,8,4440,6,30,18,0
29246,4,0,7,1,4,3,11,31,15,1,1,554,5,0,0.0,4,1,1,1,1,1,0,7,28,15512,21,33,63,0
29294,0,4,3,1,4,3,9,30,14,31,15,555,1,1,1.0,12,1,1,1,1,1,0,3,12,6660,9,27,27,0
29511,3,4,3,1,4,3,9,29,13,27,11,560,3,2,0.6666666666666666,15,1,1,1,1,1,12,3,12,6720,9,27,27,0
30040,3,4,3,1,4,3,9,29,13,27,11,572,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,6864,9,27,27,0
30381,0,3,5,1,1,3,9,0,0,31,15,579,6,6,1.0,28,1,1,1,1,1,0,5,5,2895,15,27,45,0
30388,0,3,5,2,2,3,9,0,0,31,15,579,6,6,1.0,35,1,1,1,1,1,0,10,20,11580,15,27,45,0
30395,0,3,5,3,2,3,9,0,0,31,15,579,6,6,1.0,42,1,1,1,1,1,0,15,30,17370,15,27,45,0
30402,0,3,5,4,2,3,9,0,0,31,15,579,6,6,1.0,49,1,1,1,1,1,0,20,40,23160,15,27,45,0
30409,0,3,5,5,3,3,9,0,0,31,15,579,6,6,1.0,56,1,1,1,1,1,0,25,75,43425,15,27,45,0
30410,0,3,1,1,4,3,10,0,0,31,15,580,6,6,1.0,56,1,1,1,1,1,0,1,4,2320,3,30,9,0
30417,4,0,6,1,1,3,12,31,15,30,14,579,1,0,0.0,4,1,1,1,1,1,0,6,6,3474,18,36,54,0
30424,4,0,6,2,2,3,12,31,15,30,14,579,1,0,0.0,11,1,1,1,1,1,0,12,24,13896,18,36,54,0
30431,4,0,6,3,2,3,12,31,15,30,14,579,1,0,0.0,18,1,1,1,1,1,0,18,36,20844,18,36,54,0
30438,4,0,6,4,2,3,12,31,15,30,14,579,1,0,0.0,25,1,1,1,1,1,0,24,48,27792,18,36,54,0
30445,4,0,6,5,3,3,12,31,15,30,14,579,1,0,0.0,32,1,1,1,1,1,0,30,90,52110,18,36,54,0
30446,4,0,2,1,4,3,9,31,15,30,14,580,1,0,0.0,32,1,1,1,1,1,0,2,8,4640,6,27,18,0
30447,4,0,7,1,4,3,10,31,15,0,0,579,6,0,0.0,5,1,1,1,1,1,0,7,28,16212,21,30,63,0
30492,0,4,3,1,4,3,9,30,14,31,15,580,1,1,1.0,10,1,1,1,1,1,0,3,12,6960,9,27,27,0
30706,0,3,1,1,4,3,9,1,1,31,15,587,5,5,1.0,24,1,1,1,1,1,0,1,4,2348,3,27,9,0
30714,4,0,2,1,4,3,11,31,15,30,14,587,1,0,0.0,4,1,1,1,1,1,0,2,8,4696,6,33,18,0
30758,0,4,3,1,4,3,9,30,14,31,15,587,1,1,1.0,8,1,1,1,1,1,0,3,12,7044,9,27,27,0
31037,0,3,1,1,4,3,9,1,1,31,15,595,5,5,1.0,24,1,1,1,1,1,0,1,4,2380,3,27,9,0
31045,4,0,2,1,4,3,12,31,15,30,14,595,1,0,0.0,4,1,1,1,1,1,0,2,8,4760,6,36,18,0
31094,0,4,3,1,4,3,9,30,14,31,15,595,1,1,1.0,12,1,1,1,1,1,0,3,12,7140,9,27,27,0
31280,3,4,3,1,4,3,9,29,13,27,11,598,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,7176,9,27,27,0
31649,3,4,3,1,4,3,9,29,13,27,11,605,3,2,0.6666666666666666,13,1,1,1,1,1,12,3,12,7260,9,27,27,0
31940,0,3,1,1,4,3,9,0,0,31,15,612,6,6,1.0,28,1,1,1,1,1,0,1,4,2448,3,27,9,0
31948,4,0,2,1,4,3,9,31,15,30,14,612,1,0,0.0,4,1,1,1,1,1,0,2,8,4896,6,27,18,0
31992,0,4,3,1,4,3,9,30,14,31,15,612,1,1,1.0,8,1,1,1,1,1,0,3,12,7344,9,27,27,0
32289,0,3,1,1,4,3,9,0,0,31,15,621,6,6,1.0,28,1,1,1,1,1,0,1,4,2484,3,27,9,0
32297,4,0,2,1,4,3,10,31,15,30,14,621,1,0,0.0,4,1,1,1,1,1,0,2,8,4968,6,30,18,0
32342,0,4,3,1,4,3,9,30,14,31,15,621,1,1,1.0,8,1,1,1,1,1,0,3,12,7452,9,27,27,0
32928,3,4,3,1,4,3,9,29,13,27,11,634,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,7608,9,27,27,0
33532,0,3,5,1,1,3,9,1,1,31,15,650,5,5,1.0,24,1,1,1,1,1,0,5,5,3250,15,27,45,0
33539,0,3,5,2,2,3,9,1,1,31,15,650,5,5,1.0,31,1,1,1,1,1,0,10,20,13000,15,27,45,0
33546,0,3,5,3,2,3,9,1,1,31,15,650,5,5,1.0,38,1,1,1,1,1,0,15,30,19500,15,27,45,0
33553,0,3,5,4,2,3,9,1,1,31,15,650,5,5,1.0,45,1,1,1,1,1,0,20,40,26000,15,27,45,0
33560,0,3,5,5,3,3,9,1,1,31,15,650,5,5,1.0,52,1,1,1,1,1,0,25,75,48750,15,27,45,0
33561,0,3,1,1,4,3,10,1,1,31,15,651,5,5,1.0,52,1,1,1,1,1,0,1,4,2604,3,30,9,0
33568,4,0,6,1,1,3,11,31,15,30,14,650,1,0,0.0,4,1,1,1,1,1,0,6,6,3900,18,33,54,0
33575,4,0,6,2,2,3,11,31,15,30,14,650,1,0,0.0,11,1,1,1,1,1,0,12,24,15600,18,33,54,0
33582,4,0,6,3,2,3,11,31,15,30,14,650,1,0,0.0,18,1,1,1,1,1,0,18,36,23400,18,33,54,0
33589,4,0,6,4,2,3,11,31,15,30,14,650,1,0,0.0,25,1,1,1,1,1,0,24,48,31200,18,33,54,0
33596,4,0,6,5,3,3,11,31,15,30,14,650,1,0,0.0,32,1,1,1,1,1,0,30,90,58500,18,33,54,0
33597,4,0,2,1,4,3,12,31,15,30,14,651,1,0,0.0,32,1,1,1,1,1,0,2,8,5208,6,36,18,0
33598,4,0,7,1,4,3,9,31,15,1,1,650,5,0,0.0,6,1,1,1,1,1,0,7,28,18200,21,27,63,0
33642,0,4,3,1,4,3,9,30,14,31,15,651,1,1,1.0,8,1,1,1,1,1,0,3,12,7812,9,27,27,0
33910,3,4,3,1,4,3,9,29,13,27,11,657,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,7884,9,27,27,0
34200,0,3,5,1,1,3,9,1,1,31,15,664,5,5,1.0,24,1,1,1,1,1,0,5,5,3320,15,27,45,0
34207,0,3,5,2,2,3,9,1,1,31,15,664,5,5,1.0,31,1,1,1,1,1,0,10,20,13280,15,27,45,0
34214,0,3,5,3,2,3,9,1,1,31,15,664,5,5,1.0,38,1,1,1,1,1,0,15,30,19920,15,27,45,0
34221,0,3,5,4,2,3,9,1,1,31,15,664,5,5,1.0,45,1,1,1,1,1,0,20,40,26560,15,27,45,0
34228,0,3,5,5,3,3,9,1,1,31,15,664,5,5,1.0,52,1,1,1,1,1,0,25,75,49800,15,27,45,0
34229,0,3,1,1,4,3,10,1,1,31,15,666,5,5,1.0,52,1,1,1,1,1,0,1,4,2664,3,30,9,0
34236,4,0,6,1,1,3,10,31,15,30,14,664,1,0,0.0,4,1,1,1,1,1,0,6,6,3984,18,30,54,0
34243,4,0,6,2,2,3,10,31,15,30,14,664,1,0,0.0,11,1,1,1,1,1,0,12,24,15936,18,30,54,0
34250,4,0,6,3,2,3,10,31,15,30,14,664,1,0,0.0,18,1,1,1,1,1,0,18,36,23904,18,30,54,0
34257,4,0,6,4,2,3,10,31,15,30,14,664,1,0,0.0,25,1,1,1,1,1,0,24,48,31872,18,30,54,0
34264,4,0,6,5,3,3,10,31,15,30,14,664,1,0,0.0,32,1,1,1,1,1,0,30,90,59760,18,30,54,0
34265,4,0,2,1,4,3,11,31,15,30,14,666,1,0,0.0,32,1,1,1,1,1,0,2,8,5328,6,33,18,0
34266,4,0,7,1,4,3,12,31,15,1,1,664,5,0,0.0,6,1,1,1,1,1,0,7,28,18592,21,36,63,0
34314,0,4,3,1,4,3,9,30,14,31,15,666,1,1,1.0,12,1,1,1,1,1,0,3,12,7992,9,27,27,0
34832,0,3,1,1,4,3,9,0,0,31,15,678,6,6,1.0,28,1,1,1,1,1,0,1,4,2712,3,27,9,0
34840,4,0,2,1,4,3,9,31,15,30,14,678,1,0,0.0,4,1,1,1,1,1,0,2,8,5424,6,27,18,0
34884,0,4,3,1,4,3,9,30,14,31,15,678,1,1,1.0,8,1,1,1,1,1,0,3,12,8136,9,27,27,0
35160,3,4,3,1,4,3,9,29,13,27,11,684,3,2,0.6666666666666666,14,1,1,1,1,1,12,3,12,8208,9,27,27,0
35557,0,3,5,1,1,3,9,0,0,31,15,692,6,6,1.0,29,1,1,1,1,1,0,5,5,3460,15,27,45,0
35563,0,3,5,2,2,3,9,0,0,31,15,692,6,6,1.0,35,1,1,1,1,1,0,10,20,13840,15,27,45,0
35570,0,3,5,3,2,3,9,0,0,31,15,692,6,6,1.0,42,1,1,1,1,1,0,15,30,20760,15,27,45,0
35577,0,3,5,4,2,3,9,0,0,31,15,692,6,6,1.0,49,1,1,1,1,1,0,20,40,27680,15,27,45,0
35584,0,3,5,5,3,3,9,0,0,31,15,692,6,6,1.0,56,1,1,1,1,1,0,25,75,51900,15,27,45,0
35585,0,3,1,1,4,3,10,0,0,31,15,694,6,6,1.0,56,1,1,1,1,1,0,1,4,2776,3,30,9,0
35592,4,0,6,1,1,3,10,31,15,30,14,692,1,0,0.0,4,1,1,1,1,1,0,6,6,4152,18,30,54,0
35599,4,0,6,2,2,3,10,31,15,30,14,692,1,0,0.0,11,1,1,1,1,1,0,12,24,16608,18,30,54,0
35606,4,0,6,3,2,3,10,31,15,30,14,692,1,0,0.0,18,1,1,1,1,1,0,18,36,24912,18,30,54,0
35613,4,0,6,4,2,3,10,31,15,30,14,692,1,0,0.0,25,1,1,1,1,1,0,24,48,33216,18,30,54,0
35618,3,4,3,1,4,3,9,29,13,27,11,693,3,2,0.6666666666666666,14,1,1,1,1,1,12,3,12,8316,9,27,27,0
35620,4,0,6,5,3,3,10,31,15,30,14,692,1,0,0.0,32,1,1,1,1,1,0,30,90,62280,18,30,54,0
35621,4,0,2,1,4,3,11,31,15,30,14,694,1,0,0.0,32,1,1,1,1,1,0,2,8,5552,6,33,18,0
35622,4,0,7,1,4,3,12,31,15,0,0,692,6,0,0.0,6,1,1,1,1,1,0,7,28,19376,21,36,63,0
35667,0,4,3,1,4,3,9,30,14,31,15,694,1,1,1.0,9,1,1,1,1,1,0,3,12,8328,9,27,27,0
36977,3,4,3,1,4,3,9,29,13,27,11,722,3,2,0.6666666666666666,15,1,1,1,1,1,12,3,12,8664,9,27,27,0
37572,3,4,3,1,4,3,9,29,13,27,11,734,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,8808,9,27,27,0
38087,0,3,1,1,4,3,9,1,1,31,15,746,5,5,1.0,25,1,1,1,1,1,0,1,4,2984,3,27,9,0
38095,4,0,2,1,4,3,9,31,15,30,14,746,1,0,0.0,4,1,1,1,1,1,0,2,8,5968,6,27,18,0
38144,0,4,3,1,4,3,9,30,14,31,15,746,1,1,1.0,12,1,1,1,1,1,0,3,12,8952,9,27,27,0
38892,3,4,3,1,4,3,9,29,13,27,11,760,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,9120,9,27,27,0
39162,3,4,3,1,4,3,9,29,13,27,11,766,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,9192,9,27,27,0
39355,0,3,1,1,4,3,9,1,1,31,15,771,5,5,1.0,24,1,1,1,1,1,0,1,4,3084,3,27,9,0
39363,4,0,2,1,4,3,10,31,15,30,14,771,1,0,0.0,4,1,1,1,1,1,0,2,8,6168,6,30,18,0
39412,0,4,3,1,4,3,9,30,14,31,15,771,1,1,1.0,12,1,1,1,1,1,0,3,12,9252,9,27,27,0
39492,0,3,1,1,4,3,9,0,0,31,15,773,6,6,1.0,28,1,1,1,1,1,0,1,4,3092,3,27,9,0
39500,4,0,2,1,4,3,11,31,15,30,14,773,1,0,0.0,4,1,1,1,1,1,0,2,8,6184,6,33,18,0
39548,0,4,3,1,4,3,9,30,14,31,15,773,1,1,1.0,8,1,1,1,1,1,0,3,12,9276,9,27,27,0
40215,0,3,1,1,4,3,9,1,1,31,15,788,5,5,1.0,24,1,1,1,1,1,0,1,4,3152,3,27,9,0
40223,4,0,2,1,4,3,12,31,15,30,14,788,1,0,0.0,4,1,1,1,1,1,0,2,8,6304,6,36,18,0
40268,0,4,3,1,4,3,9,30,14,31,15,788,1,1,1.0,8,1,1,1,1,1,0,3,12,9456,9,27,27,0
40606,3,4,3,1,4,3,9,29,13,27,11,795,3,2,0.6666666666666666,12,1,1,1,1,1,12,3,12,9540,9,27,27,0
40815,0,3,5,1,1,3,9,0,0,31,15,801,6,6,1.0,28,1,1,1,1,1,0,5,5,4005,15,27,45,0
40822,0,3,5,2,2,3,9,0,0,31,15,801,6,6,1.0,35,1,1,1,1,1,0,10,20,16020,15,27,45,0
40829,0,3,5,3,2,3,9,0,0,31,15,801,6,6,1.0,42,1,1,1,1,1,0,15,30,24030,15,27,45,0
