timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,packet_count_decr,packet_count_incr,max_packet_count,packet_count_index,packet_max_index,port_index,cache_coherence_flit_index,flit_index,traversal_index,cache_coherence_vnet_index,vnet_vc_index,vnet_vc_cc_index,target
15,2,4,1,1,4,3,9,0,0,23,7,0,4,2,0.5,12,8,1,8,8,64,8,1,4,0,3,27,9,1
39,0,1,2,1,4,3,9,23,7,18,2,0,2,2,1.0,12,7,2,8,14,112,0,2,8,0,6,27,18,1
78,2,0,3,1,4,3,9,18,2,23,7,0,2,0,0.0,4,6,3,8,18,144,0,3,12,0,9,27,27,1
79,4,0,4,1,1,5,17,18,2,0,0,0,2,0,0.0,5,5,4,8,20,160,0,4,4,0,20,85,100,1
80,4,0,4,2,2,5,17,18,2,0,0,0,2,0,0.0,6,4,5,8,20,160,0,8,16,0,20,85,100,1
81,4,0,4,3,2,5,17,18,2,0,0,0,2,0,0.0,7,3,6,8,18,144,0,12,24,0,20,85,100,1
82,4,0,4,4,2,5,17,18,2,0,0,0,2,0,0.0,8,2,7,8,14,112,0,16,32,0,20,85,100,1
86,4,0,4,5,3,5,17,18,2,0,0,0,2,0,0.0,12,1,8,8,8,64,0,20,60,0,20,85,100,1
245,1,4,1,1,4,3,9,0,0,22,6,2,3,2,0.6666666666666666,12,1,1,1,1,1,4,1,4,8,3,27,9,1
261,0,1,2,1,4,3,9,22,6,18,2,2,1,1,1.0,8,3,1,3,3,9,0,2,8,16,6,27,18,1
298,4,0,4,1,1,5,18,18,2,0,0,2,2,0,0.0,4,2,2,3,4,12,0,4,4,8,20,90,100,1
299,4,0,4,2,2,5,18,18,2,0,0,2,2,0,0.0,5,1,3,3,3,9,0,8,16,32,20,90,100,1
300,4,0,4,3,2,5,18,18,2,0,0,2,2,0,0.0,6,6,1,6,6,36,0,12,24,48,20,90,100,1
301,1,0,3,1,4,3,10,18,2,22,6,2,1,0,0.0,7,5,2,6,10,60,0,3,12,24,9,30,27,1
302,4,0,4,4,2,5,18,18,2,0,0,2,2,0,0.0,8,4,3,6,12,72,0,16,32,64,20,90,100,1
305,4,0,4,5,3,5,18,18,2,0,0,2,2,0,0.0,11,3,4,6,12,72,0,20,60,120,20,90,100,1
356,2,4,1,1,4,3,9,0,0,23,7,3,4,2,0.5,12,2,5,6,10,60,8,1,4,12,3,27,9,1
380,0,1,2,1,4,3,9,23,7,18,2,3,2,2,1.0,12,1,6,6,6,36,0,2,8,24,6,27,18,1
416,2,0,3,1,4,3,11,18,2,23,7,3,2,0,0.0,4,7,1,7,7,49,0,3,12,36,9,33,27,1
417,4,0,4,1,1,5,19,18,2,0,0,3,2,0,0.0,5,6,2,7,12,84,0,4,4,12,20,95,100,1
418,4,0,4,2,2,5,19,18,2,0,0,3,2,0,0.0,6,5,3,7,15,105,0,8,16,48,20,95,100,1
419,4,0,4,3,2,5,19,18,2,0,0,3,2,0,0.0,7,4,4,7,16,112,0,12,24,72,20,95,100,1
420,4,0,4,4,2,5,19,18,2,0,0,3,2,0,0.0,8,3,5,7,15,105,0,16,32,96,20,95,100,1
424,4,0,4,5,3,5,19,18,2,0,0,3,2,0,0.0,12,2,6,7,12,84,0,20,60,180,20,95,100,1
479,0,1,2,1,4,3,9,21,5,18,2,4,2,2,1.0,12,1,7,7,7,49,0,2,8,32,6,27,18,1
516,4,0,3,1,4,3,12,18,2,21,5,4,2,0,0.0,4,6,1,6,6,36,0,3,12,48,9,36,27,1
517,4,0,4,1,1,5,20,18,2,0,0,4,2,0,0.0,5,5,2,6,10,60,0,4,4,16,20,100,100,1
518,4,0,4,2,2,5,20,18,2,0,0,4,2,0,0.0,6,4,3,6,12,72,0,8,16,64,20,100,100,1
519,4,0,4,3,2,5,20,18,2,0,0,4,2,0,0.0,7,3,4,6,12,72,0,12,24,96,20,100,100,1
520,4,0,4,4,2,5,20,18,2,0,0,4,2,0,0.0,8,2,5,6,10,60,0,16,32,128,20,100,100,1
524,4,0,4,5,3,5,20,18,2,0,0,4,2,0,0.0,12,1,6,6,6,36,0,20,60,240,20,100,100,1
632,2,4,1,1,4,3,9,0,0,23,7,6,4,2,0.5,12,8,1,8,8,64,8,1,4,24,3,27,9,1
656,0,1,2,1,4,3,9,23,7,18,2,6,2,2,1.0,12,7,2,8,14,112,0,2,8,48,6,27,18,1
692,4,0,4,1,1,5,17,18,2,0,0,6,2,0,0.0,4,6,3,8,18,144,0,4,4,24,20,85,100,1
693,4,0,4,2,2,5,17,18,2,0,0,6,2,0,0.0,5,5,4,8,20,160,0,8,16,96,20,85,100,1
694,4,0,4,3,2,5,17,18,2,0,0,6,2,0,0.0,6,4,5,8,20,160,0,12,24,144,20,85,100,1
695,2,0,3,1,4,3,9,18,2,23,7,6,2,0,0.0,7,3,6,8,18,144,0,3,12,72,9,27,27,1
696,4,0,4,4,2,5,17,18,2,0,0,6,2,0,0.0,8,2,7,8,14,112,0,16,32,192,20,85,100,1
699,4,0,4,5,3,5,17,18,2,0,0,6,2,0,0.0,11,1,8,8,8,64,0,20,60,360,20,85,100,1
812,1,4,1,1,4,3,9,0,0,30,14,8,5,2,0.4,12,1,1,1,1,1,4,1,4,32,3,27,9,1
912,2,4,1,1,4,3,9,0,0,27,11,9,5,2,0.4,12,1,1,1,1,1,8,1,4,36,3,27,9,1
1147,0,1,2,1,4,3,9,20,4,18,2,11,3,3,1.0,16,1,1,1,1,1,0,2,8,88,6,27,18,1
1184,4,0,3,1,4,3,10,18,2,20,4,11,3,0,0.0,4,1,1,1,1,1,0,3,12,132,9,30,27,1
1185,4,0,4,1,1,5,18,18,2,0,0,11,2,0,0.0,5,5,1,5,5,25,0,4,4,44,20,90,100,1
1186,4,0,4,2,2,5,18,18,2,0,0,11,2,0,0.0,6,4,2,5,8,40,0,8,16,176,20,90,100,1
1187,4,0,4,3,2,5,18,18,2,0,0,11,2,0,0.0,7,3,3,5,9,45,0,12,24,264,20,90,100,1
1188,4,0,4,4,2,5,18,18,2,0,0,11,2,0,0.0,8,2,4,5,8,40,0,16,32,352,20,90,100,1
1192,4,0,4,5,3,5,18,18,2,0,0,11,2,0,0.0,12,1,5,5,5,25,0,20,60,660,20,90,100,1
1350,1,4,1,1,4,3,9,0,0,26,10,13,4,2,0.5,12,1,1,1,1,1,4,1,4,52,3,27,9,1
1583,0,1,2,1,4,3,9,21,5,18,2,15,2,2,1.0,12,1,1,1,1,1,0,2,8,120,6,27,18,1
1620,4,0,3,1,4,3,11,18,2,21,5,15,2,0,0.0,4,1,1,1,1,1,0,3,12,180,9,33,27,1
1621,4,0,4,1,1,5,19,18,2,0,0,15,2,0,0.0,5,1,1,1,1,1,0,4,4,60,20,95,100,1
1622,4,0,4,2,2,5,19,18,2,0,0,15,2,0,0.0,6,5,1,5,5,25,0,8,16,240,20,95,100,1
1623,4,0,4,3,2,5,19,18,2,0,0,15,2,0,0.0,7,4,2,5,8,40,0,12,24,360,20,95,100,1
1624,4,0,4,4,2,5,19,18,2,0,0,15,2,0,0.0,8,3,3,5,9,45,0,16,32,480,20,95,100,1
1628,4,0,4,5,3,5,19,18,2,0,0,15,2,0,0.0,12,2,4,5,8,40,0,20,60,900,20,95,100,1
1677,1,4,1,1,4,3,9,0,0,30,14,16,5,2,0.4,12,1,5,5,5,25,4,1,4,64,3,27,9,1
